"","sub","Gender","PMAT24_A_CR","PMAT24_A_SI","PMAT24_A_RTCR","ProcSpeed_Unadj","ListSort_Unadj","CardSort_Unadj"
"1",100004,"M",19,0,15590,92.72,96.99,103.17
"2",100206,"M",20,0,18574.5,138.72,112.89,119.14
"3",100307,"F",17,2,11839,122.65,108.06,123.75
"4",100408,"M",7,12,3042,107.08,108.06,111.14
"5",100610,"M",23,0,12280,111.11,117.39,129.84
"6",101006,"F",11,8,6569,90.59,93.9,105.19
"7",101107,"M",14,5,6880,112.27,130.38,119.76
"8",101208,"F",8,11,6805,107.8,108.06,93.56
"9",101309,"M",15,4,12558,105.28,117.39,99.76
"10",101410,"M",19,0,21640,104.06,112.89,116.89
"11",101612,"F",19,0,14620,124.27,108.06,107.66
"12",101915,"F",21,0,51977,103.25,117.39,102.25
"13",102008,"M",20,0,23596,137.25,100.43,119.59
"14",102109,"M",21,0,20678,93.82,121.89,112.47
"15",102311,"F",20,0,22781.5,91.68,121.89,102.83
"16",102513,"M",18,1,26980,60.09,112.89,102.84
"17",102614,"M",18,1,13084,152.77,117.39,124.08
"18",102715,"M",22,0,17855,126.95,117.39,116.16
"19",102816,"F",17,2,15126,104.82,117.39,117.1
"20",103010,"M",19,0,14189,105.28,126.18,108.06
"21",103111,"M",21,0,16468,97.15,126.18,107.69
"22",103212,"M",15,4,7730,100.29,130.38,101.41
"23",103414,"F",17,2,7301,110.41,112.89,107.52
"24",103515,"F",8,11,6731,102.02,96.99,103.94
"25",103818,"F",16,3,12518.5,107,117.39,107.93
"26",104012,"F",10,9,3635,109.05,96.99,110.61
"27",104113,"M",11,8,5650,111.11,93.9,111.65
"28",104416,"F",23,0,12040,134.82,108.06,119.59
"29",104820,"F",15,4,16529,117.2,112.89,115.46
"30",105014,"F",21,0,33614,90.22,112.89,101.87
"31",105115,"M",22,0,20070,103.91,126.18,109.62
"32",105216,"M",22,0,20162.5,125.96,121.89,138.6
"33",105620,"F",22,0,11795,121.22,121.89,143.94
"34",105923,"F",22,0,34943.5,76.8,117.39,109.81
"35",106016,"F",22,0,27052.5,116.45,108.06,111.97
"36",106218,"M",11,8,12950,101.6,104.06,106.58
"37",106319,"M",24,0,30114.5,94.79,104.06,128.03
"38",106521,"F",23,0,27636,145.54,133.93,124.39
"39",106824,"M",22,0,12856,121.22,130.38,114.82
"40",107018,"F",10,9,3890,115.83,108.06,103.3
"41",107119,"M",17,2,17918,94.92,117.39,103.5
"42",107220,"F",19,0,23849,104.06,112.89,108.78
"43",107321,"F",23,0,23690,127.84,130.38,115.07
"44",107422,"M",24,0,25985,128.25,137.98,114.79
"45",107523,"M",6,13,6980,83.25,91.07,99.57
"46",107725,"F",10,9,6075,106.57,93.9,113.99
"47",108020,"M",21,0,13475,113.4,117.39,122.44
"48",108121,"F",16,3,9390,114.87,117.39,121.28
"49",108222,"M",22,0,18938.5,113.4,144.5,109.98
"50",108323,"F",13,6,3750,119.54,108.06,119.66
"51",108525,"M",18,1,14840,86.59,100.43,93.21
"52",108828,"M",20,0,28106,113.22,100.43,102.62
"53",109123,"M",22,0,14968.5,133.26,133.93,110.02
"54",109325,"M",19,0,22602,134.82,96.99,118.5
"55",109830,"F",NA,NA,NA,94.92,112.89,99.49
"56",110007,"F",18,1,18739.5,105.28,108.06,111.82
"57",110411,"M",16,3,13610,122.73,121.89,125.37
