Sulci,alpha_level,beta,,,
central,0.005,13.10165083,,,
ifs,0.005,0,,,
imfs_h,0.005,-3.15885273,,,
imfs_v,0.005,0,,,
iprs,0.005,2.19850316,,,
sprs,0.005,4.63866194,,,
sfs_a,0.005,-5.80796196,,,
sfs_p,0.005,0,,,
pmfs_a,0.005,-5.08098214,,,
pmfs_i,0.005,2.25699078,,,
pmfs_p,0.005,-6.62193735,,,
aalf,0.005,24.0680103,,,
half,0.005,5.48979705,,,
ds,0.005,-9.40062681,,,
ts,0.005,3.20729329,,,
prts,0.005,7.63523465,,,
lfms,0.005,-11.91706831,,,
central,0.01,11.40485412,,,
ifs,0.01,0,,,
imfs_h,0.01,-2.94375737,,,
imfs_v,0.01,0,,,
iprs,0.01,0,,,
sprs,0.01,3.34509832,,,
sfs_a,0.01,-4.13040794,,,
sfs_p,0.01,0,,,
pmfs_a,0.01,-4.54300468,,,
pmfs_i,0.01,1.7002533,,,
pmfs_p,0.01,-5.24364455,,,
aalf,0.01,23.48702113,,,
half,0.01,4.66611254,,,
ds,0.01,-7.97805022,,,
ts,0.01,2.81343007,,,
prts,0.01,7.46532057,,,
lfms,0.01,-11.80738307,,,
central,0.03,3.41743345,,,
ifs,0.03,0,,,
imfs_h,0.03,-2.04036531,,,
imfs_v,0.03,0,,,
iprs,0.03,0,,,
sprs,0.03,0,,,
sfs_a,0.03,-0.06078767,,,
sfs_p,0.03,0,,,
pmfs_a,0.03,-3.11195424,,,
pmfs_i,0.03,0,,,
pmfs_p,0.03,-1.02937031,,,
aalf,0.03,20.14552348,,,
half,0.03,2.71805484,,,
ds,0.03,-4.56193574,,,
ts,0.03,0.77916058,,,
prts,0.03,6.09536618,,,
lfms,0.03,-10.83458407,,,
central,0.05,0,,,
ifs,0.05,0,,,
imfs_h,0.05,-0.02357036,,,
imfs_v,0.05,0,,,
iprs,0.05,0,,,
sprs,0.05,0,,,
sfs_a,0.05,0,,,
sfs_p,0.05,0,,,
pmfs_a,0.05,-2.27959474,,,
pmfs_i,0.05,0,,,
pmfs_p,0.05,0,,,
aalf,0.05,16.86864577,,,
half,0.05,0.6551498,,,
ds,0.05,-1.03048426,,,
ts,0.05,0,,,
prts,0.05,4.2587231,,,
lfms,0.05,-9.62567249,,,
central,0.07,0,,,
ifs,0.07,0,,,
imfs_h,0.07,0,,,
imfs_v,0.07,0,,,
iprs,0.07,0,,,
sprs,0.07,0,,,
sfs_a,0.07,0,,,
sfs_p,0.07,0,,,
pmfs_a,0.07,-1.49273578,,,
pmfs_i,0.07,0,,,
pmfs_p,0.07,0,,,
aalf,0.07,14.90415914,,,
half,0.07,0,,,
ds,0.07,0,,,
ts,0.07,0,,,
prts,0.07,2.88950575,,,
lfms,0.07,-8.4316517,,,
central,0.09,0,,,
ifs,0.09,0,,,
imfs_h,0.09,0,,,
imfs_v,0.09,0,,,
iprs,0.09,0,,,
sprs,0.09,0,,,
sfs_a,0.09,0,,,
sfs_p,0.09,0,,,
pmfs_a,0.09,-0.79166447,,,
pmfs_i,0.09,0,,,
pmfs_p,0.09,0,,,
aalf,0.09,13.24377311,,,
half,0.09,0,,,
ds,0.09,0,,,
ts,0.09,0,,,
prts,0.09,1.62264699,,,
lfms,0.09,-7.23644477,,,
central,0.1,0,,,
ifs,0.1,0,,,
imfs_h,0.1,0,,,
imfs_v,0.1,0,,,
iprs,0.1,0,,,
sprs,0.1,0,,,
sfs_a,0.1,0,,,
sfs_p,0.1,0,,,
pmfs_a,0.1,-0.44112663,,,
pmfs_i,0.1,0,,,
pmfs_p,0.1,0,,,
aalf,0.1,12.41359853,,,
half,0.1,0,,,
ds,0.1,0,,,
ts,0.1,0,,,
prts,0.1,0.98922818,,,
lfms,0.1,-6.63884647,,,
central,0.3,0,,,
ifs,0.3,0,,,
imfs_h,0.3,0,,,
imfs_v,0.3,0,,,
iprs,0.3,0,,,
sprs,0.3,0,,,
sfs_a,0.3,0,,,
sfs_p,0.3,0,,,
pmfs_a,0.3,0,,,
pmfs_i,0.3,0,,,
pmfs_p,0.3,0,,,
aalf,0.3,0,,,
half,0.3,0,,,
ds,0.3,0,,,
ts,0.3,0,,,
prts,0.3,0,,,
lfms,0.3,0,,,
central,0.5,0,,,
ifs,0.5,0,,,
imfs_h,0.5,0,,,
imfs_v,0.5,0,,,
iprs,0.5,0,,,
sprs,0.5,0,,,
sfs_a,0.5,0,,,
sfs_p,0.5,0,,,
pmfs_a,0.5,0,,,
pmfs_i,0.5,0,,,
pmfs_p,0.5,0,,,
aalf,0.5,0,,,
half,0.5,0,,,
ds,0.5,0,,,
ts,0.5,0,,,
prts,0.5,0,,,
lfms,0.5,0,,,
central,0.7,0,,,
ifs,0.7,0,,,
imfs_h,0.7,0,,,
imfs_v,0.7,0,,,
iprs,0.7,0,,,
sprs,0.7,0,,,
sfs_a,0.7,0,,,
sfs_p,0.7,0,,,
pmfs_a,0.7,0,,,
pmfs_i,0.7,0,,,
pmfs_p,0.7,0,,,
aalf,0.7,0,,,
half,0.7,0,,,
ds,0.7,0,,,
ts,0.7,0,,,
prts,0.7,0,,,
lfms,0.7,0,,,
central,1,0,,,
ifs,1,0,,,
imfs_h,1,0,,,
imfs_v,1,0,,,
iprs,1,0,,,
sprs,1,0,,,
sfs_a,1,0,,,
sfs_p,1,0,,,
pmfs_a,1,0,,,
pmfs_i,1,0,,,
pmfs_p,1,0,,,
aalf,1,0,,,
half,1,0,,,
ds,1,0,,,
ts,1,0,,,
prts,1,0,,,
lfms,1,0,,,
