cluster,metric,type,beta,se,t-value,p-value
border,depth,raw,-0.0592711086,0.040144447,-1.47645,0.247386647204899
border,depth,norm,-0.0021297,0.001834742,-1.16074,0.38250340726408
border,thickness,raw,-0.0116626,0.00393021,-2.96743,0.0113924986189064
border,thickness,norm,-0.0023319,0.000785998,-2.96686,0.0113924986189064
border,surface_area,raw,7.4234,5.17895,1.433372,0.261549498258183
border,surface_area,norm,0.000004161,0.0000422111,0.098581,0.921752516426362
dorsal,depth,raw,-0.076441,0.0438589,-1.742881,0.170120031812822
dorsal,depth,norm,-0.0027083,0.001654036,-1.637380,0.195764557518226
dorsal,thickness,raw,-0.0269494,0.0055075536,-4.89317,0.0000220281320517919
dorsal,thickness,norm,-0.0053874,0.001099780,-4.89858,0.0000220281320517919
dorsal,surface_area,raw,2.6384,2.037197,1.295130,0.312964109013115
dorsal,surface_area,norm,0.000008324,0.0000184713,0.450619,0.850234778944539
ventral,depth,raw,-0.166603,0.074905654,-2.224167,0.0729049659319469
ventral,depth,norm,-0.0061053,0.002672459,-2.284515,0.0652540918150742
ventral,thickness,raw,-0.0132837,0.0015325223,-1.733427,0.170120031812822
ventral,thickness,norm,-0.0026579,0.001532522,-1.734363,0.170120031812822
ventral,surface_area,raw,3.22687,2.060149,1.566327,0.219207538971067
ventral,surface_area,norm,0.0000243584,0.0000227764,1.069457,0.422279816382761
