"","sub","hemi","pif","lft","fta","olfs","losa","losp","mosp","tolfs","tos","mosa","sf"
"1",103,"lh",4.888888889,3.288888889,2.738095238,2.439,2.23,2.473,2.704,3.97,2.221,2.681,2.928
"2",111,"lh",3.611111111,2.216666667,2.186507937,2.314,2.402,2.948,2.882,2.538,2.581,3.59,2.614
"3",115,"lh",2.888888889,2.722222222,2.900793651,2.258,2.586,2.701,3.498,2.787,2.367,2.84,3.5
"4",123,"lh",2.722222222,2.327777778,2.591269841,2.146,2.935,2.102,2.849,3.416,2.317,2.707,3.067
"5",124,"lh",3.611111111,3.055555556,3.76984127,2.305,2.83,1.795,2.803,2.572,2.365,2.463,3.024
"6",127,"lh",3.388888889,4.4,3.134920635,2.329,2.172,2.84,2.678,2.793,2.654,2.983,2.958
"7",129,"lh",3.777777778,4.188888889,3.126984127,2.395,2.528,2.839,2.955,3.202,2.765,2.538,3.1
"8",130,"lh",3.277777778,3.094444444,3.78968254,2.241,2.758,2.564,2.509,3.074,2.499,2.544,2.915
"9",134,"lh",4.111111111,3.155555556,2.222222222,2.075,2.283,2.083,2.712,3.175,2.649,4.275,2.572
"10",142,"lh",3.472222222,1.688888889,2.928571429,2.156,2.737,2.442,3.018,3.143,2.699,2.743,3.181
"11",143,"lh",4.416666667,3.883333333,3.257936508,2.242,2.261,2.226,2.919,2.679,2.108,3.759,2.442
"12",147,"lh",4.138888889,2.722222222,3.361111111,2.591,2.732,2.58,3.243,3.253,2.733,2.995,3.127
"13",148,"lh",4,1.877777778,1.71031746,2.26,3.923,2.348,2.956,2.598,2.752,3.895,3.272
"14",149,"lh",3.305555556,2.377777778,3.285714286,2.127,2.848,3.001,2.757,3.155,2.842,3.421,3.278
"15",153,"lh",4.166666667,3.244444444,3.146825397,1.939,1.931,2.857,3.063,2.797,2.475,2.686,2.866
"16",160,"lh",4.388888889,4.233333333,1.587301587,2.175,2.439,2.372,2.847,3.892,2.366,2.824,2.672
"17",171,"lh",3.833333333,3.172222222,2.365079365,2.304,2.632,2.445,2.657,3.641,2.727,3.398,2.55
"18",176,"lh",2,1.616666667,2.76984127,2.088,2.974,2.491,2.493,2.377,2.637,2.672,2.516
"19",178,"lh",2.527777778,4.35,2.523809524,2.25,2.519,2.185,3.002,3.194,2.535,2.933,3.452
"20",179,"lh",4.305555556,3.083333333,1.678571429,2.329,3.42,3.586,2.946,3.066,2.502,3.251,2.478
"21",181,"lh",2.888888889,3.777777778,3.28968254,2.42,3.362,2.726,2.956,2.959,2.707,3.311,3.195
"22",184,"lh",2.694444444,2.133333333,2.611111111,2.459,2.323,2.849,2.951,2.521,2.571,3.131,3.105
"23",185,"lh",4.333333333,2.288888889,2.456349206,2.168,3.034,2.577,2.853,2.667,2.654,3.438,2.352
"24",187,"lh",4.277777778,3.283333333,3.301587302,1.925,2.895,2.927,3.098,2.629,2.554,3.049,2.589
"25",189,"lh",2.055555556,2.288888889,1.765873016,2.199,2.494,3.102,2.896,2.654,2.534,3.698,3.294
"26",190,"lh",4.472222222,3.422222222,2.888888889,2.19,3.668,2.622,3.042,2.919,2.476,2.655,3.27
"27",191,"lh",3.333333333,3.477777778,2.916666667,2.074,2.801,2.719,3.372,2.802,2.553,3.096,3.154
"28",193,"lh",5,3.455555556,3.698412698,2.252,2.615,3.087,3.502,2.691,2.555,3.233,2.502
"29",194,"lh",4.416666667,1.972222222,3.083333333,2.359,2.541,2.397,2.664,3.182,2.659,2.841,2.78
"30",195,"lh",4,2.083333333,2.869047619,2.222,2.207,3.388,2.866,2.939,2.444,2.845,2.61
"31",196,"lh",3.527777778,3.227777778,2.630952381,2.253,2.556,2.73,3.275,3.361,2.929,2.763,3.414
"32",197,"lh",3.111111111,3.211111111,3.412698413,2.251,2.394,2.243,2.71,2.935,2.254,2.928,3.075
"33",202,"lh",3.25,3.466666667,2.876984127,2.259,2.222,2.942,2.554,3.57,3.053,3.844,3.207
"34",203,"lh",2.722222222,3.261111111,1.69047619,2.297,2.273,2.163,3.029,3.296,2.406,2.889,3.142
"35",205,"lh",2.722222222,4.288888889,2.781746032,2.095,3.763,2.708,3.091,2.55,2.545,2.915,2.568
"36",206,"lh",4.416666667,3.116666667,2.027777778,2.073,2.728,2.495,2.395,2.521,2.472,2.957,2.659
"37",212,"lh",3.833333333,4.183333333,2.325396825,2.074,1.987,2.551,2.447,3.09,2.294,3.269,2.881
"38",215,"lh",4.25,1.322222222,2.682539683,2.006,2.104,2.515,2.555,2.779,2.429,2.196,3.545
"39",216,"lh",3.25,3.05,1.718253968,2.21,2.525,2.484,2.941,3.15,2.574,3.791,3.971
"40",217,"lh",3.388888889,2.822222222,2.567460317,2.526,2.412,2.612,3.015,3.653,2.623,3.724,3.542
"41",218,"lh",4.5,3.438888889,3.333333333,2.154,3.288,2.729,2.454,2.997,2.374,2.842,2.8
"42",223,"lh",1.916666667,1.866666667,2.043650794,2.444,2.667,3.075,2.667,3.783,2.289,3.087,3.262
"43",227,"lh",3.833333333,2.611111111,3.670634921,2.244,2.701,3.004,2.666,3.158,2.834,3.243,3.262
"44",228,"lh",3.388888889,2.805555556,2.972222222,2.245,2.311,2.594,2.774,2.763,2.165,3.17,2.573
"45",230,"lh",2.833333333,2.605555556,2.619047619,2.329,4.089,3.368,2.966,2.878,2.54,2.914,3.395
"46",233,"lh",4.222222222,3.894444444,1.75,2.288,3.115,2.792,2.626,2.721,3.028,2.952,3.193
"47",234,"lh",2.777777778,2.144444444,2.349206349,2.194,2.553,2.455,2.659,3.071,2.31,2.704,3.311
