"","sub","hemi","pif","lft","fta","colfs","mosp","mosa","tos","losa","losp","sf"
"1",103,"lh",4.888888889,3.288888889,2.738095238,2.711,2.704,2.681,2.221,2.23,2.473,2.928
"2",111,"lh",3.611111111,2.216666667,2.186507937,2.346,2.882,3.59,2.581,2.402,2.948,2.614
"3",115,"lh",2.888888889,2.722222222,2.900793651,2.37,3.498,2.84,2.367,2.586,2.701,3.5
"4",123,"lh",2.722222222,2.327777778,2.591269841,2.266,2.849,2.707,2.317,2.935,2.102,3.067
"5",124,"lh",3.611111111,3.055555556,3.76984127,2.345,2.803,2.463,2.365,2.83,1.795,3.024
"6",127,"lh",3.388888889,4.4,3.134920635,2.457,2.678,2.983,2.654,2.172,2.84,2.958
"7",129,"lh",3.777777778,4.188888889,3.126984127,2.632,2.955,2.538,2.765,2.528,2.839,3.1
"8",130,"lh",3.277777778,3.094444444,3.78968254,2.404,2.509,2.544,2.499,2.758,2.564,2.915
"9",134,"lh",4.111111111,3.155555556,2.222222222,2.465,2.712,4.275,2.649,2.283,2.083,2.572
"10",142,"lh",3.472222222,1.688888889,2.928571429,2.414,3.018,2.743,2.699,2.737,2.442,3.181
"11",143,"lh",4.416666667,3.883333333,3.257936508,2.377,2.919,3.759,2.108,2.261,2.226,2.442
"12",147,"lh",4.138888889,2.722222222,3.361111111,2.757,3.243,2.995,2.733,2.732,2.58,3.127
"13",148,"lh",4,1.877777778,1.71031746,2.305,2.956,3.895,2.752,3.923,2.348,3.272
"14",149,"lh",3.305555556,2.377777778,3.285714286,2.41,2.757,3.421,2.842,2.848,3.001,3.278
"15",153,"lh",4.166666667,3.244444444,3.146825397,2.268,3.063,2.686,2.475,1.931,2.857,2.866
"16",160,"lh",4.388888889,4.233333333,1.587301587,2.342,2.847,2.824,2.366,2.439,2.372,2.672
"17",171,"lh",3.833333333,3.172222222,2.365079365,2.509,2.657,3.398,2.727,2.632,2.445,2.55
"18",176,"lh",2,1.616666667,2.76984127,2.169,2.493,2.672,2.637,2.974,2.491,2.516
"19",178,"lh",2.527777778,4.35,2.523809524,2.379,3.002,2.933,2.535,2.519,2.185,3.452
"20",179,"lh",4.305555556,3.083333333,1.678571429,2.472,2.946,3.251,2.502,3.42,3.586,2.478
"21",181,"lh",2.888888889,3.777777778,3.28968254,2.566,2.956,3.311,2.707,3.362,2.726,3.195
"22",184,"lh",2.694444444,2.133333333,2.611111111,2.471,2.951,3.131,2.571,2.323,2.849,3.105
"23",185,"lh",4.333333333,2.288888889,2.456349206,2.304,2.853,3.438,2.654,3.034,2.577,2.352
"24",187,"lh",4.277777778,3.283333333,3.301587302,2.051,3.098,3.049,2.554,2.895,2.927,2.589
"25",189,"lh",2.055555556,2.288888889,1.765873016,2.284,2.896,3.698,2.534,2.494,3.102,3.294
"26",190,"lh",4.472222222,3.422222222,2.888888889,2.354,3.042,2.655,2.476,3.668,2.622,3.27
"27",191,"lh",3.333333333,3.477777778,2.916666667,2.237,3.372,3.096,2.553,2.801,2.719,3.154
"28",193,"lh",5,3.455555556,3.698412698,2.341,3.502,3.233,2.555,2.615,3.087,2.502
"29",194,"lh",4.416666667,1.972222222,3.083333333,2.49,2.664,2.841,2.659,2.541,2.397,2.78
"30",195,"lh",4,2.083333333,2.869047619,2.517,2.866,2.845,2.444,2.207,3.388,2.61
"31",196,"lh",3.527777778,3.227777778,2.630952381,2.512,3.275,2.763,2.929,2.556,2.73,3.414
"32",197,"lh",3.111111111,3.211111111,3.412698413,2.393,2.71,2.928,2.254,2.394,2.243,3.075
"33",202,"lh",3.25,3.466666667,2.876984127,2.513,2.554,3.844,3.053,2.222,2.942,3.207
"34",203,"lh",2.722222222,3.261111111,1.69047619,2.561,3.029,2.889,2.406,2.273,2.163,3.142
"35",205,"lh",2.722222222,4.288888889,2.781746032,2.218,3.091,2.915,2.545,3.763,2.708,2.568
"36",206,"lh",4.416666667,3.116666667,2.027777778,2.225,2.395,2.957,2.472,2.728,2.495,2.659
"37",212,"lh",3.833333333,4.183333333,2.325396825,2.25,2.447,3.269,2.294,1.987,2.551,2.881
"38",215,"lh",4.25,1.322222222,2.682539683,2.188,2.555,2.196,2.429,2.104,2.515,3.545
"39",216,"lh",3.25,3.05,1.718253968,2.48,2.941,3.791,2.574,2.525,2.484,3.971
"40",217,"lh",3.388888889,2.822222222,2.567460317,2.81,3.015,3.724,2.623,2.412,2.612,3.542
"41",218,"lh",4.5,3.438888889,3.333333333,2.288,2.454,2.842,2.374,3.288,2.729,2.8
"42",223,"lh",1.916666667,1.866666667,2.043650794,2.593,2.667,3.087,2.289,2.667,3.075,3.262
"43",227,"lh",3.833333333,2.611111111,3.670634921,2.519,2.666,3.243,2.834,2.701,3.004,3.262
"44",228,"lh",3.388888889,2.805555556,2.972222222,2.365,2.774,3.17,2.165,2.311,2.594,2.573
"45",230,"lh",2.833333333,2.605555556,2.619047619,2.437,2.966,2.914,2.54,4.089,3.368,3.395
"46",232,"lh",4.416666667,3.488888889,1.587301587,2.538,2.95,3.75,2.573,3.103,2.535,2.861
"47",233,"lh",4.222222222,3.894444444,1.75,2.369,2.626,2.952,3.028,3.115,2.792,3.193
"48",234,"lh",2.777777778,2.144444444,2.349206349,2.392,2.659,2.704,2.31,2.553,2.455,3.311
"49",236,"lh",3.75,3.927777778,1.976190476,2.372,2.607,2.518,2.446,2.836,2.129,3.52
"50",237,"lh",2.361111111,1.483333333,2.73015873,2.412,2.49,3.949,3.054,2.118,2.607,3.682
"51",240,"lh",3.083333333,3.794444444,1.94047619,2.543,2.406,2.845,2.377,2.974,2.415,2.843
"52",244,"lh",4.055555556,4.5,4.198412698,2.205,2.506,3.209,2.37,2.337,2.533,3.174
"53",246,"lh",2.805555556,3.205555556,2.369047619,2.248,2.578,2.284,2.383,2.63,2.599,3.421
"54",248,"lh",2.805555556,2.511111111,1.226190476,2.347,2.687,3.306,2.441,2.204,2.502,3.649
"55",249,"lh",4.833333333,2.666666667,2.428571429,2.198,3.028,2.819,2.228,2.123,2.301,2.573
"56",251,"lh",2.944444444,3.638888889,1.805555556,2.501,2.907,3.31,2.973,2.462,2.368,3.158
"57",252,"lh",2.638888889,3.105555556,1.825396825,2.121,2.887,2.805,2.431,2.509,2.439,2.658
"58",253,"lh",3.888888889,3.161111111,1.28968254,2.256,2.728,2.982,2.332,2.86,2.026,2.005
"59",254,"lh",2.888888889,3.216666667,2.638888889,2.626,2.721,2.63,2.581,2.556,2.681,2.522
"60",255,"lh",2.75,1.483333333,1.48015873,2.25,3.174,3.33,2.303,2.37,2.927,3.075
"61",256,"lh",3.777777778,3.316666667,2.206349206,2.222,2.739,3.988,3.085,3.296,2.758,3.208
"62",257,"lh",3.805555556,4.044444444,2.293650794,2.382,2.25,2.785,2.346,2.441,3.039,2.721
"63",258,"lh",5,4.088888889,4.027777778,2.44,3.007,3.048,2.309,3.322,2.563,3.159
"64",259,"lh",5,4.388888889,4.523809524,2.51,2.506,3.161,2.543,2.442,2.465,2.689
"65",263,"lh",3.555555556,2.077777778,3.424603175,2.396,2.708,2.996,2.861,2.731,2.673,2.954
"66",265,"lh",2.416666667,2.144444444,1.575396825,2.466,2.938,3.036,2.446,2.812,2.319,3.222
