subject,lh_pFus,lh_mFus,rh_pFus,rh_mFus
100206,4.981953144073486,4.445876598358153,6.029468059539795,4.103884220123291
100307,3.8003199100494394,4.815389633178711,5.833540916442871,6.302725315093994
100408,5.098554611206055,3.320727825164795,5.78339433670044,4.462283134460449
100610,6.467381954193115,4.212224006652832,5.841806888580322,4.439703464508057
101006,5.985231399536133,6.639391899108888,4.701452255249023,5.541800022125244
101107,4.471677303314209,2.7610392570495605,2.9358317852020264,4.551743507385254
101309,4.540054321289063,6.2205328941345215,3.837755918502808,5.9236412048339835
101410,4.749847412109375,3.1171112060546875,7.125608921051025,4.0501012802124015
101915,4.69271183013916,5.046292781829834,5.219307899475098,3.7689743041992183
102008,5.4403228759765625,3.8120739459991455,6.380280017852782,4.206099510192871
102311,3.533056735992432,4.084007740020752,3.4968352317810063,3.906725168228149
102513,7.371661186218263,6.147017002105713,5.955199718475343,2.597141027450561
102816,4.084673881530762,4.708464622497559,6.479176044464111,4.1859002113342285
103111,4.173582077026366,4.054605484008788,4.632109642028809,4.917260646820068
103414,3.674340724945069,4.666563510894775,5.228271961212158,3.835900068283081
103515,3.680031061172485,2.596747398376465,3.9249498844146733,2.746906518936157
103818,3.0515248775482178,4.992509365081787,,4.0706443786621085
104416,6.3932037353515625,4.885143756866455,5.671344757080077,4.969262599945068
104820,6.4335479736328125,4.053676128387451,4.466492652893066,5.403153896331787
105014,4.952720642089844,3.030094623565674,4.7282371520996085,4.374006271362306
105115,4.7086710929870605,4.44406270980835,4.509126663208008,4.405378818511963
105216,4.3243937492370605,4.69635534286499,6.247147083282472,6.40473222732544
105620,5.201380729675293,5.646694660186768,8.407566070556639,5.611164093017578
105923,5.791354656219482,4.0073113441467285,6.59756326675415,5.112580299377441
106319,3.5797932147979736,5.016802787780762,3.4327845573425293,4.00994348526001
106521,4.100517749786377,4.156295776367188,4.5508084297180185,3.2320570945739746
107018,6.002439498901367,4.615053653717041,5.285603046417236,8.935829162597656
107220,5.303754806518555,4.819869518280028,4.070635795593262,4.1077022552490225
107321,5.748143196105957,6.819272041320801,6.784415245056152,6.149953365325928
107422,5.020997524261475,5.4191179275512695,5.842217445373535,5.324834823608398
107725,5.26371955871582,2.862687587738037,5.534193515777588,2.8481171131134038
108121,4.575887203216553,2.904182910919189,5.7074928283691415,3.723630666732788
