,sub,hemi,label,vertices,total_surface_area_(mm^2),total_gray_matter_volume_(mm^3),cortical_thickness_mean,cortical_thickness_std,rectified_mean_curvature,rectified_Gaussian_curvature,folding_index,intrinsic_curvature_index,mean_face_activation,max_face_activation,mean_pct_max_face_activation
0,1,lh,cortex,137285.0,91532.0,242202.0,2.4,0.597,0.123,0.026,1632.0,142.2,-0.19993038475513458,8.677677154541016,-0.023039618507027626
0,1,rh,cortex,138947.0,92545.0,244212.0,2.4,0.6,0.123,0.026,1677.0,144.3,-0.14041581749916077,6.192505836486816,-0.02267512120306492
0,2,lh,cortex,155388.0,103083.0,275595.0,2.417,0.6,0.119,0.024,1717.0,150.0,-0.09428881108760834,4.6583709716796875,-0.020240724086761475
0,2,rh,cortex,156355.0,104213.0,277368.0,2.41,0.594,0.119,0.024,1745.0,148.8,0.021406859159469604,5.661015033721924,0.0037814523093402386
0,3,lh,cortex,120441.0,81802.0,217198.0,2.414,0.593,0.126,0.026,1468.0,130.1,-0.10588999092578888,3.781022548675537,-0.028005648404359818
0,3,rh,cortex,121211.0,82365.0,220088.0,2.452,0.598,0.125,0.026,1410.0,125.2,0.06089159846305847,4.503392696380615,0.013521271757781506
0,4,lh,cortex,121382.0,80654.0,218945.0,2.449,0.601,0.124,0.025,1441.0,123.9,0.018056955188512802,9.782238960266113,0.0018458918202668428
0,4,rh,cortex,122593.0,81474.0,220601.0,2.433,0.606,0.124,0.026,1550.0,129.8,0.12637704610824585,8.44554328918457,0.014963754452764988
0,5,lh,cortex,140033.0,94311.0,265138.0,2.506,0.629,0.121,0.025,1613.0,138.2,-0.14912350475788116,4.857622146606445,-0.0306988637894392
0,5,rh,cortex,140320.0,94360.0,267487.0,2.537,0.643,0.121,0.025,1592.0,137.8,-0.05342205986380577,9.838065147399902,-0.005430138204246759
0,6,lh,cortex,119398.0,80704.0,212721.0,2.351,0.6,0.13,0.028,1637.0,137.8,-0.07231682538986206,3.953752040863037,-0.018290691077709198
0,6,rh,cortex,117938.0,80285.0,213806.0,2.369,0.593,0.127,0.027,1558.0,130.1,-0.0395294725894928,3.3988943099975586,-0.011630100198090076
0,7,lh,cortex,151888.0,100707.0,274474.0,2.447,0.61,0.123,0.025,1890.0,151.2,-0.06867494434118271,9.211584091186523,-0.007455280516296625
0,7,rh,cortex,150748.0,99930.0,276429.0,2.491,0.591,0.122,0.025,1860.0,151.5,0.07005610316991806,4.262272834777832,0.016436325386166573
0,8,lh,cortex,117402.0,81015.0,219312.0,2.425,0.621,0.13,0.027,1477.0,131.2,-0.03904900327324867,6.448821067810059,-0.006055215373635292
0,8,rh,cortex,117299.0,80383.0,218656.0,2.441,0.613,0.129,0.027,1468.0,128.3,0.06006023287773132,7.739790439605713,0.007759930565953255
0,9,lh,cortex,109848.0,73320.0,186862.0,2.316,0.563,0.129,0.027,1446.0,120.5,-0.032262884080410004,13.048666000366211,-0.00247250497341156
0,9,rh,cortex,110983.0,74002.0,188382.0,2.319,0.559,0.131,0.028,1500.0,124.3,0.03748435154557228,3.2139766216278076,0.0116629209369421
0,10,lh,cortex,152217.0,100736.0,277179.0,2.443,0.617,0.121,0.025,1763.0,152.1,0.009313561022281647,4.694026947021484,0.001984131056815386
0,10,rh,cortex,152519.0,101854.0,282995.0,2.481,0.612,0.122,0.026,1801.0,158.9,0.0973682627081871,6.139336585998535,0.015859734266996384
0,11,lh,cortex,124223.0,84073.0,232817.0,2.469,0.643,0.125,0.027,1466.0,133.8,-0.05047089233994484,4.702088356018066,-0.010733717121183872
0,11,rh,cortex,124330.0,84687.0,235198.0,2.475,0.624,0.124,0.026,1468.0,134.9,0.014288078062236309,6.52606725692749,0.002189385937526822
0,12,lh,cortex,115620.0,80700.0,227843.0,2.464,0.663,0.131,0.029,1597.0,136.7,-0.07775409519672394,7.028134346008301,-0.011063264682888985
0,12,rh,cortex,116298.0,81104.0,232831.0,2.512,0.684,0.131,0.028,1564.0,138.1,0.10181829333305359,4.656288146972656,0.02186683565378189
0,13,lh,cortex,139117.0,92618.0,247098.0,2.42,0.623,0.121,0.025,1586.0,142.3,-0.25712984800338745,7.785036563873291,-0.033028729259967804
0,13,rh,cortex,139538.0,92756.0,247420.0,2.401,0.612,0.121,0.026,1625.0,142.3,-0.1618690937757492,14.567357063293457,-0.011111767962574959
0,14,lh,cortex,131098.0,87421.0,237933.0,2.441,0.606,0.12,0.025,1473.0,132.5,0.04404766857624054,6.962255001068115,0.006326637696474791
0,14,rh,cortex,128587.0,85553.0,234107.0,2.454,0.598,0.121,0.026,1460.0,132.4,0.09637288004159927,7.075187683105469,0.013621246442198753
0,15,lh,cortex,121853.0,82703.0,219989.0,2.427,0.63,0.129,0.027,1475.0,131.6,0.006418068893253803,5.758605003356934,0.0011145171010866761
