,sub,hemi,label,vertices,total_surface_area_(mm^2),total_gray_matter_volume_(mm^3),cortical_thickness_mean,cortical_thickness_std,rectified_mean_curvature,rectified_Gaussian_curvature,folding_index,intrinsic_curvature_index,mean_face_activation,max_face_activation,mean_pct_max_face_activation
0,1,lh,mFUS,260.0,176.0,608.0,2.574,0.358,0.115,0.014,4.0,0.2,0.9812682271003723,1.6492340564727783,0.11307960003614426
0,1,lh,pFUS,127.0,89.0,260.0,2.33,0.383,0.096,0.023,1.0,0.1,0.640601396560669,1.0292799472808838,0.07382176071405411
0,1,rh,mFUS,579.0,389.0,882.0,2.41,0.348,0.089,0.016,3.0,0.4,1.2116261720657349,1.9768165349960327,0.1956600844860077
0,1,rh,pFUS,271.0,175.0,411.0,2.188,0.484,0.125,0.023,3.0,0.2,0.7979005575180054,1.1359754800796509,0.12884938716888428
0,2,lh,mFUS,267.0,168.0,434.0,2.612,0.521,0.085,0.012,1.0,0.1,0.5660646557807922,0.680976390838623,0.12151559442281723
0,2,lh,pFUS,255.0,175.0,455.0,2.555,0.261,0.11,0.027,3.0,0.2,0.8416053652763367,1.405230164527893,0.18066516518592834
0,2,rh,mFUS,258.0,180.0,547.0,3.02,0.409,0.131,0.022,3.0,0.2,1.3304047584533691,2.1020565032958984,0.23501168191432953
0,2,rh,pFUS,11.0,10.0,49.0,3.064,0.311,0.154,0.024,0.0,0.0,0.6553370952606201,0.6916828751564026,0.11576318740844727
0,3,lh,mFUS,294.0,215.0,612.0,2.462,0.452,0.163,0.038,6.0,0.3,0.9360328912734985,1.5773131847381592,0.2475607991218567
0,3,lh,pFUS,313.0,210.0,704.0,2.86,0.551,0.151,0.03,5.0,0.3,1.0168304443359375,1.7178245782852173,0.26893001794815063
0,3,rh,mFUS,251.0,181.0,554.0,2.545,0.476,0.127,0.027,4.0,0.2,1.2401504516601562,1.7346633672714233,0.2753813862800598
0,3,rh,pFUS,178.0,127.0,223.0,2.322,0.35,0.128,0.024,1.0,0.1,1.1706761121749878,1.635645866394043,0.2599542737007141
0,4,lh,mFUS,152.0,96.0,360.0,2.768,0.306,0.1,0.021,2.0,0.1,0.9145582318305969,1.2805774211883545,0.09349171072244644
0,4,lh,pFUS,63.0,50.0,95.0,1.947,0.754,0.162,0.023,1.0,0.1,0.8310444951057434,1.1489530801773071,0.0849544033408165
0,4,rh,mFUS,233.0,130.0,319.0,2.148,0.599,0.089,0.027,3.0,0.3,1.8864868879318237,4.163662433624268,0.22337068617343903
0,4,rh,pFUS,542.0,366.0,1302.0,3.034,0.508,0.131,0.024,8.0,0.5,1.6348050832748413,2.567465305328369,0.19357015192508698
0,5,lh,mFUS,331.0,232.0,722.0,2.424,0.525,0.14,0.038,6.0,0.4,1.0528550148010254,1.9201185703277588,0.2167428731918335
0,5,lh,pFUS,379.0,249.0,583.0,2.32,0.395,0.136,0.029,5.0,0.5,1.1070419549942017,1.9321963787078857,0.22789792716503143
0,5,rh,mFUS,709.0,510.0,1614.0,3.053,0.546,0.133,0.023,11.0,0.7,1.2451783418655396,2.1155314445495605,0.12656739354133606
0,5,rh,pFUS,534.0,356.0,929.0,2.555,0.534,0.143,0.025,7.0,0.6,1.2007529735565186,2.061009407043457,0.12205173820257187
0,6,lh,mFUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,6,lh,pFUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
