,sub,hemi,label,vertices,total_surface_area_(mm^2),total_gray_matter_volume_(mm^3),cortical_thickness_mean,cortical_thickness_std,rectified_mean_curvature,rectified_Gaussian_curvature,folding_index,intrinsic_curvature_index,mean_face_ct_ratio,max_face_ct_ratio,mean_pct_max_face_ct_ratio
0,1,lh,mFUS,260.0,176.0,608.0,2.574,0.358,0.115,0.014,4.0,0.2,0.3893088102340698,0.6911329627037048,0.0934625044465065
0,1,lh,pFUS,127.0,89.0,260.0,2.33,0.383,0.096,0.023,1.0,0.1,0.2815389335155487,0.4477456212043762,0.06758987903594971
0,1,rh,mFUS,579.0,389.0,882.0,2.41,0.348,0.089,0.016,3.0,0.4,0.5058034658432007,0.8576703071594238,0.1480432003736496
0,1,rh,pFUS,271.0,175.0,411.0,2.188,0.484,0.125,0.023,3.0,0.2,0.38264763355255127,0.7009711861610413,0.11199680715799332
0,2,lh,mFUS,267.0,168.0,434.0,2.612,0.521,0.085,0.012,1.0,0.1,0.22545231878757477,0.34932756423950195,0.0876070037484169
0,2,lh,pFUS,255.0,175.0,455.0,2.555,0.261,0.11,0.027,3.0,0.2,0.328004390001297,0.599419355392456,0.12745700776576996
0,2,rh,mFUS,258.0,180.0,547.0,3.02,0.409,0.131,0.022,3.0,0.2,0.44452163577079773,0.7490105032920837,0.12287704646587372
0,2,rh,pFUS,11.0,10.0,49.0,3.064,0.311,0.154,0.024,0.0,0.0,0.21603988111019135,0.2523273825645447,0.05971889570355415
0,3,lh,mFUS,294.0,215.0,612.0,2.462,0.452,0.163,0.038,6.0,0.3,0.39760205149650574,0.910334587097168,0.1778094470500946
0,3,lh,pFUS,313.0,210.0,704.0,2.86,0.551,0.151,0.03,5.0,0.3,0.36640676856040955,0.7352749705314636,0.16385877132415771
0,3,rh,mFUS,251.0,181.0,554.0,2.545,0.476,0.127,0.027,4.0,0.2,0.513384222984314,1.0732271671295166,0.15759143233299255
