,sub,hemi,label,vertices,total_surface_area_(mm^2),total_gray_matter_volume_(mm^3),lgi_mean,lgi_std,rectified_mean_curvature,rectified_Gaussian_curvature,folding_index,intrinsic_curvature_index,sulcal_depth_mean,sulcal_depth_max,sulcal_depth_mean_pct
0,1,lh,mFUS,260.0,176.0,608.0,2.864,0.044,0.115,0.014,4.0,0.2,-3.079533338546753,5.679624557495117,-0.18528352677822113
0,1,lh,pFUS,127.0,89.0,260.0,2.848,0.038,0.096,0.023,1.0,0.1,-3.290215015411377,2.7994840145111084,-0.19795942306518555
0,1,rh,mFUS,579.0,389.0,882.0,2.801,0.032,0.089,0.016,3.0,0.4,3.2693748474121094,9.84042739868164,0.19530992209911346
0,1,rh,pFUS,271.0,175.0,411.0,2.591,0.1,0.125,0.023,3.0,0.2,3.0987367630004883,10.898260116577148,0.18511618673801422
0,2,lh,mFUS,267.0,168.0,434.0,2.754,0.036,0.085,0.012,1.0,0.1,1.5747060775756836,5.9128947257995605,0.10018391162157059
0,2,lh,pFUS,255.0,175.0,455.0,2.766,0.037,0.11,0.027,3.0,0.2,2.962550163269043,9.439257621765137,0.18847951292991638
0,2,rh,mFUS,258.0,180.0,547.0,2.781,0.042,0.131,0.022,3.0,0.2,0.8219311833381653,5.399352550506592,0.045241374522447586
0,2,rh,pFUS,11.0,10.0,49.0,2.59,0.009,0.154,0.024,0.0,0.0,-5.301752090454102,-4.105170726776123,-0.2918231189250946
0,3,lh,mFUS,294.0,215.0,612.0,2.755,0.081,0.163,0.038,6.0,0.3,-0.34922078251838684,6.0316057205200195,-0.020197352394461632
0,3,lh,pFUS,313.0,210.0,704.0,2.711,0.109,0.151,0.03,5.0,0.3,-2.186260461807251,2.809013843536377,-0.12644344568252563
0,3,rh,mFUS,251.0,181.0,554.0,2.528,0.043,0.127,0.027,4.0,0.2,-1.5117158889770508,6.044063091278076,-0.08660872280597687
0,3,rh,pFUS,178.0,127.0,223.0,2.617,0.035,0.128,0.024,1.0,0.1,1.8506262302398682,6.501307487487793,0.10602544993162155
0,4,lh,mFUS,152.0,96.0,360.0,2.737,0.037,0.1,0.021,2.0,0.1,-3.7906494140625,2.5970466136932373,-0.2332369089126587
0,4,lh,pFUS,63.0,50.0,95.0,2.624,0.013,0.162,0.023,1.0,0.1,0.06105915084481239,4.023085594177246,0.0037569422274827957
0,4,rh,mFUS,233.0,130.0,319.0,2.537,0.035,0.089,0.027,3.0,0.3,-1.2174900770187378,4.015964984893799,-0.07471857219934464
0,4,rh,pFUS,542.0,366.0,1302.0,2.605,0.026,0.131,0.024,8.0,0.5,-1.3087769746780396,3.0846314430236816,-0.08032093197107315
0,5,lh,mFUS,331.0,232.0,722.0,2.915,0.058,0.14,0.038,6.0,0.4,-3.535235643386841,2.8812379837036133,-0.20867229998111725
0,5,lh,pFUS,379.0,249.0,583.0,2.823,0.044,0.136,0.029,5.0,0.5,-0.9443677663803101,3.7993156909942627,-0.055742647498846054
0,5,rh,mFUS,709.0,510.0,1614.0,2.59,0.051,0.133,0.023,11.0,0.7,-1.198578953742981,5.811117172241211,-0.07120057940483093
0,5,rh,pFUS,534.0,356.0,929.0,2.688,0.039,0.143,0.025,7.0,0.6,-0.32753893733024597,6.1796393394470215,-0.019457178190350533
0,6,rh,mFUS,178.0,117.0,314.0,2.697,0.039,0.144,0.034,3.0,0.2,1.3690506219863892,6.734407424926758,0.08321865648031235
0,6,rh,pFUS,354.0,247.0,600.0,2.736,0.021,0.148,0.027,5.0,0.4,2.80442476272583,6.023078918457031,0.17046883702278137
0,7,lh,mFUS,560.0,355.0,1347.0,2.719,0.114,0.143,0.03,9.0,0.8,-0.323016881942749,8.00660228729248,-0.020233243703842163
0,7,rh,mFUS,229.0,162.0,579.0,2.935,0.102,0.156,0.039,4.0,0.4,0.7264842987060547,6.706780433654785,0.04341109097003937
0,7,rh,pFUS,537.0,363.0,825.0,2.934,0.051,0.116,0.023,4.0,0.5,4.799355506896973,8.8599214553833,0.28678566217422485
0,8,rh,mFUS,242.0,172.0,423.0,2.65,0.013,0.126,0.025,2.0,0.3,4.521415710449219,7.626334190368652,0.2592010796070099
0,9,lh,mFUS,347.0,240.0,674.0,2.832,0.025,0.144,0.034,4.0,0.5,0.3806804120540619,3.8261489868164062,0.02294602431356907
