,sub,hemi,label,vertices,total_surface_area_(mm^2),total_gray_matter_volume_(mm^3),cortical_thickness_mean,cortical_thickness_std,rectified_mean_curvature,rectified_Gaussian_curvature,folding_index,intrinsic_curvature_index,mean_depth,sulcal_pit,gyral_crown,mean_pct_max_depth
0,1,lh,G_oc-temp_lat-fusifor,2532.0,1680.0,5951.0,2.79,0.551,0.126,0.027,39.0,2.8,-0.9720993041992188,5.929610729217529,-8.491439819335938,-0.058487433940172195
0,1,lh,cortex,137285.0,91532.0,242202.0,2.4,0.597,0.123,0.026,1632.0,142.2,0.005629370454698801,16.62065315246582,-15.38459587097168,0.00033869632170535624
0,1,lh,PPA,1142.0,782.0,1862.0,2.338,0.649,0.102,0.016,9.0,0.7,5.326693534851074,11.329621315002441,-3.9969727993011475,0.3204864263534546
0,1,rh,G_oc-temp_lat-fusifor,2725.0,1714.0,6005.0,2.676,0.602,0.129,0.03,45.0,3.2,-1.7077770233154297,3.1883177757263184,-7.706230163574219,-0.10202128440141678
0,1,rh,cortex,138947.0,92545.0,244212.0,2.4,0.6,0.123,0.026,1677.0,144.3,-0.028719358146190643,16.739418029785156,-13.75087833404541,-0.001715672668069601
0,1,rh,PPA,866.0,603.0,1382.0,2.255,0.672,0.098,0.012,5.0,0.4,4.351168155670166,10.259233474731445,-6.213475227355957,0.2599354684352875
0,2,lh,G_oc-temp_lat-fusifor,2238.0,1494.0,4780.0,2.6,0.449,0.135,0.028,36.0,2.4,-0.036009542644023895,8.53854751586914,-7.386763572692871,-0.002290960866957903
0,2,lh,cortex,155388.0,103083.0,275595.0,2.417,0.6,0.119,0.024,1717.0,150.0,0.006240339018404484,15.718154907226562,-13.672638893127441,0.00039701524656265974
0,2,lh,PPA,1206.0,848.0,1880.0,2.277,0.444,0.11,0.017,11.0,0.8,5.504838466644287,12.309157371520996,-4.044853210449219,0.3502216637134552
0,2,rh,G_oc-temp_lat-fusifor,2420.0,1580.0,5357.0,2.764,0.516,0.142,0.033,45.0,3.3,0.10346367210149765,8.20968246459961,-7.148283004760742,0.005694926716387272
0,2,rh,cortex,156355.0,104213.0,277368.0,2.41,0.594,0.119,0.024,1745.0,148.8,-0.0064219702035188675,18.167688369750977,-13.703843116760254,-0.000353481707861647
0,2,rh,PPA,1168.0,809.0,1850.0,2.313,0.602,0.084,0.012,6.0,0.6,5.532147407531738,12.797964096069336,-4.673031330108643,0.30450475215911865
0,3,lh,G_oc-temp_lat-fusifor,1610.0,1119.0,3794.0,2.694,0.528,0.139,0.03,26.0,1.7,-1.7797236442565918,5.0560479164123535,-6.644213676452637,-0.1029311791062355
0,3,lh,cortex,120441.0,81802.0,217198.0,2.414,0.593,0.126,0.026,1468.0,130.1,-0.0008790124556981027,17.290424346923828,-14.665151596069336,-5.0836530135711655e-05
0,3,lh,PPA,1112.0,778.0,1764.0,2.464,0.469,0.112,0.021,10.0,1.0,6.238524436950684,12.441484451293945,-5.300102710723877,0.3608080744743347
0,3,rh,G_oc-temp_lat-fusifor,2087.0,1436.0,4885.0,2.668,0.524,0.148,0.038,37.0,2.9,-1.9517158269882202,3.263373374938965,-8.300848007202148,-0.11181702464818954
0,3,rh,cortex,121211.0,82365.0,220088.0,2.452,0.598,0.125,0.026,1410.0,125.2,0.001247260021045804,17.454547882080078,-14.503300666809082,7.14600391802378e-05
0,3,rh,PPA,964.0,667.0,1655.0,2.548,0.579,0.101,0.017,6.0,0.7,5.342903137207031,10.347343444824219,-4.755144119262695,0.30610379576683044
0,4,lh,G_oc-temp_lat-fusifor,1926.0,1247.0,4580.0,2.965,0.538,0.129,0.029,29.0,2.2,-0.957670271396637,5.811755657196045,-7.69974422454834,-0.05892500653862953
0,4,lh,cortex,121382.0,80654.0,218945.0,2.449,0.601,0.124,0.025,1441.0,123.9,-0.01616235077381134,16.252357482910156,-13.341283798217773,-0.0009944634512066841
0,4,lh,PPA,999.0,676.0,1617.0,2.478,0.393,0.107,0.018,8.0,0.7,5.384059429168701,9.896651268005371,-3.57421612739563,0.33127865195274353
0,4,rh,G_oc-temp_lat-fusifor,2038.0,1314.0,4475.0,2.767,0.575,0.138,0.032,36.0,2.4,-1.1882113218307495,5.0905327796936035,-6.8563008308410645,-0.07292170077562332
0,4,rh,cortex,122593.0,81474.0,220601.0,2.433,0.606,0.124,0.026,1550.0,129.8,-0.0337265320122242,16.294343948364258,-14.40187931060791,-0.0020698322914540768
0,4,rh,PPA,980.0,657.0,1720.0,2.687,0.561,0.105,0.017,9.0,0.6,4.507078647613525,10.012882232666016,-4.298500061035156,0.2766038477420807
0,5,lh,G_oc-temp_lat-fusifor,2107.0,1401.0,4942.0,2.754,0.584,0.155,0.038,43.0,3.6,-2.1006383895874023,7.174302101135254,-8.545483589172363,-0.1239931657910347
0,5,lh,cortex,140033.0,94311.0,265138.0,2.506,0.629,0.121,0.025,1613.0,138.2,-0.02397434413433075,16.941564559936523,-13.881665229797363,-0.001415117527358234
0,5,lh,PPA,1048.0,752.0,1855.0,2.519,0.337,0.123,0.021,11.0,1.0,4.6694865226745605,10.356751441955566,-5.126242637634277,0.275623083114624
0,5,rh,G_oc-temp_lat-fusifor,2593.0,1710.0,5894.0,2.824,0.6,0.147,0.03,48.0,3.3,-2.0052850246429443,5.996099472045898,-8.879831314086914,-0.11912228912115097
0,5,rh,cortex,140320.0,94360.0,267487.0,2.537,0.643,0.121,0.025,1592.0,137.8,-0.018459167331457138,16.83383560180664,-13.024985313415527,-0.0010965514229610562
0,5,rh,PPA,960.0,684.0,1811.0,2.678,0.513,0.112,0.02,10.0,0.7,4.727991580963135,11.131155014038086,-4.448075294494629,0.280862420797348
0,6,lh,G_oc-temp_lat-fusifor,1495.0,991.0,3150.0,2.469,0.576,0.132,0.034,31.0,1.9,-0.8801432847976685,6.630285263061523,-7.584013938903809,-0.05536733195185661
0,6,lh,cortex,119398.0,80704.0,212721.0,2.351,0.6,0.13,0.028,1637.0,137.8,0.011906901374459267,15.896438598632812,-12.359151840209961,0.0007490304415114224
0,6,lh,PPA,918.0,647.0,1349.0,2.191,0.437,0.116,0.021,9.0,0.9,5.364782810211182,11.314656257629395,-6.23036003112793,0.33748331665992737
0,6,rh,G_oc-temp_lat-fusifor,1762.0,1175.0,3750.0,2.59,0.516,0.148,0.033,34.0,2.4,0.14764459431171417,6.255241394042969,-5.307197570800781,0.008974675089120865
0,6,rh,cortex,117938.0,80285.0,213806.0,2.369,0.593,0.127,0.027,1558.0,130.1,-0.005107606295496225,16.45124626159668,-13.502348899841309,-0.00031046895310282707
0,6,rh,PPA,913.0,613.0,1435.0,2.219,0.6,0.108,0.021,9.0,0.6,4.1179518699646,9.442129135131836,-4.1352763175964355,0.2503124475479126
0,7,lh,G_oc-temp_lat-fusifor,2475.0,1615.0,5640.0,2.802,0.616,0.131,0.031,43.0,2.9,-0.9383171796798706,8.74733829498291,-9.209687232971191,-0.05877465009689331
0,7,lh,cortex,151888.0,100707.0,274474.0,2.447,0.61,0.123,0.025,1890.0,151.2,0.006610570941120386,15.964659690856934,-13.299489974975586,0.00041407125536352396
0,7,lh,PPA,1199.0,859.0,1998.0,2.389,0.422,0.104,0.018,9.0,0.9,5.232538223266602,11.506439208984375,-8.275874137878418,0.3277575969696045
0,7,rh,G_oc-temp_lat-fusifor,1810.0,1139.0,4723.0,3.059,0.55,0.126,0.035,101.0,2.8,-2.316197633743286,6.030104637145996,-9.756924629211426,-0.1384044885635376
0,7,rh,cortex,150748.0,99930.0,276429.0,2.491,0.591,0.122,0.025,1860.0,151.5,-0.004492603242397308,16.734989166259766,-13.46355152130127,-0.0002684525679796934
0,7,rh,PPA,1123.0,765.0,1645.0,2.452,0.401,0.091,0.02,7.0,0.7,5.783886432647705,12.679443359375,-7.706199645996094,0.3456164002418518
0,8,lh,G_oc-temp_lat-fusifor,1617.0,1092.0,3620.0,2.611,0.516,0.147,0.04,32.0,2.2,-1.1344304084777832,5.766992568969727,-6.8109002113342285,-0.06997111439704895
0,8,lh,cortex,117402.0,81015.0,219312.0,2.425,0.621,0.13,0.027,1477.0,131.2,-0.027379950508475304,16.212839126586914,-13.705300331115723,-0.0016887843376025558
0,8,lh,PPA,864.0,609.0,1247.0,2.156,0.39,0.122,0.02,8.0,0.8,5.49690580368042,10.438676834106445,-4.56486177444458,0.3390464782714844
0,8,rh,G_oc-temp_lat-fusifor,1627.0,1067.0,3740.0,2.623,0.556,0.142,0.038,30.0,2.1,-0.8219016194343567,5.750870704650879,-5.53133487701416,-0.04711749404668808
0,8,rh,cortex,117299.0,80383.0,218656.0,2.441,0.613,0.129,0.027,1468.0,128.3,-0.02727321721613407,17.443660736083984,-14.737309455871582,-0.0015635014278814197
0,8,rh,PPA,703.0,507.0,1062.0,2.177,0.495,0.107,0.016,5.0,0.5,4.650087833404541,8.995128631591797,-3.4760444164276123,0.26657751202583313
0,9,lh,G_oc-temp_lat-fusifor,1644.0,1096.0,3252.0,2.466,0.394,0.153,0.035,29.0,2.4,-1.2243560552597046,5.690144062042236,-7.513608932495117,-0.07379971444606781
0,9,lh,cortex,109848.0,73320.0,186862.0,2.316,0.563,0.129,0.027,1446.0,120.5,-0.020780108869075775,16.590253829956055,-14.349775314331055,-0.001252549234777689
0,9,lh,PPA,882.0,616.0,1390.0,2.517,0.427,0.111,0.021,7.0,0.7,5.339128017425537,10.555436134338379,-4.153377532958984,0.3218231499195099
0,9,rh,G_oc-temp_lat-fusifor,1335.0,877.0,2634.0,2.417,0.404,0.157,0.039,32.0,1.9,-0.5498192310333252,7.334995746612549,-5.789754867553711,-0.03220884129405022
0,9,rh,cortex,110983.0,74002.0,188382.0,2.319,0.559,0.131,0.028,1500.0,124.3,-0.03545162081718445,17.070444107055664,-13.166106224060059,-0.0020767853129655123
0,9,rh,PPA,910.0,611.0,1538.0,2.527,0.507,0.113,0.023,8.0,0.7,3.8516736030578613,9.687255859375,-5.039687156677246,0.22563406825065613
0,10,lh,G_oc-temp_lat-fusifor,2123.0,1418.0,4802.0,2.705,0.585,0.14,0.034,40.0,2.6,-1.743202805519104,5.916957855224609,-11.49195671081543,-0.0997098907828331
