ID,reflexrxnfeelings_1,reflexrxnfeelings_2,reflexrxnfeelings_3,reflexrxnfeelings_4,reflexrxnfeelings_5,reflexrxnfeelings_6,reflexrxnfeelings_7,A3factor_8,A3factor_9,A3factor_10,A3factor_11,A3factor_12,A3factor_13,A3factor_14,A3factor_15,A3factor_16,A3factor_17,A3factor_18,A3factor_19,A3factor_20,A3factor_21,A3factor_22,A3factor_23,A3factor_24,A3factor_26,A3factor_27,A3factor_28,A3factor_29,urgency_1,urgency_2,urgency_3,urgency_4,urgency_5,urgency_6,urgency_7,urgency_8,urgency_9,urgency_10,urgency_11,urgency_12,A3factor_57,A3factor_58,A3factor_59,A3factor_60,A3factor_61,A3factor_62,A3factor_63,A3factor_64,A3factor_65,A3factor_66,A3factor_67,A3factor_68,A3factor_69,A3factor_70,pum_1,pum_2,pum_3,pum_4,pum_5,pum_6,pum_7,urgency_1R,urgency_2R,urgency_3R,urgency_4R,urgency_5R,urgency_6R,urgency_7R,urgency_8R,urgency_9R,urgency_10R,urgency_12R,pum_1R,pum_2R,pum_3R,pum_4R,pum_5R,pum_6R,pum_7R,reflexrxnfeelings_1R,reflexrxnfeelings_2R,reflexrxnfeelings_3R,reflexrxnfeelings_4R,reflexrxnfeelings_5R,reflexrxnfeelings_6R,reflexrxnfeelings_7R,A3factor_67R,A3factor_69R,A3factor_70R,A3factor_28R,A3factor_29R,A3factor_24R,A3factor_26R,A3factor_27R,A3factor_58R,A3factor_66R,A3factor_8R,A3factor_9R,A3factor_10R,A3factor_11R,A3factor_13R,A3factor_14R,A3factor_15R,A3factor_16R,urgency,pum,Factor_FeelingsTrigger,Generalization,ReflexRxFeelings,SadParalysis,EmoColorWorld,Factor_PervInf,LowPerseverance,Distractability,Factor_LackFollowThrough
101,1,1,2,1,1,1,1,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,1,1,4,4,1,1,3,2,2,2,1,1,1,1,4,1,1,5,1,1,2,1,1,1,1,5,4,3,3,3,5,2,1,2,2,2,1,5,5,3,4,4,4,5,5,5,5,5,1,4,5,4,4,4,5,5,5,4,5,5,5,5,2,3,3,2,2,1,5,5,1,1,1,1,1,1,1,1,1,1,4.5,3.857142857,4.404761905,2.75,4.857142857,2,3.666666667,2.805555556,1.1,1,1.05
102,2,3,2,3,4,4,2,4,5,5,5,2,5,5,5,5,4,5,5,4,5,5,5,4,2,2,5,5,5,4,5,5,5,5,5,4,5,5,3,5,2,4,4,4,2,2,2,1,1,4,4,4,4,5,4,5,5,5,5,4,5,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,4,3,4,3,2,2,4,2,2,1,1,1,2,4,4,2,2,2,1,1,1,1,1,1,1,1.333333333,1.285714286,1.920634921,2.25,3.142857143,1,3.333333333,2.194444444,2.2,1.222222222,1.711111111
103,5,5,5,5,5,1,4,1,3,3,3,3,2,1,1,3,1,1,2,3,2,2,2,2,1,1,1,1,2,3,2,2,2,2,3,3,3,3,3,2,2,2,1,2,3,3,3,3,3,2,1,5,1,1,3,3,3,3,3,3,3,4,3,4,4,4,4,3,3,3,3,4,3,3,3,3,3,3,3,1,1,1,1,1,5,2,5,5,5,5,5,4,5,5,4,4,5,3,3,3,4,5,5,3,3.5,3,2.738095238,5,1.714285714,5,4.666666667,4.888888889,2.8,3.777777778,3.288888889
104,3,3,2,3,3,3,3,2,2,1,1,1,2,2,2,2,2,5,2,2,2,2,1,2,2,2,5,5,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,4,3,3,4,4,2,3,3,4,3,5,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,4,3,4,3,3,4,3,3,3,3,3,2,3,1,1,4,4,4,4,4,4,4,5,5,4,4,4,4,3,3,3.047619048,2.75,3.142857143,1,4,2.583333333,3.3,3.888888889,3.594444444
105,2,2,1,1,4,2,1,2,3,2,2,4,3,2,2,2,2,2,3,2,2,3,2,1,2,1,2,3,3,2,1,2,1,4,3,2,4,5,3,2,1,4,1,2,3,3,4,2,3,2,1,5,1,1,2,5,5,5,5,2,5,3,4,5,4,5,2,3,4,2,1,4,4,1,1,1,1,4,1,4,4,5,5,2,4,5,5,5,5,4,3,5,4,5,2,4,4,3,4,4,3,4,4,4,3.333333333,1.857142857,3.111111111,5,4.142857143,3.5,4.666666667,4.388888889,2.5,3.777777778,3.138888889
106,2,4,2,1,5,4,1,1,1,2,4,3,1,1,2,2,1,1,2,2,2,2,1,4,2,1,4,4,4,4,5,5,5,5,5,5,5,5,2,5,3,4,4,1,4,4,4,4,4,1,2,4,1,1,4,2,4,4,3,2,1,2,2,1,1,1,1,1,1,1,1,1,2,4,2,2,3,4,5,4,2,4,5,1,2,5,4,5,5,2,2,2,4,5,2,5,5,5,4,2,5,5,4,4,1.25,3.142857143,2.55952381,4.5,3.285714286,2,3.666666667,3.388888889,3.5,4.111111111,3.805555556
107,2,2,2,2,2,1,2,1,3,3,2,2,2,2,2,2,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,2,4,4,4,5,2,1,2,3,3,2,2,2,2,2,2,4,2,4,2,3,2,2,4,4,4,4,4,5,5,5,5,5,4,2,2,2,1,5,4,4,2,2,2,2,2,4,4,4,4,4,5,4,4,4,3,5,4,5,5,5,3,2,5,3,3,4,4,4,4,4,3.583333333,2.571428571,3.432539683,3.75,4.142857143,4.5,5,4.416666667,2.2,3.666666667,2.933333333
108,1,1,2,1,3,4,2,1,5,4,5,4,4,4,4,3,2,4,2,2,2,2,2,2,1,1,2,2,4,4,4,2,2,4,1,2,2,2,4,4,1,2,1,1,2,2,4,1,1,4,2,4,2,2,4,4,5,5,5,2,2,2,2,2,4,4,2,5,4,4,4,2,2,2,1,1,1,4,4,5,5,4,5,3,2,4,4,4,4,4,4,4,5,5,4,2,5,1,2,1,2,2,2,3,3.25,2.142857143,3.130952381,4,4,4,4.666666667,4.222222222,1.9,2.444444444,2.172222222
110,4,4,3,3,4,5,2,3,4,5,4,2,4,4,5,5,2,3,3,1,3,1,2,3,2,2,2,2,5,5,3,3,2,4,5,5,5,4,2,4,3,3,2,2,2,3,3,3,3,3,4,3,3,3,2,3,4,4,2,2,2,1,1,3,3,4,2,1,1,1,2,2,4,3,2,2,4,4,4,2,2,3,3,2,1,4,2,3,3,4,4,3,4,4,3,3,3,2,1,2,2,2,1,1,1.916666667,3.285714286,2.543650794,2.75,2.428571429,4,3.666666667,3.472222222,2.7,1.777777778,2.238888889
111,3,3,3,3,4,4,2,4,4,4,3,3,4,4,3,4,5,4,5,5,4,3,4,3,1,1,3,3,5,5,4,4,2,4,3,4,4,3,4,3,1,3,1,2,3,2,2,2,3,4,4,4,2,2,5,5,5,5,5,5,3,1,1,2,2,4,2,3,2,2,3,3,1,1,1,1,1,1,3,3,3,3,3,2,2,4,2,4,4,3,3,3,5,5,3,2,2,2,2,3,2,2,3,2,2.416666667,1.285714286,2.186507937,3.5,2.857142857,3,4.333333333,3.611111111,2.1,2.333333333,2.216666667
114,5,5,5,5,5,5,5,5,5,2,2,1,4,5,5,5,2,2,5,3,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,1,2,1,5,1,2,1,1,1,1,1,5,5,1,5,4,5,5,5,5,5,2,5,1,2,1,1,1,1,1,1,1,1,4,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,4,4,2,1,1,1,1.333333333,1.428571429,1.253968254,1.25,1,1,1,1.083333333,1.1,1.777777778,1.438888889
115,3,4,4,4,2,3,2,2,4,2,4,3,4,4,4,5,2,2,3,2,2,2,2,2,4,4,5,4,5,5,5,4,5,4,3,4,2,2,4,2,2,4,2,4,3,4,4,3,3,3,2,4,1,1,2,1,1,1,4,5,4,1,1,1,2,1,2,3,2,4,4,4,4,5,5,5,2,1,2,3,2,2,2,4,3,4,4,5,5,1,2,4,2,2,2,3,4,2,4,2,2,2,2,1,2.416666667,3.428571429,2.900793651,4.5,2.857142857,1.5,2.666666667,2.888888889,3,2.444444444,2.722222222
116,2,3,2,2,3,4,2,2,4,3,2,2,4,4,4,3,3,2,4,2,2,1,3,3,3,4,2,2,2,1,2,1,1,2,4,3,4,3,4,4,2,3,2,2,4,2,4,2,2,4,2,5,2,1,4,4,3,4,5,2,3,4,5,4,5,5,4,2,3,2,3,2,2,2,3,2,1,4,3,4,3,4,4,3,2,4,4,4,5,4,4,3,3,2,3,2,4,2,3,4,2,2,2,3,3.583333333,2.428571429,3.146825397,4.5,3.428571429,4,2.666666667,3.722222222,2.5,2.666666667,2.583333333
117,5,4,2,4,4,4,4,1,1,1,1,4,1,1,1,2,1,2,2,2,2,1,1,2,1,1,1,1,4,2,4,2,2,2,5,4,4,2,2,2,4,5,3,2,4,5,5,5,4,2,2,4,4,3,5,2,4,4,2,1,2,2,4,2,4,4,4,1,2,2,4,4,1,4,2,2,4,5,4,1,2,4,2,2,2,2,4,2,3,5,5,4,5,5,1,4,5,5,5,5,5,5,5,4,2.916666667,3.142857143,2.734126984,3.25,2.142857143,5,4.666666667,4.305555556,3.7,4.777777778,4.238888889
118,2,3,2,2,2,2,2,1,2,1,1,4,2,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,4,2,4,4,4,2,4,4,2,2,4,2,1,3,4,2,2,2,2,2,4,4,4,4,4,4,3,3,4,4,4,3,2,4,4,4,4,4,4,3,4,4,4,4,4,4,4,5,4,4,4,4,4,2,4,5,4,5,5,4,4,4,4,3.666666667,3.571428571,3.698412698,4.25,3.857142857,4,4,4.083333333,3.2,4.333333333,3.766666667
120,2,3,2,2,3,3,3,1,2,1,2,4,2,2,1,2,3,3,5,4,4,5,4,2,1,1,2,4,3,3,4,2,3,4,2,2,2,2,2,2,2,4,2,2,4,2,4,3,3,4,2,4,2,2,5,4,4,4,4,2,5,3,3,2,4,3,2,4,4,4,4,4,1,2,2,2,2,4,1,4,3,4,4,3,3,3,4,4,4,4,2,4,5,5,2,2,5,4,5,4,4,4,5,4,3.25,2,2.892857143,4,3.428571429,3,4.666666667,3.888888889,2.6,4.333333333,3.466666667
121,2,2,2,2,1,1,1,1,1,1,1,4,1,1,1,2,2,1,2,2,2,1,2,2,2,2,3,4,1,1,1,1,1,1,1,2,1,1,2,1,4,4,2,3,5,4,3,3,4,2,1,4,2,1,2,2,2,3,3,2,3,5,5,5,5,5,5,5,4,5,5,5,4,4,4,3,3,4,3,4,4,4,4,5,5,5,5,4,5,3,2,4,4,4,2,4,5,5,5,5,5,5,5,4,4.666666667,3.571428571,4.222222222,4.5,4.428571429,2.5,4,3.666666667,3.4,4.777777778,4.088888889
123,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,2,1,4,4,4,3,4,5,4,4,4,4,4,4,2,5,2,4,1,2,2,2,2,2,2,2,4,4,4,4,2,4,4,4,4,4,4,2,3,2,1,2,2,2,2,2,2,1,4,2,2,2,2,2,2,4,4,4,4,3,3,3,2,2,2,2,2,2,4,5,2,4,3,3,3,3,2,2,2,2,1.916666667,2.285714286,2.591269841,2.5,3.571428571,2,3.666666667,2.722222222,2.1,2.555555556,2.327777778
124,1,1,2,2,1,2,2,1,1,3,1,1,1,2,1,2,2,3,4,5,4,1,5,1,5,5,1,4,4,1,5,1,1,1,1,1,1,1,3,2,1,5,1,1,3,1,3,3,3,3,1,5,1,1,5,5,3,3,5,1,1,2,5,1,5,5,5,5,5,5,5,4,1,1,3,3,1,5,5,5,5,4,4,5,4,4,5,5,5,5,2,5,1,1,1,3,5,5,3,5,5,4,5,4,4.166666667,2.714285714,3.76984127,5,4.428571429,3.5,2.333333333,3.611111111,2,4.111111111,3.055555556
