"","X","sub","hemi","species","X.1","label","vertices","total_surface_area_.mm.2..x","total_gray_matter_volume_.mm.3.","cortical_thickness_mean","cortical_thickness_std","rectified_mean_curvature","rectified_Gaussian_curvature","folding_index","intrinsic_curvature_index","sulcal_depth_mean","sulcal_depth_max","sulcal_depth_mean_pct","normalized_SA"
"1",2,"100206","lh","human",398,"csts-1",1059,751,1791,2.622,0.323,0.09,0.013,5,0.6,0.175162047147751,1.03909230232239,0.0939567387104034,0.00720833133368527
"2",3,"100206","lh","human",399,"csts-2",1185,849,1950,2.53,0.361,0.093,0.013,5,0.6,0.571216881275177,1.49810862541199,0.306400120258331,0.00814896578202236
"3",4,"100206","lh","human",400,"csts-3",633,456,1032,2.355,0.354,0.106,0.024,3,0.6,0.573555529117584,1.47872960567474,0.307654559612274,0.00437682967797668
"4",10,"100206","rh","human",406,"csts-1",1539,1099,2315,2.439,0.374,0.099,0.018,7,1.2,0.555522978305817,1.52183425426483,0.244556680321693,0.0103449898809244
"5",11,"100206","rh","human",407,"csts-2",817,593,1353,2.556,0.362,0.109,0.016,5,0.6,0.0619546622037888,0.938670456409454,0.0272741634398699,0.00558196451263708
"6",12,"100206","rh","human",408,"csts-3",706,506,1098,2.414,0.383,0.113,0.021,3,0.7,0.471812218427658,1.15903639793396,0.20770488679409,0.00476302536828729
"7",17,"100307","lh","human",413,"csts-1",326,233,503,2.45,0.365,0.105,0.014,1,0.3,0.314076513051987,0.897154569625854,0.172455236315727,0.00293044900012577
"8",18,"100307","lh","human",414,"csts-2",539,367,901,2.702,0.39,0.088,0.012,2,0.3,0.510713875293732,1.04228723049164,0.280426174402237,0.00461577160105647
"9",19,"100307","lh","human",415,"csts-3",774,543,1180,2.443,0.315,0.106,0.02,4,0.6,0.480016708374023,1.46747207641602,0.263570755720139,0.00682932964406993
"10",24,"100307","rh","human",420,"csts-1",819,608,1467,2.573,0.294,0.104,0.02,4,0.6,-0.0574019141495228,0.578034579753876,-0.0313345417380333,0.00773812554090516
"11",25,"100307","rh","human",421,"csts-2",601,437,965,2.471,0.337,0.104,0.017,3,0.5,0.318046033382416,0.994647622108459,0.173614889383316,0.00556177773252558
"12",26,"100307","rh","human",422,"csts-3",1543,1077,2563,2.62,0.339,0.09,0.013,6,0.9,0.573742747306824,1.37666714191437,0.313194543123245,0.0137071730387415
"13",32,"100408","lh","human",428,"csts-1",1318,963,2109,2.402,0.288,0.101,0.015,6,0.8,0.206595435738564,0.962968647480011,0.105905458331108,0.0104771851948561
"14",33,"100408","lh","human",429,"csts-2",371,275,651,2.488,0.267,0.126,0.018,3,0.3,-0.220829829573631,0.0612128153443336,-0.113202303647995,0.00299192723632961
"15",34,"100408","lh","human",430,"csts-3",1321,938,1935,2.324,0.364,0.106,0.018,6,1.1,0.589605033397675,1.39396369457245,0.302244693040848,0.0102051918097352
"16",40,"100408","rh","human",436,"csts-1",1089,798,1750,2.429,0.282,0.089,0.013,4,0.6,0.36058109998703,1.34352266788483,0.187535107135773,0.00861966536687586
"17",41,"100408","rh","human",437,"csts-2",293,215,519,2.602,0.319,0.119,0.025,2,0.3,-0.168971478939056,0.236353948712349,-0.0878806039690971,0.002322340919647
"18",42,"100408","rh","human",438,"csts-3",454,342,738,2.324,0.356,0.121,0.023,3,0.4,0.320345431566238,0.911823928356171,0.166608870029449,0.00369414230008965
"19",48,"100610","lh","human",444,"csts-1",1127,809,1851,2.394,0.367,0.102,0.015,5,0.8,0.255519598722458,1.0098170042038,0.148230493068695,0.00869191512221327
"20",49,"100610","lh","human",445,"csts-2",1161,833,1855,2.588,0.323,0.106,0.015,6,0.8,0.578754067420959,1.60529661178589,0.335743367671967,0.00894977168949772
"21",50,"100610","lh","human",446,"csts-3",990,733,1407,2.209,0.288,0.107,0.013,6,0.7,0.40732803940773,0.982573568820953,0.236296713352203,0.00787536932581252
"22",56,"100610","rh","human",452,"csts-1",1391,1011,2190,2.469,0.335,0.1,0.013,6,0.9,0.598212778568268,1.53700852394104,0.300446182489395,0.0108587079104237
"23",57,"100610","rh","human",453,"csts-2",697,506,1090,2.519,0.375,0.115,0.017,4,0.5,0.406320095062256,1.07121860980988,0.204070076346397,0.00543472423607755
"24",58,"100610","rh","human",454,"csts-3",864,621,1286,2.345,0.311,0.104,0.014,4,0.6,0.650106370449066,1.37100827693939,0.326509207487106,0.00666988883518608
"25",64,"101006","lh","human",460,"csts-1",384,291,695,2.531,0.403,0.135,0.026,3,0.4,-0.197318747639656,0.229924097657204,-0.112456046044827,0.0040565406490465
"26",65,"101006","lh","human",461,"csts-2",1119,788,1728,2.381,0.34,0.098,0.015,5,0.7,0.62292742729187,1.33536005020142,0.355019241571426,0.0109847217575555
"27",66,"101006","lh","human",462,"csts-3",384,272,594,2.502,0.3,0.119,0.019,3,0.3,0.408862948417664,0.88037633895874,0.233019486069679,0.0037916806066689
"28",72,"101006","rh","human",468,"csts-1",960,660,1426,2.428,0.343,0.105,0.015,5,0.6,0.282478839159012,0.999110639095306,0.151070982217789,0.00893098782138024
"29",73,"101006","rh","human",469,"csts-2",979,710,1550,2.392,0.329,0.103,0.017,4,0.7,0.648200988769531,1.30725014209747,0.346660822629929,0.00960757780784844
"30",74,"101006","rh","human",470,"csts-3",343,250,514,2.207,0.361,0.127,0.02,2,0.3,0.182916343212128,0.511787354946136,0.0978244990110397,0.003382949932341
"31",80,"101107","lh","human",476,"csts-1",1112,812,1946,2.569,0.321,0.086,0.01,3,0.5,0.538444221019745,1.28078591823578,0.306702107191086,0.0104970590136384
"32",81,"101107","lh","human",477,"csts-2",423,302,721,2.582,0.451,0.113,0.018,2,0.4,0.0754376426339149,0.564156293869019,0.0429698787629604,0.00390407859866848
"33",82,"101107","lh","human",478,"csts-3",406,320,734,2.579,0.18,0.093,0.01,2,0.2,0.428643524646759,1.12454831600189,0.244158744812012,0.00413677202507918
"34",87,"101107","rh","human",483,"csts-1",801,594,1461,2.69,0.384,0.092,0.011,3,0.4,0.466372936964035,1.27673375606537,0.26494175195694,0.00752355861789442
"35",88,"101107","rh","human",484,"csts-2",546,419,1063,2.971,0.403,0.116,0.015,3,0.4,0.0758999362587929,0.768044471740723,0.0431179888546467,0.00530702198804337
"36",89,"101107","rh","human",485,"csts-3",404,299,745,2.596,0.324,0.114,0.016,2,0.4,0.623507440090179,1.24480199813843,0.354208320379257,0.00378711115614551
"37",95,"101309","lh","human",948,"csts-1",155,113,335,3.039,0.206,0.112,0.021,1,0.1,-0.493463486433029,-0.224472016096115,-0.245420694351196,0.00123246733416225
"38",96,"101309","lh","human",949,"csts-2",1991,1413,3456,2.769,0.395,0.121,0.023,13,2.2,0.526037573814392,1.43419802188873,0.261621206998825,0.015411295072312
"39",97,"101309","lh","human",950,"csts-3",923,691,1575,2.795,0.488,0.143,0.023,8,1.1,0.51008129119873,1.244220495224,0.25368544459343,0.00753659228235499
"40",103,"101309","rh","human",956,"csts-1",657,471,1096,2.592,0.27,0.116,0.023,4,0.7,0.1037877202034,0.845866858959198,0.0562312267720699,0.00504579784669773
"41",104,"101309","rh","human",957,"csts-2",1479,1066,2360,2.529,0.323,0.11,0.019,7,1.4,0.557227909564972,1.5395849943161,0.301900923252106,0.0114200010712947
"42",105,"101309","rh","human",958,"csts-3",695,511,1100,2.467,0.328,0.121,0.021,4,0.6,0.472360908985138,1.23747134208679,0.255920767784119,0.00547431571053618
"43",111,"101410","lh","human",964,"csts-1",1456,1005,2145,2.396,0.423,0.109,0.019,10,1.3,0.417027950286865,1.29951477050781,0.224522620439529,0.00978340228766123
"44",112,"101410","lh","human",965,"csts-2",1037,743,1671,2.33,0.38,0.103,0.018,4,0.8,0.487178534269333,1.45158553123474,0.262290835380554,0.0072329033828182
"45",113,"101410","lh","human",966,"csts-3",452,333,652,2.044,0.361,0.114,0.018,2,0.4,0.373846530914307,1.02880966663361,0.201274290680885,0.0032416646385982
"46",118,"101410","rh","human",971,"csts-1",1207,866,1902,2.477,0.351,0.107,0.016,6,1,0.562018513679504,1.41132354736328,0.271735846996307,0.00842232207115209
"47",119,"101410","rh","human",972,"csts-2",1617,1177,2625,2.486,0.347,0.106,0.017,8,1.3,0.403841823339462,1.28406167030334,0.195257425308228,0.0114469666024781
"48",120,"101410","rh","human",973,"csts-3",1097,803,1753,2.553,0.438,0.108,0.015,6,0.8,0.739467203617096,1.69336402416229,0.357532262802124,0.00780961272879345
"49",126,"101915","lh","human",979,"csts-1",1093,817,1755,2.325,0.284,0.107,0.018,5,0.8,0.259730726480484,0.955003499984741,0.144102945923805,0.0100258930653217
"50",127,"101915","lh","human",980,"csts-2",747,546,1182,2.368,0.334,0.103,0.014,3,0.5,0.712602555751801,1.51968777179718,0.3953637778759,0.00670029083680006
"51",128,"101915","lh","human",981,"csts-3",456,331,733,2.511,0.408,0.111,0.017,2,0.4,0.478226095438004,0.980229914188385,0.26532781124115,0.0040618979248733
"52",134,"101915","rh","human",987,"csts-1",1007,717,1569,2.438,0.316,0.113,0.019,5,0.9,0.218173980712891,1.11157441139221,0.11809553951025,0.00872570614937143
"53",135,"101915","rh","human",988,"csts-2",1369,996,2279,2.578,0.369,0.104,0.017,6,1.1,0.535681188106537,1.41784167289734,0.289959222078323,0.0121210646091687
"54",136,"101915","rh","human",989,"csts-3",414,318,724,2.395,0.402,0.127,0.022,2,0.5,0.324568808078766,0.93401962518692,0.175686046481133,0.00386997845955386
