"","sub","hemi","species","label","depth"
"1","100206","lh","human","csts-1",16.4235822615362
"2","100206","lh","human","csts-2",21.3763012362401
"3","100206","lh","human","csts-3",19.6118094735539
"4","100206","rh","human","csts-1",21.3065334533307
"5","100206","rh","human","csts-2",14.9166008977494
"6","100206","rh","human","csts-3",17.9754391256814
"7","100307","lh","human","csts-1",12.4729787815009
"8","100307","lh","human","csts-2",15.9337904925685
"9","100307","lh","human","csts-3",19.0633044330712
"10","100307","rh","human","csts-1",14.2250570858091
"11","100307","rh","human","csts-2",15.5225562763323
"12","100307","rh","human","csts-3",20.2447036432264
"13","100408","lh","human","csts-1",13.1326207803522
"14","100408","lh","human","csts-2",7.51506678193521
"15","100408","lh","human","csts-3",17.9872280787429
"16","100408","rh","human","csts-1",20.482664208832
"17","100408","rh","human","csts-2",8.23651453737417
"18","100408","rh","human","csts-3",12.2452820311593
"19","100610","lh","human","csts-1",16.1372802788046
"20","100610","lh","human","csts-2",21.2764115724028
"21","100610","lh","human","csts-3",14.6410406369763
"22","100610","rh","human","csts-1",24.8113451241751
"23","100610","rh","human","csts-2",19.3810480314166
"24","100610","rh","human","csts-3",18.2169711777437
"25","101006","lh","human","csts-1",6.48763403971415
"26","101006","lh","human","csts-2",17.9125403202774
"27","101006","lh","human","csts-3",11.9525646228586
"28","101006","rh","human","csts-1",14.5045407025363
"29","101006","rh","human","csts-2",17.2586227731038
"30","101006","rh","human","csts-3",9.75947996506421
"31","101107","lh","human","csts-1",17.9696359984346
"32","101107","lh","human","csts-2",9.80301575988637
"33","101107","lh","human","csts-3",14.3541542374051
"34","101107","rh","human","csts-1",19.3743413935824
"35","101107","rh","human","csts-2",11.3028609456313
"36","101107","rh","human","csts-3",16.7277462257743
"37","180937","lh","human","csts-1",10.9798072936419
"38","180937","lh","human","csts-2",20.1044729474745
"39","180937","lh","human","csts-3",17.7656102710618
"40","180937","rh","human","csts-1",24.0737426528464
"41","180937","rh","human","csts-2",19.4478050781969
"42","180937","rh","human","csts-3",18.092505038058
"43","268749","lh","human","csts-1",17.1361248469725
"44","268749","lh","human","csts-2",16.7145112947701
"45","268749","lh","human","csts-3",20.3700698021639
