,sulcus,mean anterior-posterior coordinate,CN mean thickness - YA mean thickness,AD mean thickness - CN mean thickness,CN mean thickness - AD mean thickness,AD mean thickness - YA mean thickness,YA mean thickness - CN mean thickness,YA mean thickness - AD mean thickness,(CN-YA)-(AD-CN)
0,pos,-57.252217877886125,-0.2142708333333334,-0.10128472222222262,0.10128472222222262,-0.31555555555555603,0.2142708333333334,0.31555555555555603,-0.11298611111111079
1,prculs-d,-62.25085435638002,-0.23065277777777782,-0.15310416666666615,0.15310416666666615,-0.38375694444444397,0.23065277777777782,0.38375694444444397,-0.07754861111111166
2,prcus-p,-57.52346166691561,-0.23237499999999978,-0.1153819444444446,0.1153819444444446,-0.3477569444444444,0.23237499999999978,0.3477569444444444,-0.11699305555555517
3,prcus-i,-55.15821587411777,-0.22520833333333368,-0.11431944444444442,0.11431944444444442,-0.3395277777777781,0.22520833333333368,0.3395277777777781,-0.11088888888888926
4,prcus-a,-48.15458347885581,-0.31474999999999964,-0.057742468701095895,0.057742468701095895,-0.37249246870109554,0.31474999999999964,0.37249246870109554,-0.25700753129890375
5,spls,-43.02725846355753,-0.2662569444444447,-0.11794444444444441,0.11794444444444441,-0.3842013888888891,0.2662569444444447,0.3842013888888891,-0.1483125000000003
6,mcgs,-40.45005572083615,-0.1802569444444444,-0.06222222222222218,0.06222222222222218,-0.24247916666666658,0.1802569444444444,0.24247916666666658,-0.11803472222222222
7,icgs-p,-19.02831343212447,-0.40914571972098956,-0.09489638554216828,0.09489638554216828,-0.5040421052631578,0.40914571972098956,0.5040421052631578,-0.3142493341788213
8,ifrms,-29.0900332630433,-0.5041662781662786,-0.2030489510489506,0.2030489510489506,-0.7072152292152292,0.5041662781662786,0.7072152292152292,-0.30111732711732797
9,sspls-d,-40.256732449160964,-0.3379549783549778,-0.2182370313302524,0.2182370313302524,-0.5561920096852302,0.3379549783549778,0.5561920096852302,-0.11971794702472538
10,sspls-v,-46.31317734080493,-0.09486661798710028,-0.4876688403017515,0.4876688403017515,-0.5825354582888518,0.09486661798710028,0.5825354582888518,0.39280222231465123
11,prculs-v,-56.65825808399969,-0.23982499467745377,-0.19142838044308608,0.19142838044308608,-0.43125337512053985,0.23982499467745377,0.43125337512053985,-0.048396614234367696
