alpha_level,fold,RMSE,Sulci,beta,Model
0.1,1.0,5.995719209644374,mcgs,0.5837785743989987,"Lasso(alpha=0.1, max_iter=10000)"
0.1,1.0,5.995719209644374,pos,0.0,"Lasso(alpha=0.1, max_iter=10000)"
0.1,1.0,5.995719209644374,sbps,-1.7068066881120383,"Lasso(alpha=0.1, max_iter=10000)"
0.1,1.0,5.995719209644374,prculs-d,-0.07743794426082302,"Lasso(alpha=0.1, max_iter=10000)"
0.1,1.0,5.995719209644374,prcus-p,1.948075094440395,"Lasso(alpha=0.1, max_iter=10000)"
0.1,1.0,5.995719209644374,prcus-i,-0.31200686108670384,"Lasso(alpha=0.1, max_iter=10000)"
0.1,1.0,5.995719209644374,prcus-a,-0.0,"Lasso(alpha=0.1, max_iter=10000)"
0.1,1.0,5.995719209644374,ifrms,-2.064621654288497,"Lasso(alpha=0.1, max_iter=10000)"
0.1,1.0,5.995719209644374,sspls-v,1.4773718018156137,"Lasso(alpha=0.1, max_iter=10000)"
0.1,2.0,5.997351179388717,mcgs,0.4887594855797883,"Lasso(alpha=0.1, max_iter=10000)"
0.1,2.0,5.997351179388717,pos,-0.0,"Lasso(alpha=0.1, max_iter=10000)"
0.1,2.0,5.997351179388717,sbps,-1.5901897937589855,"Lasso(alpha=0.1, max_iter=10000)"
0.1,2.0,5.997351179388717,prculs-d,-0.1564166829795644,"Lasso(alpha=0.1, max_iter=10000)"
0.1,2.0,5.997351179388717,prcus-p,1.9462654491965665,"Lasso(alpha=0.1, max_iter=10000)"
0.1,2.0,5.997351179388717,prcus-i,-0.3581251161325709,"Lasso(alpha=0.1, max_iter=10000)"
0.1,2.0,5.997351179388717,prcus-a,0.0,"Lasso(alpha=0.1, max_iter=10000)"
0.1,2.0,5.997351179388717,ifrms,-2.010944329672276,"Lasso(alpha=0.1, max_iter=10000)"
0.1,2.0,5.997351179388717,sspls-v,1.4593365759063253,"Lasso(alpha=0.1, max_iter=10000)"
0.1,3.0,5.897144722818054,mcgs,0.5897634155441261,"Lasso(alpha=0.1, max_iter=10000)"
0.1,3.0,5.897144722818054,pos,0.0,"Lasso(alpha=0.1, max_iter=10000)"
0.1,3.0,5.897144722818054,sbps,-1.7035034534411826,"Lasso(alpha=0.1, max_iter=10000)"
0.1,3.0,5.897144722818054,prculs-d,-0.4278874333787302,"Lasso(alpha=0.1, max_iter=10000)"
0.1,3.0,5.897144722818054,prcus-p,1.6619170437751578,"Lasso(alpha=0.1, max_iter=10000)"
0.1,3.0,5.897144722818054,prcus-i,-0.13170175439732798,"Lasso(alpha=0.1, max_iter=10000)"
0.1,3.0,5.897144722818054,prcus-a,-0.0,"Lasso(alpha=0.1, max_iter=10000)"
0.1,3.0,5.897144722818054,ifrms,-2.0667815574023685,"Lasso(alpha=0.1, max_iter=10000)"
