alpha_level,Sulci,beta,RMSE
0.1,ifrms,-2.0667815574023685,5.91955031944252
0.1,mcgs,0.5216233866438558,5.91955031944252
0.1,pos,-0.0,5.91955031944252
0.1,prculs-d,-0.1917989727516731,5.91955031944252
0.1,prcus-a,0.0,5.91955031944252
0.1,prcus-i,-0.3033119307299986,5.91955031944252
0.1,prcus-p,1.9318598374696936,5.91955031944252
0.1,sbps,-1.6699726859835753,5.91955031944252
0.1,sspls-v,1.4727180255165129,5.91955031944252
0.107,ifrms,-2.053216991449612,5.907435070538439
0.107,mcgs,0.5125853224266183,5.907435070538439
0.107,pos,-0.0,5.907435070538439
0.107,prculs-d,-0.1847804251181856,5.907435070538439
0.107,prcus-a,0.0,5.907435070538439
0.107,prcus-i,-0.2955871277463243,5.907435070538439
0.107,prcus-p,1.9261856512555533,5.907435070538439
0.107,sbps,-1.655894731043757,5.907435070538439
0.107,sspls-v,1.458705354341852,5.907435070538439
0.114,ifrms,-2.0396524254968544,5.901976523803587
0.114,mcgs,0.5006478283213783,5.901976523803587
0.114,pos,-0.0,5.901976523803587
0.114,prculs-d,-0.1774010407185757,5.901976523803587
0.114,prcus-a,0.0,5.901976523803587
0.114,prcus-i,-0.2878623247626498,5.901976523803587
0.114,prcus-p,1.921733180276919,5.901976523803587
0.114,sbps,-1.6418165809099394,5.901976523803587
0.114,sspls-v,1.44469268316719,5.901976523803587
0.122,ifrms,-2.024150064407989,5.891015094478034
0.122,mcgs,0.4861271121482924,5.891015094478034
0.122,pos,-0.0,5.891015094478034
0.122,prculs-d,-0.1697406444111035,5.891015094478034
0.122,prcus-a,0.0,5.891015094478034
0.122,prcus-i,-0.2790339784955939,5.891015094478034
0.122,prcus-p,1.916671899074955,5.891015094478034
0.122,sbps,-1.62572726647129,5.891015094478034
0.122,sspls-v,1.4286782018247193,5.891015094478034
0.131,ifrms,-2.0041207043499787,5.868126550967068
0.131,mcgs,0.4697913064535693,5.868126550967068
0.131,pos,-0.0,5.868126550967068
0.131,prculs-d,-0.1607160934585778,5.868126550967068
0.131,prcus-a,0.0,5.868126550967068
0.131,prcus-i,-0.2691020889451548,5.868126550967068
0.131,prcus-p,1.9109608307970944,5.868126550967068
0.131,sbps,-1.6076267877278096,5.868126550967068
0.131,sspls-v,1.410661910314439,5.868126550967068
0.14,ifrms,-1.986741522597429,5.853563488592521
0.14,mcgs,0.4534555007588466,5.853563488592521
0.14,pos,-0.0,5.853563488592521
0.14,prculs-d,-0.1516915425060516,5.853563488592521
0.14,prcus-a,-0.0,5.853563488592521
0.14,prcus-i,-0.2591701993947163,5.853563488592521
0.14,prcus-p,1.9040269646997487,5.853563488592521
0.14,sbps,-1.5895263089843303,5.853563488592521
0.14,sspls-v,1.3926456389699338,5.853563488592521
0.149,ifrms,-1.9693506334559137,5.843937431633672
0.149,mcgs,0.4359899417224119,5.843937431633672
0.149,pos,-0.0,5.843937431633672
0.149,prculs-d,-0.1426670384131733,5.843937431633672
0.149,prcus-a,-0.0,5.843937431633672
0.149,prcus-i,-0.2492383098442775,5.843937431633672
0.149,prcus-p,1.8958422624608489,5.843937431633672
0.149,sbps,-1.5714258058952717,5.843937431633672
0.149,sspls-v,1.3746293757187484,5.843937431633672
0.16,ifrms,-1.9481026704974151,5.8333021983594096
0.16,mcgs,0.4151290410541516,5.8333021983594096
0.16,pos,-0.0,5.8333021983594096
0.16,prculs-d,-0.1316372045617575,5.8333021983594096
0.16,prcus-a,-0.0,5.8333021983594096
0.16,prcus-i,-0.2370989322745632,5.8333021983594096
0.16,prcus-p,1.885838737502192,5.8333021983594096
0.16,sbps,-1.5493029032698715,5.8333021983594096
0.16,sspls-v,1.3526094984117445,5.8333021983594096
0.171,ifrms,-1.9268469073490544,5.826997965995567
0.171,mcgs,0.3951678122796974,5.826997965995567
0.171,pos,-0.0,5.826997965995567
0.171,prculs-d,-0.1206073707103403,5.826997965995567
0.171,prcus-a,-0.0,5.826997965995567
0.171,prcus-i,-0.2245247270965766,5.826997965995567
0.171,prcus-p,1.8758352125435356,5.826997965995567
0.171,sbps,-1.5264461432332386,5.826997965995567
0.171,sspls-v,1.3317455299986485,5.826997965995567
0.182,ifrms,-1.9055911442006923,5.825337783377206
0.182,mcgs,0.3752065835052431,5.825337783377206
0.182,pos,-0.0,5.825337783377206
0.182,prculs-d,-0.1095775368589255,5.825337783377206
0.182,prcus-a,0.0,5.825337783377206
0.182,prcus-i,-0.2114835772725148,5.825337783377206
0.182,prcus-p,1.8621056938600344,5.825337783377206
0.182,sbps,-1.5026761150570642,5.825337783377206
0.182,sspls-v,1.3130356600116069,5.825337783377206
0.195,ifrms,-1.88047069684354,5.823606695515203
0.195,mcgs,0.3516161463172553,5.823606695515203
0.195,pos,-0.0,5.823606695515203
0.195,prculs-d,-0.0965033937479587,5.823606695515203
0.195,prcus-a,0.0,5.823606695515203
0.195,prcus-i,-0.1955382030288887,5.823606695515203
0.195,prcus-p,1.8502333879004336,5.823606695515203
0.195,sbps,-1.474583656566968,5.823606695515203
0.195,sspls-v,1.2909239954814673,5.823606695515203
0.208,ifrms,-1.8570356090129616,5.811469063798711
0.208,mcgs,0.3280262148221591,5.811469063798711
0.208,pos,-0.0,5.811469063798711
0.208,prculs-d,-0.0834574892145967,5.811469063798711
0.208,prcus-a,0.0,5.811469063798711
0.208,prcus-i,-0.180659041324731,5.811469063798711
0.208,prcus-p,1.837587443115588,5.811469063798711
