Sulci,beta
mcgs,0.5837785743989987
pos,0.0
sbps,-1.7068066881120383
prculs-d,-0.07743794426082302
prcus-p,1.948075094440395
prcus-i,-0.31200686108670384
prcus-a,-0.0
ifrms,-2.064621654288497
sspls-v,1.4773718018156137
mcgs,0.4887594855797883
pos,-0.0
sbps,-1.5901897937589855
prculs-d,-0.1564166829795644
prcus-p,1.9462654491965665
prcus-i,-0.3581251161325709
prcus-a,0.0
ifrms,-2.010944329672276
sspls-v,1.4593365759063253
mcgs,0.5897634155441261
pos,0.0
sbps,-1.7035034534411826
prculs-d,-0.4278874333787302
prcus-p,1.6619170437751578
prcus-i,-0.13170175439732798
prcus-a,-0.0
ifrms,-2.0667815574023685
sspls-v,1.309564864986748
mcgs,0.5481633904964195
pos,0.16786179787953612
sbps,-1.7485419264320188
prculs-d,-0.46235828189274464
prcus-p,1.3729402208263806
prcus-i,-0.2013757046200836
prcus-a,0.19489068951839314
ifrms,-2.344791278346613
sspls-v,1.7259563748242852
mcgs,1.1224870873423962
pos,0.5844644253661291
sbps,-1.3260227647442142
prculs-d,-0.6696202029576757
prcus-p,1.4380367496073887
prcus-i,-0.5755206136904565
prcus-a,-0.0
ifrms,-2.9605153630976946
sspls-v,1.4634674627790263
mcgs,0.18183423484769703
pos,0.0
sbps,-1.6882849719112851
prculs-d,-0.22305300969012715
prcus-p,1.978327607194809
prcus-i,-0.9751081323058687
prcus-a,-0.29202228873370845
ifrms,-1.9030356042289844
sspls-v,1.5713972574446864
mcgs,0.6288880174347737
pos,-0.3438045314658566
sbps,-2.1832437932789865
prculs-d,0.0
prcus-p,2.3396434612912085
prcus-i,-0.06488373359858604
prcus-a,0.3380142680674891
ifrms,-2.112474263929897
sspls-v,1.798748517537379
mcgs,0.3458786577077181
pos,-0.0
sbps,-1.4869924329559
prculs-d,-0.34634299401993535
prcus-p,1.6264323310956836
prcus-i,-0.2208391758832084
prcus-a,0.02866015893970296
ifrms,-1.7037766090538458
sspls-v,1.2039805934961683
mcgs,0.7640488831418576
pos,-0.032255650790020754
sbps,-1.449491731970131
prculs-d,-0.19240209451616735
prcus-p,1.6345558512406344
prcus-i,-0.4050069018224976
prcus-a,0.08623175415761522
ifrms,-1.99744171733554
sspls-v,1.202035173409804
mcgs,0.44462719214359964
pos,-0.0
sbps,-1.7364846015558408
prculs-d,-0.3098545066566982
prcus-p,1.9997615141305478
prcus-i,-0.06886492728277496
prcus-a,0.0
ifrms,-2.0697727003036066
sspls-v,1.4652415760332063
mcgs,0.3879896326923454
pos,-0.0
sbps,-1.7913522585722956
prculs-d,-0.0
prcus-p,1.9273730803891433
prcus-i,-0.46907771305180046
prcus-a,-0.0
ifrms,-1.9521810814501792
sspls-v,1.6191172434281775
mcgs,0.5542690876760921
pos,-0.0
sbps,-1.623446834830725
prculs-d,-0.24425084487588478
prcus-p,1.9318598374696938
prcus-i,-0.30406969926011196
prcus-a,0.0
ifrms,-2.0948155990420623
sspls-v,1.4798175924029768
mcgs,0.31096901453868364
pos,-0.3098103692580298
sbps,-1.6475287578900284
prculs-d,-0.10371368623945404
prcus-p,2.4137615500275666
prcus-i,-0.0
prcus-a,-0.09597442763790291
ifrms,-2.032199235191526
sspls-v,1.2749160479097632
mcgs,1.0832698740042557
pos,0.3220709331465433
sbps,-2.113702669356201
prculs-d,-0.3756255239557356
prcus-p,1.9486973230732014
prcus-i,-0.2602786058371076
prcus-a,0.47699706972889094
ifrms,-2.275721928443298
sspls-v,1.3287816362920657
mcgs,0.34460416138982186
pos,0.15399374272610789
sbps,-1.2052178982685615
prculs-d,-0.029517692045461286
prcus-p,2.1053015806704383
prcus-i,-0.19566645775880492
prcus-a,0.4722600069249973
ifrms,-1.907212682370392
sspls-v,1.278447641844729
mcgs,1.031981711551513
pos,-0.0
sbps,-1.8110079786110336
prculs-d,0.22591481133976826
prcus-p,1.986586441786942
prcus-i,-0.3481045989921906
prcus-a,-0.0
ifrms,-1.409533121666559
