alpha,RMSE
0.1,5.995719209644374
0.1,5.997351179388717
0.1,5.897144722818054
0.1,5.974827816314835
0.1,5.842948300123861
0.1,5.65861523052459
0.1,5.69200754166218
0.1,5.955587969800034
0.1,5.984149905812192
0.1,5.91955031944252
0.1,5.836532714615925
0.1,6.033285166037566
0.1,5.673157146154115
0.1,5.627723800731508
0.1,5.896272713674757
0.1,5.536882178722349
0.1,5.805180112136604
0.1,5.966797666780967
0.1,5.9109280712989
0.1,5.613707855194569
0.1,5.950547208940776
0.1,6.030409679341981
0.1,6.047414238744292
0.1,5.912724308608631
0.1,5.760165604215172
0.1,5.996302749095239
0.1,5.998174804305958
0.1,6.049579498869639
0.1,6.027005997155591
0.1,5.851230118004495
0.1,5.9680981373107125
0.1,5.7665164985000965
0.1,5.865004315319174
0.1,6.0404409772522385
0.1,5.925115169961768
0.107,5.981409441174869
0.107,5.988124103235766
0.107,5.88664244993963
0.107,5.968550534991709
0.107,5.841682347223332
0.107,5.649606191033573
0.107,5.686792288487332
0.107,5.94499612435835
0.107,5.978189404352556
0.107,5.907435070538439
0.107,5.82462802869602
0.107,6.026086598655063
0.107,5.660072069602158
0.107,5.62578217194785
0.107,5.886239760599367
0.107,5.5258055521819776
0.107,5.794418617709027
0.107,5.953843143828877
0.107,5.8984883225925975
0.107,5.605634596102777
0.107,5.931335852547592
0.107,6.020804693809083
0.107,6.0393814988310535
0.107,5.906852250476182
0.107,5.748914739068548
0.107,5.990928741284081
0.107,5.9897043882075955
0.107,6.041352086352378
0.107,6.017491084147403
0.107,5.838049784393782
0.107,5.960103431642175
0.107,5.753986249422207
0.107,5.85933658592529
0.107,6.032511155439046
0.107,5.9187130051699866
0.114,5.969399631087121
0.114,5.980043574083627
0.114,5.878107064331665
0.114,5.960600660586009
0.114,5.8403922015281
0.114,5.6411494119685885
0.114,5.68205071390565
0.114,5.9351507415024605
0.114,5.972810840613886
0.114,5.895409981979379
0.114,5.813104927200495
0.114,6.019256156478319
0.114,5.647146505066955
0.114,5.6238174563272985
0.114,5.875527630277562
0.114,5.514893785241835
0.114,5.7842743120781535
0.114,5.940898961293009
0.114,5.886552128832336
0.114,5.597764157411035
0.114,5.912054870005381
0.114,6.011706174449471
0.114,6.032415311865201
0.114,5.901976523803587
0.114,5.737661981175516
0.114,5.985932719409841
0.114,5.981465865311465
0.114,6.033263881066235
0.114,6.008198100001007
0.114,5.826821981868994
0.114,5.9529390215439735
0.114,5.741532664117829
0.114,5.853748499336752
0.114,6.025616346388479
0.114,5.913278889806781
0.122,5.957045471582643
0.122,5.9708478091492125
0.122,5.870326040490075
0.122,5.955095609003248
0.122,5.839632437964146
0.122,5.631724746180885
0.122,5.67709351744724
0.122,5.924424965599074
0.122,5.96695449833692
0.122,5.881448681903472
0.122,5.800877330996368
0.122,6.012033732256464
0.122,5.633002032939544
0.122,5.62160455305845
0.122,5.862476552833554
0.122,5.502721021849837
0.122,5.7726497217676425
0.122,5.926347424423826
0.122,5.873239653969875
0.122,5.5887038545861225
0.122,5.891015094478034
0.122,6.0018258325927
0.122,6.023914969574185
0.122,5.895674363449105
0.122,5.7263258378623085
0.122,5.9802673797745385
0.122,5.971766374588322
0.122,6.024214422248659
0.122,5.999087133203052
0.122,5.814615314508692
0.122,5.94468220192337
0.122,5.729723481123473
0.122,5.847099938843509
0.122,6.019063067520269
0.122,5.906818174869964
0.131,5.943770639218005
0.131,5.9604664827386875
0.131,5.8615737365763465
0.131,5.9481977245174145
0.131,5.838749884266743
0.131,5.620473370367469
0.131,5.672678281215418
0.131,5.913336126237368
0.131,5.96028859957317
0.131,5.867119473555346
0.131,5.788010219808317
0.131,6.003633918677129
0.131,5.6167028194264175
0.131,5.619112944837595
0.131,5.8464673548965616
0.131,5.489532773772138
0.131,5.759577105080361
0.131,5.911331346804656
0.131,5.85937300662525
0.131,5.579885307628419
0.131,5.868126550967068
0.131,5.990650573316522
0.131,6.0139184105311685
0.131,5.888867528013438
0.131,5.716503885254666
0.131,5.9751084085356165
0.131,5.9633298799846015
0.131,6.014164451221194
0.131,5.990459783482059
0.131,5.79982261091609
0.131,5.93613919336774
0.131,5.718757966574699
0.131,5.8409813650820785
0.131,6.0113307172610195
0.131,5.899584360148779
0.14,5.931799645856977
0.14,5.95048420053539
0.14,5.852823240265766
0.14,5.938924696752714
0.14,5.835932182660589
0.14,5.6102641428751445
0.14,5.671341584158642
0.14,5.903086991991509
0.14,5.952987901788695
0.14,5.853563488592521
0.14,5.775763592302889
0.14,5.994167549378159
0.14,5.601145188227702
0.14,5.616611174529634
0.14,5.829099607168996
0.14,5.476794371740507
0.14,5.746053024394641
0.14,5.898612526870742
0.14,5.847144859141482
0.14,5.571115884024152
0.14,5.846351220752442
0.14,5.979552151598802
0.14,6.004014332472285
0.14,5.886581800509721
0.14,5.707359325595449
0.14,5.971296377515097
0.14,5.9562528184665
0.14,6.003004162185611
0.14,5.981918904483866
0.14,5.786388268504161
0.14,5.927101863793054
0.14,5.70835845191916
0.14,5.836783004149501
0.14,6.002872484260268
0.14,5.89138480237105
0.149,5.920950115567655
0.149,5.940690363329694
0.149,5.843937431633672
0.149,5.929092818636856
0.149,5.834021043957205
0.149,5.5999932920527735
0.149,5.673563305878445
0.149,5.893073125504047
0.149,5.946038971202076
0.149,5.839752770590785
0.149,5.76415693181287
0.149,5.986145743524709
0.149,5.5872857454585665
0.149,5.613196314213228
0.149,5.811413893258502
0.149,5.466286319371436
0.149,5.732383892063332
0.149,5.887381723857497
0.149,5.837552650322779
0.149,5.563254165302387
0.149,5.828309497405008
0.149,5.969080595672708
0.149,5.995544415279452
0.149,5.8846655482305055
0.149,5.698586783192849
0.149,5.967833224663212
0.149,5.948033134695734
0.149,5.991722723570519
0.149,5.973981627595253
0.149,5.774806947189872
0.149,5.916918581833035
0.149,5.698290879349707
0.149,5.8330009256799515
0.149,5.99419575008017
0.149,5.881804130901914
0.16,5.907840228712499
0.16,5.928450868533175
0.16,5.8333021983594096
0.16,5.916205625989972
0.16,5.830773843206661
0.16,5.586577677310437
0.16,5.678976861139747
0.16,5.8811714775985395
0.16,5.938599980878322
0.16,5.822858412169888
0.16,5.7493148992471825
0.16,5.977403317141949
0.16,5.569967757757937
0.16,5.604846879593729
0.16,5.787916464104404
0.16,5.45549424960071
0.16,5.715209640424195
0.16,5.8730898578265744
0.16,5.827116869903608
0.16,5.555443939900962
0.16,5.809022412356023
0.16,5.9559695295859
0.16,5.986746427376493
0.16,5.882708207015066
0.16,5.688790810823866
0.16,5.963887825416131
0.16,5.938406707023851
0.16,5.978846668838038
0.16,5.964421626006218
0.16,5.760784640090125
0.16,5.903763903146195
0.16,5.688411068739246
0.16,5.8292450000036675
0.16,5.984858812162522
0.16,5.869685939499673
0.171,5.89479622918103
0.171,5.918549958148107
0.171,5.823093667415843
0.171,5.902793447261852
0.171,5.824762592416767
0.171,5.573405581572564
0.171,5.682976904005522
0.171,5.868891817074446
0.171,5.9318178056000415
0.171,5.806553452738467
0.171,5.73594441446802
0.171,5.970062020831072
0.171,5.552980351859922
0.171,5.593869016206822
0.171,5.763831721410359
0.171,5.444058006332284
0.171,5.698771539660196
0.171,5.857740184618259
0.171,5.816379500790655
0.171,5.54895560732542
0.171,5.78960594927493
0.171,5.944690692523666
0.171,5.9788318513450545
0.171,5.8798447967592855
0.171,5.680605769383397
0.171,5.960238990666098
0.171,5.928703301630714
0.171,5.965913283222626
0.171,5.956932459758376
0.171,5.7482276844461095
0.171,5.889995100029837
0.171,5.678819893455299
0.171,5.826997965995567
0.171,5.975469160916506
0.171,5.856909823924758
0.182,5.881137548772018
0.182,5.908863875605541
0.182,5.812158538068848
0.182,5.8902390424296325
0.182,5.820647374783426
