alpha,RMSE
0.1,5.91955031944252
0.107,5.907435070538439
0.114,5.901976523803587
0.122,5.891015094478034
0.131,5.868126550967068
0.14,5.853563488592521
0.149,5.843937431633672
0.16,5.8333021983594096
0.171,5.826997965995567
0.182,5.825337783377206
0.195,5.823606695515203
0.208,5.811469063798711
0.223,5.803699637561876
0.238,5.789387203813006
0.255,5.766803950775723
0.272,5.752179104177635
0.291,5.736434186971735
0.311,5.726129822453039
0.332,5.706910601822589
0.355,5.688913934496287
0.38,5.672334250664586
0.406,5.652987332659109
0.434,5.627583761070573
0.464,5.610834646887703
0.496,5.596502539795087
0.53,5.583163695331332
0.567,5.577980430189516
0.606,5.575315462763377
0.648,5.584998796173445
0.693,5.597389000573044
0.741,5.5886509656682986
0.792,5.576406887525707
0.846,5.5715690111090135
0.905,5.560084435850647
0.967,5.5502018536643325
1.034,5.55557115497912
1.105,5.542421838944238
1.182,5.546360026941911
1.263,5.5417762690361565
1.35,5.548179300358152
1.444,5.558892475319148
1.543,5.586978023747323
1.65,5.587509822832106
1.764,5.557322768069207
1.885,5.536407460223194
2.015,5.504973012512623
2.154,5.48910777875038
2.303,5.484848484848485
2.462,5.484848484848485
2.632,5.484848484848485
2.814,5.484848484848485
3.008,5.484848484848485
3.215,5.484848484848485
3.437,5.484848484848485
3.675,5.484848484848485
3.928,5.484848484848485
4.199,5.484848484848485
4.489,5.484848484848485
4.799,5.484848484848485
5.13,5.484848484848485
5.484,5.484848484848485
5.863,5.484848484848485
6.268,5.484848484848485
6.7,5.484848484848485
7.163,5.484848484848485
7.657,5.484848484848485
8.185,5.484848484848485
8.75,5.484848484848485
9.354,5.484848484848485
10.0,5.484848484848485
