alpha_level,fold,RMSE,Sulci,beta,Model
0.1,1.0,6.382857931952766,mcgs,-0.8402430595489832,"Lasso(alpha=0.1, max_iter=10000)"
0.1,1.0,6.382857931952766,pos,-0.0,"Lasso(alpha=0.1, max_iter=10000)"
0.1,1.0,6.382857931952766,sbps,-0.0,"Lasso(alpha=0.1, max_iter=10000)"
0.1,1.0,6.382857931952766,prculs-d,-1.6508371248578764,"Lasso(alpha=0.1, max_iter=10000)"
0.1,1.0,6.382857931952766,prcus-p,-2.5023058076244875,"Lasso(alpha=0.1, max_iter=10000)"
0.1,1.0,6.382857931952766,prcus-i,-3.625199414855977,"Lasso(alpha=0.1, max_iter=10000)"
0.1,1.0,6.382857931952766,prcus-a,-1.7778983608254126,"Lasso(alpha=0.1, max_iter=10000)"
0.1,1.0,6.382857931952766,ifrms,-2.926076471297652,"Lasso(alpha=0.1, max_iter=10000)"
0.1,1.0,6.382857931952766,sspls-v,0.5762266539727182,"Lasso(alpha=0.1, max_iter=10000)"
0.1,2.0,6.0421620239391665,mcgs,-0.6890168570633448,"Lasso(alpha=0.1, max_iter=10000)"
0.1,2.0,6.0421620239391665,pos,-0.09007310407930472,"Lasso(alpha=0.1, max_iter=10000)"
0.1,2.0,6.0421620239391665,sbps,-0.8486917900407264,"Lasso(alpha=0.1, max_iter=10000)"
0.1,2.0,6.0421620239391665,prculs-d,-2.076820190111851,"Lasso(alpha=0.1, max_iter=10000)"
0.1,2.0,6.0421620239391665,prcus-p,-2.001789444450495,"Lasso(alpha=0.1, max_iter=10000)"
0.1,2.0,6.0421620239391665,prcus-i,-2.994001698263028,"Lasso(alpha=0.1, max_iter=10000)"
0.1,2.0,6.0421620239391665,prcus-a,-1.243253834378271,"Lasso(alpha=0.1, max_iter=10000)"
0.1,2.0,6.0421620239391665,ifrms,-2.5496791471610645,"Lasso(alpha=0.1, max_iter=10000)"
0.1,2.0,6.0421620239391665,sspls-v,0.4415536475323102,"Lasso(alpha=0.1, max_iter=10000)"
0.1,3.0,6.358017605687297,mcgs,-1.3503671221492384,"Lasso(alpha=0.1, max_iter=10000)"
0.1,3.0,6.358017605687297,pos,-0.016731604633431277,"Lasso(alpha=0.1, max_iter=10000)"
0.1,3.0,6.358017605687297,sbps,0.19008308196350454,"Lasso(alpha=0.1, max_iter=10000)"
0.1,3.0,6.358017605687297,prculs-d,-1.6224719814706128,"Lasso(alpha=0.1, max_iter=10000)"
0.1,3.0,6.358017605687297,prcus-p,-2.478632076826166,"Lasso(alpha=0.1, max_iter=10000)"
0.1,3.0,6.358017605687297,prcus-i,-3.91887553903727,"Lasso(alpha=0.1, max_iter=10000)"
0.1,3.0,6.358017605687297,prcus-a,-1.8732550222723399,"Lasso(alpha=0.1, max_iter=10000)"
0.1,3.0,6.358017605687297,ifrms,-3.158858865545723,"Lasso(alpha=0.1, max_iter=10000)"
0.1,3.0,6.358017605687297,sspls-v,0.8920151659510628,"Lasso(alpha=0.1, max_iter=10000)"
0.1,4.0,6.487813750821435,mcgs,-0.8694775373887267,"Lasso(alpha=0.1, max_iter=10000)"
0.1,4.0,6.487813750821435,pos,0.0,"Lasso(alpha=0.1, max_iter=10000)"
0.1,4.0,6.487813750821435,sbps,-0.0,"Lasso(alpha=0.1, max_iter=10000)"
0.1,4.0,6.487813750821435,prculs-d,-1.6096254128260892,"Lasso(alpha=0.1, max_iter=10000)"
0.1,4.0,6.487813750821435,prcus-p,-2.3865845856266694,"Lasso(alpha=0.1, max_iter=10000)"
0.1,4.0,6.487813750821435,prcus-i,-3.638819386381522,"Lasso(alpha=0.1, max_iter=10000)"
0.1,4.0,6.487813750821435,prcus-a,-1.7515222112968358,"Lasso(alpha=0.1, max_iter=10000)"
0.1,4.0,6.487813750821435,ifrms,-2.7188198939170554,"Lasso(alpha=0.1, max_iter=10000)"
0.1,4.0,6.487813750821435,sspls-v,0.6160240379839008,"Lasso(alpha=0.1, max_iter=10000)"
