alpha_level,Sulci,beta,RMSE
0.1,ifrms,-2.8587690855997003,6.342889575872325
0.1,mcgs,-0.8388909034659016,6.342889575872325
0.1,pos,0.0,6.342889575872325
0.1,prculs-d,-1.6043387528006097,6.342889575872325
0.1,prcus-a,-1.676535766630793,6.342889575872325
0.1,prcus-i,-3.4885829638525143,6.342889575872325
0.1,prcus-p,-2.3322474793876307,6.342889575872325
0.1,sbps,-0.0,6.342889575872325
0.1,sspls-v,0.5626948552546116,6.342889575872325
0.107,ifrms,-2.8385624208420106,6.326408981221004
0.107,mcgs,-0.8055699975760326,6.326408981221004
0.107,pos,0.0,6.326408981221004
0.107,prculs-d,-1.5837942541653023,6.326408981221004
0.107,prcus-a,-1.633812079669989,6.326408981221004
0.107,prcus-i,-3.437218465632167,6.326408981221004
0.107,prcus-p,-2.2870707868856788,6.326408981221004
0.107,sbps,-0.0,6.326408981221004
0.107,sspls-v,0.5399424768417175,6.326408981221004
0.114,ifrms,-2.816779503077904,6.309013231223913
0.114,mcgs,-0.772249091686165,6.309013231223913
0.114,pos,0.0,6.309013231223913
0.114,prculs-d,-1.5637535885791904,6.309013231223913
0.114,prcus-a,-1.5910883927091843,6.309013231223913
0.114,prcus-i,-3.3858548878522656,6.309013231223913
0.114,prcus-p,-2.241894094383726,6.309013231223913
0.114,sbps,-0.0,6.309013231223913
0.114,sspls-v,0.5169132202963926,6.309013231223913
0.122,ifrms,-2.7918848561204754,6.289129357561805
0.122,mcgs,-0.7341680563834596,6.289129357561805
0.122,pos,0.0,6.289129357561805
0.122,prculs-d,-1.5408487071198076,6.289129357561805
0.122,prcus-a,-1.542263730396729,6.289129357561805
0.122,prcus-i,-3.3271568618455394,6.289129357561805
0.122,prcus-p,-2.19026358866721,6.289129357561805
0.122,sbps,-0.0,6.289129357561805
0.122,sspls-v,0.4905923977984448,6.289129357561805
0.131,ifrms,-2.7638781987491123,6.264619895388063
0.131,mcgs,-0.6913268916679165,6.264619895388063
0.131,pos,0.0,6.264619895388063
0.131,prculs-d,-1.515080451095608,6.264619895388063
0.131,prcus-a,-1.4873397191411195,6.264619895388063
0.131,prcus-i,-3.2610156802004053,6.264619895388063
0.131,prcus-p,-2.131338440656667,6.264619895388063
0.131,sbps,0.0,6.264619895388063
0.131,sspls-v,0.46098118921431563,6.264619895388063
0.14,ifrms,-2.7358715285115176,6.2355469041951626
0.14,mcgs,-0.6484857269523723,6.2355469041951626
0.14,pos,0.0,6.2355469041951626
0.14,prculs-d,-1.4885891949714776,6.2355469041951626
0.14,prcus-a,-1.4320266919956186,6.2355469041951626
0.14,prcus-i,-3.1949848966253915,6.2355469041951626
0.14,prcus-p,-2.071119905984868,6.2355469041951626
0.14,sbps,0.0,6.2355469041951626
0.14,sspls-v,0.4313704036090783,6.2355469041951626
0.149,ifrms,-2.7077779316290744,6.203056373171908
0.149,mcgs,-0.6056445622368287,6.203056373171908
0.149,pos,0.0,6.203056373171908
0.149,prculs-d,-1.460641484319189,6.203056373171908
0.149,prcus-a,-1.3794953568882926,6.203056373171908
0.149,prcus-i,-3.1288794801779907,6.203056373171908
0.149,prcus-p,-2.0154241039673217,6.203056373171908
0.149,sbps,0.0,6.203056373171908
0.149,sspls-v,0.40174304100709746,6.203056373171908
0.16,ifrms,-2.6704940070105794,6.159322873426844
0.16,mcgs,-0.5532831386956079,6.159322873426844
0.16,pos,0.0,6.159322873426844
0.16,prculs-d,-1.4283226025921154,6.159322873426844
0.16,prcus-a,-1.3140283146773282,6.159322873426844
0.16,prcus-i,-3.0481927342733344,6.159322873426844
0.16,prcus-p,-1.9414820017198942,6.159322873426844
0.16,sbps,0.0,6.159322873426844
0.16,sspls-v,0.3655254801105859,6.159322873426844
0.171,ifrms,-2.6332116120464475,6.11517441559033
0.171,mcgs,-0.5001807287023607,6.11517441559033
0.171,pos,0.0,6.11517441559033
0.171,prculs-d,-1.396516855290551,6.11517441559033
0.171,prcus-a,-1.244488521257329,6.11517441559033
0.171,prcus-i,-2.967448581749596,6.11517441559033
0.171,prcus-p,-1.86836422952785,6.11517441559033
0.171,sbps,0.0,6.11517441559033
0.171,sspls-v,0.32568053574692923,6.11517441559033
0.182,ifrms,-2.5959157598352838,6.074157590946582
0.182,mcgs,-0.44727869777847395,6.074157590946582
0.182,pos,0.0,6.074157590946582
0.182,prculs-d,-1.3647106840868732,6.074157590946582
0.182,prcus-a,-1.1730462438016112,6.074157590946582
0.182,prcus-i,-2.886697083882635,6.074157590946582
0.182,prcus-p,-1.7984557062294333,6.074157590946582
0.182,sbps,0.0,6.074157590946582
0.182,sspls-v,0.28583097229864635,6.074157590946582
0.195,ifrms,-2.5563718530917643,6.033315782462982
0.195,mcgs,-0.3848506830385373,6.033315782462982
0.195,pos,0.0,6.033315782462982
0.195,prculs-d,-1.3271211452506257,6.033315782462982
0.195,prcus-a,-1.085789907188659,6.033315782462982
0.195,prcus-i,-2.7952925992413036,6.033315782462982
0.195,prcus-p,-1.715834903618745,6.033315782462982
0.195,sbps,0.0,6.033315782462982
0.195,sspls-v,0.23997897405867288,6.033315782462982
0.208,ifrms,-2.5169381593862785,6.004710043587027
0.208,mcgs,-0.3224226584786194,6.004710043587027
0.208,pos,0.0,6.004710043587027
0.208,prculs-d,-1.2896150447059784,6.004710043587027
0.208,prcus-a,-1.005959836781156,6.004710043587027
0.208,prcus-i,-2.693340221582856,6.004710043587027
0.208,prcus-p,-1.632150014261082,6.004710043587027
0.208,sbps,0.0,6.004710043587027
0.208,sspls-v,0.19438714508307955,6.004710043587027
0.223,ifrms,-2.472010980471362,5.977635068320264
0.223,mcgs,-0.25075639828652124,5.977635068320264
0.223,pos,0.0,5.977635068320264
0.223,prculs-d,-1.2544146522610131,5.977635068320264
0.223,prcus-a,-0.9144330158207883,5.977635068320264
0.223,prcus-i,-2.584867637767484,5.977635068320264
0.223,prcus-p,-1.5401213505632891,5.977635068320264
0.223,sbps,0.0,5.977635068320264
0.223,sspls-v,0.14178291882589175,5.977635068320264
0.238,ifrms,-2.4309335412344915,5.953454517819086
0.238,mcgs,-0.1833278059675943,5.953454517819086
0.238,pos,0.0,5.953454517819086
0.238,prculs-d,-1.2160723006881287,5.953454517819086
0.238,prcus-a,-0.8229058216132871,5.953454517819086
0.238,prcus-i,-2.4735446711489946,5.953454517819086
0.238,prcus-p,-1.4536930820943559,5.953454517819086
0.238,sbps,0.0,5.953454517819086
0.238,sspls-v,0.08915989004830499,5.953454517819086
0.255,ifrms,-2.3849079714214496,5.9136137133295374
0.255,mcgs,-0.10664882618566496,5.9136137133295374
0.255,pos,0.0,5.9136137133295374
0.255,prculs-d,-1.16470252259819,5.9136137133295374
0.255,prcus-a,-0.7182619544382381,5.9136137133295374
