Sulci,beta
mcgs,-0.8402430595489832
pos,-0.0
sbps,-0.0
prculs-d,-1.6508371248578764
prcus-p,-2.5023058076244875
prcus-i,-3.625199414855977
prcus-a,-1.7778983608254126
ifrms,-2.926076471297652
sspls-v,0.5762266539727182
mcgs,-0.6890168570633448
pos,-0.09007310407930472
sbps,-0.8486917900407264
prculs-d,-2.076820190111851
prcus-p,-2.001789444450495
prcus-i,-2.994001698263028
prcus-a,-1.243253834378271
ifrms,-2.5496791471610645
sspls-v,0.4415536475323102
mcgs,-1.3503671221492384
pos,-0.016731604633431277
sbps,0.19008308196350454
prculs-d,-1.6224719814706128
prcus-p,-2.478632076826166
prcus-i,-3.91887553903727
prcus-a,-1.8732550222723399
ifrms,-3.158858865545723
sspls-v,0.8920151659510628
mcgs,-0.8694775373887267
pos,0.0
sbps,-0.0
prculs-d,-1.6096254128260892
prcus-p,-2.3865845856266694
prcus-i,-3.638819386381522
prcus-a,-1.7515222112968358
ifrms,-2.7188198939170554
sspls-v,0.6160240379839008
mcgs,-1.2458699802828386
pos,0.3511099389183002
sbps,0.17271658498644732
prculs-d,-2.1546979749760644
prcus-p,-3.013955087982159
prcus-i,-4.729963584811316
prcus-a,-2.665781282725894
ifrms,-2.8353697735194556
sspls-v,0.8101440324515877
mcgs,-0.0
pos,0.007878818675722364
sbps,-0.0
prculs-d,-1.847210165202873
prcus-p,-2.215411670647958
prcus-i,-3.31465021762837
prcus-a,-1.8946969724200902
ifrms,-2.2179963639486338
sspls-v,0.14740636997159023
mcgs,-0.5836705214842138
pos,0.007013838422746959
sbps,0.0
prculs-d,-1.7369414449115672
prcus-p,-1.9738184941694314
prcus-i,-3.519551832291837
prcus-a,-1.4217828630131517
ifrms,-2.9845037318537195
sspls-v,0.8474093482167372
mcgs,-0.7709507169124264
pos,0.0
sbps,-0.0
prculs-d,-1.6156112472480435
prcus-p,-2.4302004008338582
prcus-i,-3.5833473448654387
prcus-a,-1.7077503263527842
ifrms,-2.881288145428569
sspls-v,0.6168763911440954
mcgs,-0.20504617486226262
pos,-0.18376800567081414
sbps,-0.04747289728184023
prculs-d,-0.29173528474096644
prcus-p,-2.0395363600095724
prcus-i,-3.063863065173599
prcus-a,-1.7551517791632867
ifrms,-2.3377545585375716
sspls-v,0.4887238128841667
mcgs,-1.0333142221046747
pos,0.5621943723401548
sbps,0.3232936889333231
prculs-d,-1.2256383795419763
prcus-p,-2.5091004269797814
prcus-i,-3.1604342260455525
prcus-a,-1.1190267661880087
ifrms,-2.8799642108079015
sspls-v,0.2471480097049316
