alpha,RMSE
0.1,6.382857931952766
0.1,6.0421620239391665
0.1,6.358017605687297
0.1,6.487813750821435
0.1,5.8790136033755065
0.1,5.733136736897707
0.1,6.396496037592029
0.1,6.398861264166221
0.1,5.731067837559961
0.1,6.113654105237253
0.1,6.101068287887519
0.1,6.330441585741625
0.1,6.236981240783285
0.1,6.132841495510065
0.1,6.619196209568831
0.1,6.38335885918321
0.1,6.355337566003026
0.1,6.062469760058594
0.1,6.4002067757882495
0.1,6.523176404784686
0.1,6.408745248284424
0.1,6.4954600878354025
0.1,6.534589377748323
0.1,5.712582105527247
0.1,6.125454171804516
0.1,6.102311711017219
0.1,6.478392112039507
0.1,5.995556334379728
0.107,6.372112528005274
0.107,6.033067531576679
0.107,6.346467858243325
0.107,6.478432819965256
0.107,5.8753960104384815
0.107,5.707284590840617
0.107,6.371630690426421
0.107,6.385060588611169
0.107,5.71934884582033
0.107,6.0966768971897345
0.107,6.070250059711014
0.107,6.313482029024938
0.107,6.212099096019745
0.107,6.1212850118083715
0.107,6.603631993826451
0.107,6.3697422105930555
0.107,6.339335933417071
0.107,6.045757443792984
0.107,6.387143407528476
0.107,6.512738232006298
0.107,6.390038634557515
0.107,6.480248770848897
0.107,6.5112342674341095
0.107,5.705806174398288
0.107,6.11763574168416
0.107,6.098088307357749
0.107,6.462458150153801
0.107,5.979169882626254
0.114,6.361474511533019
0.114,6.023905823019073
0.114,6.334891043241068
0.114,6.469082324826288
0.114,5.8717823998665
0.114,5.684061899012926
0.114,6.344338394569786
0.114,6.371286707345515
0.114,5.707293554289402
0.114,6.078737456745017
0.114,6.039394432636271
0.114,6.295083382310005
0.114,6.18695192800425
0.114,6.109181904463282
0.114,6.588456610129624
0.114,6.354215113447066
0.114,6.3229430801378195
0.114,6.028216969305553
0.114,6.373732867990556
0.114,6.502451609826442
0.114,6.370710860014465
0.114,6.464292149871552
0.114,6.487403737023863
0.114,5.699336768194887
0.114,6.109462996649615
0.114,6.09105656749826
0.114,6.4467944605842105
0.114,5.961530387399749
0.122,6.349426636783261
0.122,6.014149121652632
0.122,6.321227682523198
0.122,6.458357555825616
0.122,5.867632362005218
0.122,5.659980226017155
0.122,6.311764362161348
0.122,6.35620065884829
0.122,5.692124252348128
0.122,6.056185475074413
0.122,6.003363365869389
0.122,6.274878971081692
0.122,6.157658109536431
0.122,6.09502534816763
0.122,6.5711423686893875
0.122,6.335838238092131
0.122,6.303379744041918
0.122,6.008888179352709
0.122,6.358417379191503
0.122,6.490774272344233
0.122,6.345447112579784
0.122,6.446080237094407
0.122,6.459666674971463
0.122,5.691663436542462
0.122,6.096522912413081
0.122,6.080404884857593
0.122,6.430407051053498
0.122,5.940925080259433
0.131,6.336381497258112
0.131,6.0044917006880025
0.131,6.307565374279278
0.131,6.4468590085088815
0.131,5.869489426621012
0.131,5.6361287464306296
0.131,6.275861166637001
0.131,6.338543515832332
0.131,5.674628080212851
0.131,6.030413344985633
0.131,5.9604978422894925
0.131,6.253378624139125
0.131,6.126523654835239
0.131,6.083534283707582
0.131,6.552170928259145
0.131,6.31613826041002
0.131,6.276881763924241
0.131,5.991675909326852
0.131,6.338549972097259
0.131,6.477915314072241
0.131,6.318538126475676
0.131,6.425276969332951
0.131,6.426981589376769
0.131,5.678275455550615
0.131,6.080104681721599
0.131,6.067624237258951
0.131,6.412583888184334
0.131,5.923339287454753
0.14,6.32331708182012
0.14,5.987697342016616
0.14,6.292610255955464
0.14,6.4345178997491805
0.14,5.875533531190098
0.14,5.611104222078908
0.14,6.240526087789878
0.14,6.319456193830558
0.14,5.65284103963667
0.14,6.004587952500159
0.14,5.919294817697299
0.14,6.2305677206004475
0.14,6.097443953451873
0.14,6.0786535266216095
0.14,6.533945532284083
0.14,6.297065115328869
0.14,6.253340512455427
0.14,5.972869109642635
