alpha,RMSE
0.1,6.342889575872325
0.107,6.326408981221004
0.114,6.309013231223913
0.122,6.289129357561805
0.131,6.264619895388063
0.14,6.2355469041951626
0.149,6.203056373171908
0.16,6.159322873426844
0.171,6.11517441559033
0.182,6.074157590946582
0.195,6.033315782462982
0.208,6.004710043587027
0.223,5.977635068320264
0.238,5.953454517819086
0.255,5.9136137133295374
0.272,5.878150003077077
0.291,5.844125226894194
0.311,5.811270417093138
0.332,5.766590009074543
0.355,5.715848094817829
0.38,5.645027768613563
0.406,5.582721333966541
0.434,5.54028765749959
0.464,5.516935535638582
0.496,5.4905125341751475
0.53,5.467402310760695
0.567,5.430337179023535
0.606,5.416176363200538
0.648,5.4036618975096875
0.693,5.388120227059761
0.741,5.364642619482892
0.792,5.336805545201701
0.846,5.308433675773783
0.905,5.282790304844139
0.967,5.253120448629549
1.034,5.234448839286795
1.105,5.230021055265089
1.182,5.217201822715314
1.263,5.218765339896138
1.35,5.207574328269921
1.444,5.215953696724105
1.543,5.2248823052269655
1.65,5.241396686358284
1.764,5.260187552861394
1.885,5.284898311592728
2.015,5.326683183727246
2.154,5.376911929494679
2.303,5.415098441600848
2.462,5.449409083249789
2.632,5.460992359031518
2.814,5.469987308085763
3.008,5.448063243432888
3.215,5.44017094017094
3.437,5.44017094017094
3.675,5.44017094017094
3.928,5.44017094017094
4.199,5.44017094017094
4.489,5.44017094017094
4.799,5.44017094017094
5.13,5.44017094017094
5.484,5.44017094017094
5.863,5.44017094017094
6.268,5.44017094017094
6.7,5.44017094017094
7.163,5.44017094017094
7.657,5.44017094017094
8.185,5.44017094017094
8.75,5.44017094017094
9.354,5.44017094017094
10.0,5.44017094017094
