,sub,hemi,label,vertices,total_surface_area_(mm^2),total_gray_matter_volume_(mm^3),cortical_thickness_mean,cortical_thickness_std,rectified_mean_curvature,rectified_Gaussian_curvature,folding_index,intrinsic_curvature_index,sulcal_depth_mean,sulcal_depth_max,sulcal_pct_max_depth_mean,thickness_max_depth,sulcal_pct_max_thickness_mean,label_mean_thickness_pct_max
0,n002t2,lh,frontal,42864.0,28846.0,93848.0,2.766,0.71,0.123,0.031,534.0,50.3,-0.9832941889762878,14.63022518157959,-0.0593053363263607,2.6497201919555664,-0.0593053363263607,0.5531092882156372
0,n002t2,rh,frontal,42052.0,28596.0,89816.0,2.6,0.745,0.125,0.031,619.0,52.4,-0.966153621673584,15.329517364501953,-0.05692977085709572,2.278593063354492,-0.05692977085709572,0.520000159740448
0,n004t2,lh,frontal,34781.0,23770.0,81534.0,2.867,0.753,0.126,0.033,468.0,46.7,-0.953472912311554,15.333773612976074,-0.06218123808503151,2.0650620460510254,-0.06218123808503151,0.5734065175056458
0,n004t2,rh,frontal,34458.0,23501.0,80935.0,2.813,0.76,0.126,0.033,488.0,42.5,-1.0404279232025146,15.569771766662598,-0.0668235793709755,2.360668897628784,-0.0668235793709755,0.5625491142272949
0,n005t1,lh,frontal,45743.0,31283.0,101704.0,2.802,0.585,0.128,0.03,649.0,54.8,-0.34697383642196655,15.777427673339844,-0.020317578688263893,2.454897880554199,-0.020317578688263893,0.5604039430618286
0,n005t1,rh,frontal,46481.0,31421.0,99580.0,2.687,0.617,0.128,0.031,702.0,58.3,-0.33988648653030396,16.239154815673828,-0.019240986555814743,2.3663368225097656,-0.019240986555814743,0.5374622941017151
0,n009t3,lh,frontal,37054.0,25178.0,77722.0,2.674,0.598,0.129,0.033,508.0,50.1,-0.8570233583450317,16.401641845703125,-0.05225229263305664,3.223660945892334,-0.05225229263305664,0.5348678231239319
0,n009t3,rh,frontal,36909.0,24611.0,74442.0,2.555,0.654,0.132,0.037,566.0,56.5,-0.7604854106903076,15.031878471374512,-0.046175725758075714,2.294463634490967,-0.046175725758075714,0.5109848976135254
0,n013t2,lh,frontal,36011.0,24684.0,87704.0,2.93,0.719,0.128,0.033,517.0,46.3,-1.155413269996643,15.227862358093262,-0.07218257337808609,2.9039125442504883,-0.07218257337808609,0.5859726071357727
0,n013t2,rh,frontal,35489.0,24208.0,84350.0,2.76,0.763,0.13,0.037,536.0,51.3,-1.0592461824417114,15.162405967712402,-0.06485555320978165,1.4576280117034912,-0.06485555320978165,0.552094042301178
0,n016t2,lh,frontal,45212.0,30403.0,92560.0,2.644,0.617,0.127,0.03,591.0,52.2,-0.9638270139694214,16.467472076416016,-0.058529146015644073,3.3141889572143555,-0.058529146015644073,0.5288311243057251
0,n016t2,rh,frontal,45910.0,30953.0,90787.0,2.509,0.639,0.127,0.032,644.0,55.2,-0.9556854367256165,14.715109825134277,-0.06012299284338951,1.5273367166519165,-0.06012299284338951,0.5018906593322754
0,n017t1,lh,frontal,32989.0,22529.0,73155.0,2.723,0.656,0.128,0.034,430.0,45.0,-0.44439488649368286,15.622690200805664,-0.02787206880748272,2.450282335281372,-0.02787206880748272,0.5446411967277527
0,n017t1,rh,frontal,33112.0,22434.0,72527.0,2.655,0.71,0.134,0.039,502.0,51.5,-0.3743709325790405,15.28337287902832,-0.022097956389188766,2.0300748348236084,-0.022097956389188766,0.5309455990791321
0,n018t2,lh,frontal,36447.0,25195.0,94252.0,3.012,0.771,0.132,0.038,579.0,55.2,-0.9885671138763428,15.046759605407715,-0.05994243547320366,2.79030179977417,-0.05994243547320366,0.6024987697601318
0,n018t2,rh,frontal,35675.0,24449.0,85282.0,2.765,0.849,0.13,0.037,559.0,53.3,-0.9190937876701355,14.459716796875,-0.05446154251694679,1.8783185482025146,-0.05446154251694679,0.552963137626648
0,n021t2,lh,frontal,37266.0,25498.0,71142.0,2.419,0.619,0.124,0.028,502.0,42.3,-0.9906753301620483,15.19893741607666,-0.06150584667921066,1.8360860347747803,-0.06150584667921066,0.4837571382522583
0,n021t2,rh,frontal,36483.0,24598.0,67035.0,2.315,0.616,0.127,0.032,542.0,46.5,-1.0432227849960327,14.182865142822266,-0.06227396801114082,2.109424591064453,-0.06227396801114082,0.46292564272880554
0,n022t2,lh,frontal,36629.0,24838.0,88725.0,2.977,0.716,0.12,0.03,450.0,43.8,-1.0397419929504395,14.740922927856445,-0.06440307945013046,2.133997917175293,-0.06440307945013046,0.5953952074050903
0,n022t2,rh,frontal,37292.0,25599.0,90258.0,2.923,0.745,0.128,0.034,518.0,49.4,-1.0497796535491943,15.880043983459473,-0.06359263509511948,2.5263235569000244,-0.06359263509511948,0.5846983790397644
