"X","sub","hemi","label","vertices","total_surface_area_.mm.2.","total_gray_matter_volume_.mm.3.","cortical_thickness_mean","cortical_thickness_std","rectified_mean_curvature","rectified_Gaussian_curvature","folding_index","intrinsic_curvature_index","sulcal_depth_mean","sulcal_depth_max","sulcal_pct_max_depth_mean","sulcal_depth_max_pct","myelin","dataset","label2","ant_post","sup_inf","sulc_type","ratio"
6,103111,"lh","spls",937,650,1514,2.598,0.421,0.11,0.02,4,0.9,0.476272493600845,1.14570093154907,0.279771000146866,1.14570093154907,1.32173335552216,"HCP_replication","spls LH","posterior","superior","primary",1.96560069332111
7,103111,"lh","mcgs",917,679,1414,2.338,0.435,0.101,0.012,4,0.5,0.399862676858902,1.1931631565094,0.234886482357979,1.1931631565094,1.32632732391357,"HCP_replication","MCGS LH","anterior","superior","primary",1.76276244773523
8,103111,"lh","sspls",123,75,220,2.567,0.347,0.094,0.021,0,0.1,-0.090736448764801,0.0816734284162521,-0.0533002093434334,0.0816734284162521,1.42491638660431,"HCP_replication","sspls LH","posterior","inferior","tertiary",1.80150921424756
9,103111,"lh","ifrms",107,78,271,3.406,0.382,0.129,0.034,1,0.1,0.0657695010304451,0.256027489900589,0.038634181022644,0.256027489900589,1.29959845542908,"HCP_replication","ifrms LH","anterior","inferior","tertiary",2.62080951679453
15,108222,"lh","spls",916,640,1505,2.698,0.471,0.118,0.027,5,1.1,0.331276327371597,1.20505583286285,0.188648417592049,1.20505583286285,1.34867358207703,"HCP_replication","spls LH","posterior","superior","primary",2.00048405771019
16,108222,"lh","mcgs",1405,1035,2045,2.195,0.422,0.104,0.015,7,0.9,0.465721696615219,1.20671474933624,0.26520961523056,1.20671474933624,1.30770564079285,"HCP_replication","MCGS LH","anterior","superior","primary",1.67851229782047
17,108222,"lh","sspls",150,107,309,3.146,0.258,0.132,0.021,1,0.2,-0.0609987340867519,0.178067937493324,-0.0347363017499447,0.178067937493324,1.33620870113373,"HCP_replication","sspls LH","posterior","inferior","tertiary",2.3544226267429
18,108222,"lh","ifrms",114,74,262,3.331,0.625,0.111,0.021,1,0.1,0.0425707474350929,0.546900272369385,0.0242423135787249,0.546900272369385,1.30237698554993,"HCP_replication","ifrms LH","anterior","inferior","tertiary",2.55763119047553
24,108828,"lh","spls",1102,781,1737,2.592,0.463,0.126,0.027,7,1.3,0.485238403081894,1.26859283447266,0.262014627456665,1.26859283447266,1.33867084980011,"HCP_replication","spls LH","posterior","superior","primary",1.9362489295909
25,108828,"lh","mcgs",744,526,1075,2.259,0.369,0.112,0.019,4,0.6,0.530604720115662,1.19439768791199,0.286511152982712,1.19439768791199,1.3210061788559,"HCP_replication","MCGS LH","anterior","superior","primary",1.71006013155554
