Sulcus,Type,Amount,dataset
pos,lh,36,discovery
prculs,lh,36,discovery
prcus-p,lh,36,discovery
prcus-i,lh,36,discovery
prcus-a,lh,36,discovery
sps,lh,35,discovery
spls,lh,36,discovery
mcgs,lh,36,discovery
ifrms,lh,36,discovery
sspls,lh,23,discovery
icgs-p,lh,19,discovery
pos,rh,36,discovery
prculs,rh,36,discovery
prcus-p,rh,36,discovery
prcus-i,rh,36,discovery
prcus-a,rh,36,discovery
sps,rh,34,discovery
spls,rh,36,discovery
mcgs,rh,36,discovery
ifrms,rh,36,discovery
sspls,rh,18,discovery
icgs-p,rh,23,discovery
pos,none,0,discovery
prculs,none,0,discovery
prcus-p,none,0,discovery
prcus-i,none,0,discovery
prcus-a,none,0,discovery
sps,none,3,discovery
spls,none,0,discovery
mcgs,none,0,discovery
ifrms,none,0,discovery
sspls,none,31,discovery
icgs-p,none,30,discovery
pos,lh,36,replication
prculs,lh,36,replication
prcus-p,lh,36,replication
prcus-i,lh,36,replication
prcus-a,lh,36,replication
sps,lh,30,replication
spls,lh,36,replication
mcgs,lh,36,replication
ifrms,lh,36,replication
sspls,lh,17,replication
icgs-p,lh,24,replication
pos,rh,36,replication
prculs,rh,36,replication
prcus-p,rh,36,replication
prcus-i,rh,36,replication
prcus-a,rh,36,replication
sps,rh,34,replication
spls,rh,36,replication
mcgs,rh,36,replication
ifrms,rh,36,replication
sspls,rh,20,replication
icgs-p,rh,23,replication
pos,none,0,replication
prculs,none,0,replication
prcus-p,none,0,replication
prcus-i,none,0,replication
prcus-a,none,0,replication
sps,none,8,replication
spls,none,0,replication
mcgs,none,0,replication
ifrms,none,0,replication
sspls,none,35,replication
icgs-p,none,25,replication
