"","sub","hemi","label","cortical_thickness_mean","myelin","dataset","ratio","label_dataset"
"1",100206,"rh","mcgs",2,1.30748307704926,"HCP_discovery",1.52965650959982,"MCGS d"
"2",100206,"rh","prcus-a",2.254,1.29691481590271,"HCP_discovery",1.73797073821777,"prcus-a d"
"3",100206,"rh","prcus-i",2.339,1.31240963935852,"HCP_discovery",1.78221793703318,"prcus-i d"
"4",100206,"rh","prcus-p",2.09,1.3057142496109,"HCP_discovery",1.60065649940086,"prcus-p d"
"5",100206,"rh","prculs",2.649,1.44036865234375,"HCP_discovery",1.83911250476715,"prculs d"
"6",100206,"rh","pos",2.219,1.39924585819244,"HCP_discovery",1.58585425642533,"POS d"
"7",100206,"rh","spls",2.664,1.36888599395752,"HCP_discovery",1.94610801174044,"spls d"
"8",100206,"rh","ifrms",3.687,1.33491671085358,"HCP_discovery",2.76197006901085,"ifrms d"
"9",100206,"lh","mcgs",2.174,1.31885814666748,"HCP_discovery",1.64839562578683,"MCGS d"
"10",100206,"lh","prcus-a",2.251,1.32106041908264,"HCP_discovery",1.7039341785466,"prcus-a d"
"11",100206,"lh","prcus-i",2.354,1.23383522033691,"HCP_discovery",1.90787226786833,"prcus-i d"
"12",100206,"lh","prcus-p",2.614,1.32820677757263,"HCP_discovery",1.96806705412031,"prcus-p d"
"13",100206,"lh","prculs",2.318,1.35534334182739,"HCP_discovery",1.71026774431538,"prculs d"
"14",100206,"lh","pos",2.391,1.40805578231812,"HCP_discovery",1.69808613410445,"POS d"
"15",100206,"lh","spls",2.86,1.37627732753754,"HCP_discovery",2.0780695451237,"spls d"
"16",100206,"lh","ifrms",3.341,1.45768213272095,"HCP_discovery",2.29199489038368,"ifrms d"
"17",100206,"lh","sps",1.922,1.28844165802002,"HCP_discovery",1.49172450924443,"sps d"
"18",100206,"rh","icgs-p",2.754,1.157662272,"HCP_discovery",2.3789321519843,"icgs-p d"
"19",100206,"lh","sspls",3.002,1.539113641,"HCP_discovery",1.95047325943361,"sspls d"
"20",100206,"rh","sps",2.352,1.27089893817902,"HCP_discovery",1.85065856091595,"sps d"
"21",100206,"rh","sspls",3.769,1.412886143,"HCP_discovery",2.66758933030317,"sspls d"
"22",100307,"rh","mcgs",2.256,1.33457267284393,"HCP_discovery",1.69042873865575,"MCGS d"
"23",100307,"rh","prcus-a",2.315,1.33011937141418,"HCP_discovery",1.74044529367217,"prcus-a d"
"24",100307,"rh","prcus-i",2.462,1.28729629516602,"HCP_discovery",1.91253560601795,"prcus-i d"
"25",100307,"rh","prculs",2.116,1.41331005096436,"HCP_discovery",1.4971944751657,"prculs d"
"26",100307,"rh","pos",2.691,1.4623167514801,"HCP_discovery",1.84023057745613,"POS d"
"27",100307,"rh","spls",2.894,1.35944247245789,"HCP_discovery",2.1288138767414,"spls d"
"28",100307,"rh","prcus-p",2.44,1.35447645187378,"HCP_discovery",1.80143404975739,"prcus-p d"
"29",100307,"lh","mcgs",2.198,1.33994281291962,"HCP_discovery",1.64036851334778,"MCGS d"
"30",100307,"lh","prcus-a",2.297,1.31228590011597,"HCP_discovery",1.75038076671936,"prcus-a d"
"31",100307,"lh","spls",2.483,1.32383573055267,"HCP_discovery",1.87561035156787,"spls d"
"32",100307,"lh","ifrms",3.49,1.30262529850006,"HCP_discovery",2.67920483658551,"ifrms d"
"33",100307,"rh","ifrms",4.095,1.29189252853394,"HCP_discovery",3.16976831242075,"ifrms d"
"34",100307,"lh","pos",2.409,1.44564318656921,"HCP_discovery",1.66638629945541,"POS d"
"35",100307,"lh","sps",2.232,1.30238306522369,"HCP_discovery",1.71378149762462,"sps d"
"36",100307,"lh","prcus-i",2.367,1.24082016944885,"HCP_discovery",1.90760922354396,"prcus-i d"
"37",100307,"lh","prcus-p",2.232,1.29513537883759,"HCP_discovery",1.7233719628625,"prcus-p d"
"38",100307,"rh","sps",2.104,1.32408106327057,"HCP_discovery",1.58902657727237,"sps d"
"39",100307,"lh","prculs",2.184,1.37494504451752,"HCP_discovery",1.588427122021,"prculs d"
"40",100307,"lh","icgs-p",3.313,1.395678878,"HCP_discovery",2.3737552041681,"icgs-p d"
"41",100307,"lh","sspls",2.96,1.39795053,"HCP_discovery",2.11738536985282,"sspls d"
"42",100408,"rh","mcgs",2.287,1.33799600601196,"HCP_discovery",1.70927266578071,"MCGS d"
"43",100408,"rh","prcus-a",2.304,1.30103242397308,"HCP_discovery",1.77090129157894,"prcus-a d"
"44",100408,"rh","prcus-i",2.401,1.32166504859924,"HCP_discovery",1.81664787348707,"prcus-i d"
"45",100408,"lh","prculs",2.26,1.43113577365875,"HCP_discovery",1.5791653325961,"prculs d"
"46",100408,"lh","pos",2.313,1.44731056690216,"HCP_discovery",1.59813660792291,"POS d"
"47",100408,"rh","spls",2.66,1.30781078338623,"HCP_discovery",2.03393337460686,"spls d"
"48",100408,"rh","prcus-p",2.312,1.39540183544159,"HCP_discovery",1.65687040197159,"prcus-p d"
"49",100408,"rh","ifrms",3.714,1.27188861370087,"HCP_discovery",2.92006702473199,"ifrms d"
"50",100408,"rh","prculs",2.716,1.40549409389496,"HCP_discovery",1.93241651586974,"prculs d"
"51",100408,"lh","spls",2.699,1.32021355628967,"HCP_discovery",2.0443662217689,"spls d"
"52",100408,"lh","ifrms",4.216,1.29549777507782,"HCP_discovery",3.25434754200697,"ifrms d"
"53",100408,"lh","prcus-p",2.195,1.35528588294983,"HCP_discovery",1.61958449328971,"prcus-p d"
"54",100408,"lh","mcgs",2.2,1.28853118419647,"HCP_discovery",1.70737039738151,"MCGS d"
"55",100408,"rh","pos",2.302,1.43962132930756,"HCP_discovery",1.59903160166933,"POS d"
"56",100408,"lh","prcus-a",2.413,1.28762769699097,"HCP_discovery",1.87398889107379,"prcus-a d"
"57",100408,"lh","prcus-i",2.736,1.31796109676361,"HCP_discovery",2.07593380921374,"prcus-i d"
"58",100408,"rh","icgs-p",2.724,1.296881437,"HCP_discovery",2.10042330955193,"icgs-p d"
"59",100408,"lh","icgs-p",3.098,1.182488203,"HCP_discovery",2.61989928706291,"icgs-p d"
"60",100408,"lh","sps",2.067,1.28281342983246,"HCP_discovery",1.61130212073782,"sps d"
"61",100408,"lh","sspls",3.145,1.267383218,"HCP_discovery",2.48149096132343,"sspls d"
"62",100610,"rh","prcus-p",2.486,1.32545864582062,"HCP_discovery",1.87557718819727,"prcus-p d"
"63",100610,"rh","mcgs",2.228,1.32603693008423,"HCP_discovery",1.68019453263528,"MCGS d"
"64",100610,"lh","prcus-p",2.676,1.3849835395813,"HCP_discovery",1.93215292710915,"prcus-p d"
"65",100610,"lh","prculs",2.096,1.33410930633545,"HCP_discovery",1.5710856599579,"prculs d"
"66",100610,"lh","pos",2.347,1.41673350334167,"HCP_discovery",1.65662772459612,"POS d"
"67",100610,"lh","prcus-i",2.098,1.2444121837616,"HCP_discovery",1.68593656296275,"prcus-i d"
"68",100610,"lh","ifrms",3.638,1.30877113342285,"HCP_discovery",2.77970678531508,"ifrms d"
"69",100610,"rh","prcus-i",2.28,1.25457048416138,"HCP_discovery",1.81735504603719,"prcus-i d"
"70",100610,"rh","sps",2.15,1.25864887237549,"HCP_discovery",1.70818092892121,"sps d"
"71",100610,"lh","spls",2.439,1.30077433586121,"HCP_discovery",1.87503699354985,"spls d"
"72",100610,"rh","icgs-p",3.134,1.329238653,"HCP_discovery",2.35774064568975,"icgs-p d"
"73",100610,"lh","sps",2.15,1.29688251018524,"HCP_discovery",1.65782172487846,"sps d"
"74",100610,"rh","pos",2.495,1.45833742618561,"HCP_discovery",1.71085234130338,"POS d"
"75",100610,"rh","prculs",2.166,1.41969096660614,"HCP_discovery",1.52568414602085,"prculs d"
"76",100610,"lh","prcus-a",2.14,1.29268229007721,"HCP_discovery",1.65547251356881,"prcus-a d"
"77",100610,"rh","prcus-a",2.231,1.36284351348877,"HCP_discovery",1.637018467578,"prcus-a d"
"78",100610,"lh","mcgs",2.181,1.27464246749878,"HCP_discovery",1.71106804897201,"MCGS d"
"79",100610,"rh","ifrms",3.672,1.27878022193909,"HCP_discovery",2.87148638757638,"ifrms d"
"80",100610,"lh","sspls",3.36,1.566933155,"HCP_discovery",2.14431610517553,"sspls d"
"81",100610,"rh","spls",2.609,1.3930721282959,"HCP_discovery",1.87283913517924,"spls d"
"82",101006,"lh","prcus-p",2.228,1.26429629325867,"HCP_discovery",1.76224514133267,"prcus-p d"
"83",101006,"lh","prcus-i",2.307,1.26995444297791,"HCP_discovery",1.81660059756973,"prcus-i d"
"84",101006,"rh","prcus-i",2.669,1.22781383991241,"HCP_discovery",2.17378230578538,"prcus-i d"
"85",101006,"rh","prcus-p",2.366,1.3211110830307,"HCP_discovery",1.79091677481977,"prcus-p d"
"86",101006,"lh","prcus-a",2.121,1.27325403690338,"HCP_discovery",1.66581054410664,"prcus-a d"
"87",101006,"rh","prcus-a",2.285,1.28205990791321,"HCP_discovery",1.78228800845918,"prcus-a d"
"88",101006,"lh","spls",2.391,1.34066820144653,"HCP_discovery",1.78343903243189,"spls d"
"89",101006,"lh","ifrms",2.787,1.43023526668549,"HCP_discovery",1.94863045606389,"ifrms d"
"90",101006,"rh","mcgs",2.154,1.31549429893494,"HCP_discovery",1.63740732418524,"MCGS d"
"91",101006,"lh","sps",2.066,1.23502910137177,"HCP_discovery",1.67283507546928,"sps d"
"92",101006,"rh","pos",2.296,1.50454998016357,"HCP_discovery",1.52603770580648,"POS d"
"93",101006,"rh","spls",2.828,1.3556501865387,"HCP_discovery",2.08608387922002,"spls d"
"94",101006,"lh","prculs",2.112,1.40125226974487,"HCP_discovery",1.50722324994666,"prculs d"
"95",101006,"lh","pos",2.136,1.45826327800751,"HCP_discovery",1.46475607814695,"POS d"
"96",101006,"rh","icgs-p",3.448,1.293523073,"HCP_discovery",2.66558832383502,"icgs-p d"
"97",101006,"rh","sps",2.218,1.27672147750855,"HCP_discovery",1.73726222913419,"sps d"
"98",101006,"rh","prculs",2.179,1.38861846923828,"HCP_discovery",1.56918552379278,"prculs d"
"99",101006,"lh","mcgs",2.124,1.27778220176697,"HCP_discovery",1.66225511441844,"MCGS d"
"100",101006,"lh","sspls",2.565,1.362547874,"HCP_discovery",1.88250266206793,"sspls d"
"101",101006,"rh","ifrms",3.024,1.25222253799438,"HCP_discovery",2.41490622333262,"ifrms d"
"102",101107,"rh","mcgs",2.383,1.3276275396347,"HCP_discovery",1.79493113004848,"MCGS d"
"103",101107,"lh","sps",2.29,1.28346478939056,"HCP_discovery",1.78423281957535,"sps d"
"104",101107,"rh","ifrms",3.357,1.3811217546463,"HCP_discovery",2.4306329175589,"ifrms d"
"105",101107,"lh","mcgs",2.51,1.39230501651764,"HCP_discovery",1.80276589556352,"MCGS d"
"106",101107,"lh","prcus-i",2.561,1.27061676979065,"HCP_discovery",2.01555658707539,"prcus-i d"
"107",101107,"lh","prcus-p",2.497,1.32149338722229,"HCP_discovery",1.88952894062419,"prcus-p d"
"108",101107,"rh","prcus-a",3.105,1.28459787368774,"HCP_discovery",2.4170988163684,"prcus-a d"
"109",101107,"rh","icgs-p",3.4,1.300788999,"HCP_discovery",2.61379824292318,"icgs-p d"
"110",101107,"rh","prcus-p",2.63,1.29004609584808,"HCP_discovery",2.03868684108612,"prcus-p d"
"111",101107,"lh","pos",2.72,1.40290975570679,"HCP_discovery",1.93882748974802,"POS d"
"112",101107,"rh","prculs",2.426,1.36222743988037,"HCP_discovery",1.78090671864094,"prculs d"
"113",101107,"lh","prcus-a",2.432,1.29757225513458,"HCP_discovery",1.87426942151114,"prcus-a d"
"114",101107,"lh","icgs-p",3.671,1.211131454,"HCP_discovery",3.03105000524576,"icgs-p d"
"115",101107,"lh","ifrms",3.034,1.37249088287354,"HCP_discovery",2.21057934727247,"ifrms d"
"116",101107,"rh","sps",2.399,1.29220139980316,"HCP_discovery",1.8565217468155,"sps d"
"117",101107,"rh","pos",2.597,1.43913960456848,"HCP_discovery",1.80455043538233,"POS d"
"118",101107,"rh","prcus-i",2.486,1.34143376350403,"HCP_discovery",1.85324096324084,"prcus-i d"
"119",101107,"lh","prculs",2.725,1.43275320529938,"HCP_discovery",1.9019325798197,"prculs d"
"120",101107,"rh","spls",3.118,1.36929535865784,"HCP_discovery",2.27708359652676,"spls d"
"121",101107,"lh","spls",2.853,1.32287359237671,"HCP_discovery",2.15666864652897,"spls d"
"122",107725,"lh","ifrms",2.942,1.28498673439026,"HCP_discovery",2.28951779910476,"ifrms d"
"123",107725,"lh","spls",2.477,1.28302299976349,"HCP_discovery",1.93059672387526,"spls d"
"124",107725,"rh","prcus-a",3.291,1.30059766769409,"HCP_discovery",2.53037513579031,"prcus-a d"
"125",107725,"rh","mcgs",2.176,1.31778919696808,"HCP_discovery",1.65125044658619,"MCGS d"
"126",107725,"rh","spls",2.681,1.29482066631317,"HCP_discovery",2.07055700434083,"spls d"
"127",107725,"rh","ifrms",3.17,1.33623194694519,"HCP_discovery",2.37234262153891,"ifrms d"
"128",107725,"rh","pos",2.443,1.43831431865692,"HCP_discovery",1.69851608115898,"POS d"
"129",107725,"lh","pos",2.26,1.37251961231232,"HCP_discovery",1.64660670763933,"POS d"
"130",107725,"rh","sspls",3.143,1.380658031,"HCP_discovery",2.27645074263867,"sspls d"
"131",107725,"rh","icgs-p",2.709,1.115262508,"HCP_discovery",2.42902453957504,"icgs-p d"
"132",107725,"rh","prcus-p",2.866,1.33079636096954,"HCP_discovery",2.15359771341124,"prcus-p d"
"133",107725,"rh","prculs",2.549,1.34848046302795,"HCP_discovery",1.89027581035645,"prculs d"
"134",107725,"rh","sps",2.252,1.31167852878571,"HCP_discovery",1.71688409208375,"sps d"
"135",107725,"rh","prcus-i",2.45,1.30683875083923,"HCP_discovery",1.87475310050812,"prcus-i d"
"136",107725,"lh","mcgs",2.14,1.30339515209198,"HCP_discovery",1.64186585822822,"MCGS d"
"137",107725,"lh","prcus-p",2.78,1.29962992668152,"HCP_discovery",2.13907047146757,"prcus-p d"
"138",107725,"lh","prculs",2.458,1.39541471004486,"HCP_discovery",1.76148350902864,"prculs d"
"139",107725,"lh","sspls",3.37,1.350530148,"HCP_discovery",2.49531638000872,"sspls d"
"140",107725,"lh","icgs-p",2.772,1.281939507,"HCP_discovery",2.16234852336133,"icgs-p d"
"141",107725,"lh","prcus-a",3.323,1.26534342765808,"HCP_discovery",2.62616450788405,"prcus-a d"
"142",107725,"lh","prcus-i",2.165,1.29702889919281,"HCP_discovery",1.6691995076959,"prcus-i d"
"143",107725,"lh","sps",2.025,1.3341646194458,"HCP_discovery",1.51780370314509,"sps d"
"144",109830,"lh","prcus-p",2.717,1.3195686340332,"HCP_discovery",2.05900620090947,"prcus-p d"
"145",109830,"lh","prculs",2.252,1.38957035541534,"HCP_discovery",1.62064482105829,"prculs d"
"146",109830,"lh","prcus-i",2.4,1.32651484012604,"HCP_discovery",1.80925228079014,"prcus-i d"
"147",109830,"lh","icgs-p",2.595,1.380102515,"HCP_discovery",1.8802951025707,"icgs-p d"
"148",109830,"rh","icgs-p",3.746,1.310273886,"HCP_discovery",2.85894425587293,"icgs-p d"
