,TRG_sub,hemi,label_name,network_name,dice_coeff
0,sub-MSC01,lh,sbps,Default_PMC,0.8821138211382114
0,sub-MSC01,rh,sbps,Default_PMC,0.7380660954712362
0,sub-MSC01,lh,sbps,Cing_Operc_PMC,0.01920768307322929
0,sub-MSC01,rh,sbps,Cing_Operc_PMC,0.0
0,sub-MSC01,lh,sbps,Context_PMC,0.0
0,sub-MSC01,rh,sbps,Context_PMC,0.0
0,sub-MSC01,lh,sbps,Fronto_Par_PMC,0.0
0,sub-MSC01,rh,sbps,Fronto_Par_PMC,0.23156089193825044
0,sub-MSC01,lh,sbps,Par_Memory_PMC,0.02867383512544803
0,sub-MSC01,rh,sbps,Par_Memory_PMC,0.10825688073394496
0,sub-MSC01,lh,sbps,Salience_PMC,0.0
0,sub-MSC01,rh,sbps,Salience_PMC,0.0
0,sub-MSC01,lh,2,Default_PMC,0.2033898305084746
0,sub-MSC01,rh,2,Default_PMC,0.9130434782608695
0,sub-MSC01,lh,2,Cing_Operc_PMC,0.0
0,sub-MSC01,rh,2,Cing_Operc_PMC,0.0
0,sub-MSC01,lh,2,Context_PMC,0.0
0,sub-MSC01,rh,2,Context_PMC,0.0
0,sub-MSC01,lh,2,Fronto_Par_PMC,0.0
0,sub-MSC01,rh,2,Fronto_Par_PMC,0.0
0,sub-MSC01,lh,2,Par_Memory_PMC,0.7674418604651163
0,sub-MSC01,rh,2,Par_Memory_PMC,0.0
0,sub-MSC01,lh,2,Salience_PMC,0.0
0,sub-MSC01,rh,2,Salience_PMC,0.0
0,sub-MSC02,lh,sbps,Default_PMC,0.8174644923724356
0,sub-MSC02,rh,sbps,Default_PMC,0.5518987341772152
0,sub-MSC02,lh,sbps,Cing_Operc_PMC,0.0
0,sub-MSC02,rh,sbps,Cing_Operc_PMC,0.0
0,sub-MSC02,lh,sbps,Context_PMC,0.03152364273204904
0,sub-MSC02,rh,sbps,Context_PMC,0.0
0,sub-MSC02,lh,sbps,Fronto_Par_PMC,0.3335804299481097
0,sub-MSC02,rh,sbps,Fronto_Par_PMC,0.5841584158415841
0,sub-MSC02,lh,sbps,Par_Memory_PMC,0.010619469026548672
0,sub-MSC02,rh,sbps,Par_Memory_PMC,0.013888888888888888
0,sub-MSC02,lh,sbps,Salience_PMC,0.0
0,sub-MSC02,rh,sbps,Salience_PMC,0.0
0,sub-MSC02,lh,2,Default_PMC,0.32558139534883723
0,sub-MSC02,rh,2,Default_PMC,0.0
0,sub-MSC02,lh,2,Cing_Operc_PMC,0.0
0,sub-MSC02,rh,2,Cing_Operc_PMC,0.0
0,sub-MSC02,lh,2,Context_PMC,0.0
0,sub-MSC02,rh,2,Context_PMC,0.0
0,sub-MSC02,lh,2,Fronto_Par_PMC,0.2
0,sub-MSC02,rh,2,Fronto_Par_PMC,0.8092485549132948
0,sub-MSC02,lh,2,Par_Memory_PMC,0.26506024096385544
0,sub-MSC02,rh,2,Par_Memory_PMC,0.12727272727272726
0,sub-MSC02,lh,2,Salience_PMC,0.0
0,sub-MSC02,rh,2,Salience_PMC,0.0
0,sub-MSC03,lh,sbps,Default_PMC,0.8867699642431466
0,sub-MSC03,rh,sbps,Default_PMC,0.2288329519450801
0,sub-MSC03,lh,sbps,Cing_Operc_PMC,0.0
0,sub-MSC03,rh,sbps,Cing_Operc_PMC,0.0
0,sub-MSC03,lh,sbps,Context_PMC,0.04602510460251046
0,sub-MSC03,rh,sbps,Context_PMC,0.7536231884057971
0,sub-MSC03,lh,sbps,Fronto_Par_PMC,0.0
0,sub-MSC03,rh,sbps,Fronto_Par_PMC,0.0
0,sub-MSC03,lh,sbps,Par_Memory_PMC,0.06625258799171843
0,sub-MSC03,rh,sbps,Par_Memory_PMC,0.045454545454545456
0,sub-MSC03,lh,sbps,Salience_PMC,0.0
0,sub-MSC03,rh,sbps,Salience_PMC,0.0
0,sub-MSC03,lh,2,Default_PMC,0.0
0,sub-MSC03,rh,2,Default_PMC,0.6436781609195402
0,sub-MSC03,lh,2,Cing_Operc_PMC,0.0
0,sub-MSC03,rh,2,Cing_Operc_PMC,0.0
0,sub-MSC03,lh,2,Context_PMC,0.0
0,sub-MSC03,rh,2,Context_PMC,0.0
0,sub-MSC03,lh,2,Fronto_Par_PMC,0.0
0,sub-MSC03,rh,2,Fronto_Par_PMC,0.3380281690140845
0,sub-MSC03,lh,2,Par_Memory_PMC,0.7872340425531915
0,sub-MSC03,rh,2,Par_Memory_PMC,0.0
0,sub-MSC03,lh,2,Salience_PMC,0.0
0,sub-MSC03,rh,2,Salience_PMC,0.0
0,sub-MSC04,lh,sbps,Default_PMC,0.9093298291721419
0,sub-MSC04,rh,sbps,Default_PMC,0.5863192182410424
0,sub-MSC04,lh,sbps,Cing_Operc_PMC,0.0
0,sub-MSC04,rh,sbps,Cing_Operc_PMC,0.0
0,sub-MSC04,lh,sbps,Context_PMC,0.05620608899297424
0,sub-MSC04,rh,sbps,Context_PMC,0.0
0,sub-MSC04,lh,sbps,Fronto_Par_PMC,0.047058823529411764
0,sub-MSC04,rh,sbps,Fronto_Par_PMC,0.30247718383311606
0,sub-MSC04,lh,sbps,Par_Memory_PMC,0.0
0,sub-MSC04,rh,sbps,Par_Memory_PMC,0.07396449704142012
0,sub-MSC04,lh,sbps,Salience_PMC,0.0
0,sub-MSC04,rh,sbps,Salience_PMC,0.0
0,sub-MSC04,lh,2,Default_PMC,0.0
0,sub-MSC04,rh,2,Default_PMC,0.0
0,sub-MSC04,lh,2,Cing_Operc_PMC,0.0
0,sub-MSC04,rh,2,Cing_Operc_PMC,0.0
0,sub-MSC04,lh,2,Context_PMC,0.28169014084507044
0,sub-MSC04,rh,2,Context_PMC,0.0
0,sub-MSC04,lh,2,Fronto_Par_PMC,0.0
0,sub-MSC04,rh,2,Fronto_Par_PMC,0.0
0,sub-MSC04,lh,2,Par_Memory_PMC,0.7157894736842105
0,sub-MSC04,rh,2,Par_Memory_PMC,0.9125
0,sub-MSC04,lh,2,Salience_PMC,0.0
0,sub-MSC04,rh,2,Salience_PMC,0.0
0,sub-MSC05,lh,sbps,Default_PMC,0.9535978480161399
0,sub-MSC05,rh,sbps,Default_PMC,0.9107438016528926
0,sub-MSC05,lh,sbps,Cing_Operc_PMC,0.0
0,sub-MSC05,rh,sbps,Cing_Operc_PMC,0.0
0,sub-MSC05,lh,sbps,Context_PMC,0.0
0,sub-MSC05,rh,sbps,Context_PMC,0.047407407407407405
0,sub-MSC05,lh,sbps,Fronto_Par_PMC,0.0
0,sub-MSC05,rh,sbps,Fronto_Par_PMC,0.0
0,sub-MSC05,lh,sbps,Par_Memory_PMC,0.0
0,sub-MSC05,rh,sbps,Par_Memory_PMC,0.11444921316165951
0,sub-MSC05,lh,sbps,Salience_PMC,0.0
0,sub-MSC05,rh,sbps,Salience_PMC,0.0
0,sub-MSC05,lh,2,Default_PMC,0.4857142857142857
0,sub-MSC05,rh,2,Default_PMC,0.0
0,sub-MSC05,lh,2,Cing_Operc_PMC,0.0
0,sub-MSC05,rh,2,Cing_Operc_PMC,0.0
0,sub-MSC05,lh,2,Context_PMC,0.0
0,sub-MSC05,rh,2,Context_PMC,0.0
0,sub-MSC05,lh,2,Fronto_Par_PMC,0.2184873949579832
0,sub-MSC05,rh,2,Fronto_Par_PMC,0.0
0,sub-MSC05,lh,2,Par_Memory_PMC,0.1724137931034483
0,sub-MSC05,rh,2,Par_Memory_PMC,0.9411764705882353
0,sub-MSC05,lh,2,Salience_PMC,0.0
0,sub-MSC05,rh,2,Salience_PMC,0.0
0,sub-MSC06,lh,sbps,Default_PMC,0.8140013726835964
0,sub-MSC06,rh,sbps,Default_PMC,0.9790518191841234
0,sub-MSC06,lh,sbps,Cing_Operc_PMC,0.0
0,sub-MSC06,rh,sbps,Cing_Operc_PMC,0.0
0,sub-MSC06,lh,sbps,Context_PMC,0.0
0,sub-MSC06,rh,sbps,Context_PMC,0.0
0,sub-MSC06,lh,sbps,Fronto_Par_PMC,0.1318918918918919
0,sub-MSC06,rh,sbps,Fronto_Par_PMC,0.0
0,sub-MSC06,lh,sbps,Par_Memory_PMC,0.06494960806270997
0,sub-MSC06,rh,sbps,Par_Memory_PMC,0.0
0,sub-MSC06,lh,sbps,Salience_PMC,0.0
0,sub-MSC06,rh,sbps,Salience_PMC,0.0
0,sub-MSC06,lh,2,Default_PMC,0.8586956521739131
0,sub-MSC06,rh,2,Default_PMC,0.8041237113402062
0,sub-MSC06,lh,2,Cing_Operc_PMC,0.0
0,sub-MSC06,rh,2,Cing_Operc_PMC,0.0
0,sub-MSC06,lh,2,Context_PMC,0.0
0,sub-MSC06,rh,2,Context_PMC,0.0
0,sub-MSC06,lh,2,Fronto_Par_PMC,0.0
0,sub-MSC06,rh,2,Fronto_Par_PMC,0.0
0,sub-MSC06,lh,2,Par_Memory_PMC,0.17391304347826086
0,sub-MSC06,rh,2,Par_Memory_PMC,0.15873015873015872
0,sub-MSC06,lh,2,Salience_PMC,0.0
0,sub-MSC06,rh,2,Salience_PMC,0.0
0,sub-MSC07,lh,sbps,Default_PMC,0.9949494949494949
0,sub-MSC07,rh,sbps,Default_PMC,0.9783631232361242
0,sub-MSC07,lh,sbps,Cing_Operc_PMC,0.0
0,sub-MSC07,rh,sbps,Cing_Operc_PMC,0.0
0,sub-MSC07,lh,sbps,Context_PMC,0.0
0,sub-MSC07,rh,sbps,Context_PMC,0.0
0,sub-MSC07,lh,sbps,Fronto_Par_PMC,0.0
0,sub-MSC07,rh,sbps,Fronto_Par_PMC,0.0
0,sub-MSC07,lh,sbps,Par_Memory_PMC,0.0
0,sub-MSC07,rh,sbps,Par_Memory_PMC,0.0
0,sub-MSC07,lh,sbps,Salience_PMC,0.0
0,sub-MSC07,rh,sbps,Salience_PMC,0.0
0,sub-MSC07,lh,2,Default_PMC,0.8
0,sub-MSC07,rh,2,Default_PMC,0.851063829787234
0,sub-MSC07,lh,2,Cing_Operc_PMC,0.0
0,sub-MSC07,rh,2,Cing_Operc_PMC,0.0
0,sub-MSC07,lh,2,Context_PMC,0.0
0,sub-MSC07,rh,2,Context_PMC,0.0
0,sub-MSC07,lh,2,Fronto_Par_PMC,0.0
0,sub-MSC07,rh,2,Fronto_Par_PMC,0.0
0,sub-MSC07,lh,2,Par_Memory_PMC,0.0
0,sub-MSC07,rh,2,Par_Memory_PMC,0.0
0,sub-MSC07,lh,2,Salience_PMC,0.0
0,sub-MSC07,rh,2,Salience_PMC,0.0
0,sub-MSC08,lh,sbps,Default_PMC,0.9877551020408163
0,sub-MSC08,rh,sbps,Default_PMC,0.9924190213645762
0,sub-MSC08,lh,sbps,Cing_Operc_PMC,0.0
0,sub-MSC08,rh,sbps,Cing_Operc_PMC,0.0
0,sub-MSC08,lh,sbps,Context_PMC,0.0
0,sub-MSC08,rh,sbps,Context_PMC,0.0
0,sub-MSC08,lh,sbps,Fronto_Par_PMC,0.0
0,sub-MSC08,rh,sbps,Fronto_Par_PMC,0.0
0,sub-MSC08,lh,sbps,Par_Memory_PMC,0.0
0,sub-MSC08,rh,sbps,Par_Memory_PMC,0.0
0,sub-MSC08,lh,sbps,Salience_PMC,0.0
0,sub-MSC08,rh,sbps,Salience_PMC,0.0
0,sub-MSC08,lh,2,Default_PMC,0.9456521739130435
0,sub-MSC08,rh,2,Default_PMC,0.989010989010989
0,sub-MSC08,lh,2,Cing_Operc_PMC,0.0
0,sub-MSC08,rh,2,Cing_Operc_PMC,0.0
0,sub-MSC08,lh,2,Context_PMC,0.0
0,sub-MSC08,rh,2,Context_PMC,0.0
0,sub-MSC08,lh,2,Fronto_Par_PMC,0.0
0,sub-MSC08,rh,2,Fronto_Par_PMC,0.0
0,sub-MSC08,lh,2,Par_Memory_PMC,0.0
0,sub-MSC08,rh,2,Par_Memory_PMC,0.0
0,sub-MSC08,lh,2,Salience_PMC,0.0
0,sub-MSC08,rh,2,Salience_PMC,0.0
0,sub-MSC09,lh,sbps,Default_PMC,0.8976009362200117
0,sub-MSC09,rh,sbps,Default_PMC,0.9648148148148148
0,sub-MSC09,lh,sbps,Cing_Operc_PMC,0.0
0,sub-MSC09,rh,sbps,Cing_Operc_PMC,0.0
0,sub-MSC09,lh,sbps,Context_PMC,0.016842105263157894
0,sub-MSC09,rh,sbps,Context_PMC,0.0
0,sub-MSC09,lh,sbps,Fronto_Par_PMC,0.11222444889779559
0,sub-MSC09,rh,sbps,Fronto_Par_PMC,0.0
0,sub-MSC09,lh,sbps,Par_Memory_PMC,0.0
0,sub-MSC09,rh,sbps,Par_Memory_PMC,0.024734982332155476
0,sub-MSC09,lh,sbps,Salience_PMC,0.0
0,sub-MSC09,rh,sbps,Salience_PMC,0.0
0,sub-MSC09,lh,2,Default_PMC,0.0
0,sub-MSC09,rh,2,Default_PMC,0.072992700729927
0,sub-MSC09,lh,2,Cing_Operc_PMC,0.0
0,sub-MSC09,rh,2,Cing_Operc_PMC,0.0
0,sub-MSC09,lh,2,Context_PMC,0.0
0,sub-MSC09,rh,2,Context_PMC,0.0
0,sub-MSC09,lh,2,Fronto_Par_PMC,0.7669172932330827
0,sub-MSC09,rh,2,Fronto_Par_PMC,0.7246376811594203
0,sub-MSC09,lh,2,Par_Memory_PMC,0.2553191489361702
0,sub-MSC09,rh,2,Par_Memory_PMC,0.044444444444444446
0,sub-MSC09,lh,2,Salience_PMC,0.0
0,sub-MSC09,rh,2,Salience_PMC,0.0
0,sub-MSC10,lh,sbps,Default_PMC,0.9893992932862191
0,sub-MSC10,rh,sbps,Default_PMC,0.928428093645485
0,sub-MSC10,lh,sbps,Cing_Operc_PMC,0.0
0,sub-MSC10,rh,sbps,Cing_Operc_PMC,0.0
0,sub-MSC10,lh,sbps,Context_PMC,0.0
0,sub-MSC10,rh,sbps,Context_PMC,0.05818181818181818
0,sub-MSC10,lh,sbps,Fronto_Par_PMC,0.0
0,sub-MSC10,rh,sbps,Fronto_Par_PMC,0.04395604395604396
0,sub-MSC10,lh,sbps,Par_Memory_PMC,0.0
0,sub-MSC10,rh,sbps,Par_Memory_PMC,0.0
0,sub-MSC10,lh,sbps,Salience_PMC,0.0
0,sub-MSC10,rh,sbps,Salience_PMC,0.0
0,sub-MSC10,lh,2,Default_PMC,0.6428571428571429
0,sub-MSC10,rh,2,Default_PMC,0.6486486486486487
0,sub-MSC10,lh,2,Cing_Operc_PMC,0.0
0,sub-MSC10,rh,2,Cing_Operc_PMC,0.0
0,sub-MSC10,lh,2,Context_PMC,0.0
0,sub-MSC10,rh,2,Context_PMC,0.0
0,sub-MSC10,lh,2,Fronto_Par_PMC,0.0
0,sub-MSC10,rh,2,Fronto_Par_PMC,0.0
