sub,hemi,label,total_surface_area_.mm.2.,cortical_thickness_mean,dataset,group,group_hemi,sulcal_depth_mm
002_S_0295,lh,ifrms,35,2.737,ADNI,older adult,oa lh,2.47429181328081
002_S_0295,lh,mcgs,794,2.099,ADNI,older adult,oa lh,14.210116259055
002_S_0295,lh,pos,819,2.213,ADNI,older adult,oa lh,21.3235558011914
002_S_0295,lh,prculs,335,2.102,ADNI,older adult,oa lh,14.7560212213279
002_S_0295,lh,prcus-a,483,1.987,ADNI,older adult,oa lh,12.9201975787777
002_S_0295,lh,prcus-i,429,2.106,ADNI,older adult,oa lh,11.9528355673496
002_S_0295,lh,prcus-p,209,2.486,ADNI,older adult,oa lh,4.92258408360352
002_S_0295,lh,spls,428,2.347,ADNI,older adult,oa lh,11.324389351721
002_S_0295,lh,sps,333,2.196,ADNI,older adult,oa lh,8.53896717621024
002_S_0295,lh,sspls,23,2.429,ADNI,older adult,oa lh,2.19313165660565
002_S_0295,rh,ifrms,32,2.365,ADNI,older adult,oa rh,0.539765932390986
002_S_0295,rh,mcgs,683,2.279,ADNI,older adult,oa rh,14.0071640076507
002_S_0295,rh,pos,917,2.508,ADNI,older adult,oa rh,22.2224467986574
002_S_0295,rh,prculs,561,1.967,ADNI,older adult,oa rh,16.8302030404389
002_S_0295,rh,prcus-a,249,2.419,ADNI,older adult,oa rh,7.12421247410562
002_S_0295,rh,prcus-i,472,1.95,ADNI,older adult,oa rh,12.2582705563622
002_S_0295,rh,prcus-p,236,2.197,ADNI,older adult,oa rh,5.78257340402899
002_S_0295,rh,spls,382,2.324,ADNI,older adult,oa rh,11.134947536926
002_S_0295,rh,sps,794,2.24,ADNI,older adult,oa rh,16.2374319875213
002_S_0295,rh,sspls,75,2.383,ADNI,older adult,oa rh,1.48832141882394
002_S_0413,lh,icgs-p,34,2.914,ADNI,older adult,oa lh,6.19837660143879
002_S_0413,lh,ifrms,29,2.254,ADNI,older adult,oa lh,3.56748391278484
002_S_0413,lh,mcgs,722,2.01,ADNI,older adult,oa lh,15.5641071219751
002_S_0413,lh,pos,964,2.016,ADNI,older adult,oa lh,20.5599293638388
002_S_0413,lh,prculs,224,2.665,ADNI,older adult,oa lh,13.9204093677454
002_S_0413,lh,prcus-a,126,2.872,ADNI,older adult,oa lh,2.47338326163633
002_S_0413,lh,prcus-i,327,1.798,ADNI,older adult,oa lh,12.3708058656356
002_S_0413,lh,prcus-p,79,2.53,ADNI,older adult,oa lh,3.71870331256368
002_S_0413,lh,spls,574,2.51,ADNI,older adult,oa lh,14.3707497031061
002_S_0413,lh,sps,855,2.178,ADNI,older adult,oa lh,14.334177582792
002_S_0413,lh,sspls,16,3.059,ADNI,older adult,oa lh,2.30877422460847
002_S_0413,rh,ifrms,55,2.941,ADNI,older adult,oa rh,7.52784746885384
002_S_0413,rh,mcgs,771,2.136,ADNI,older adult,oa rh,14.1970965026467
002_S_0413,rh,pos,980,2.236,ADNI,older adult,oa rh,18.1380743855157
002_S_0413,rh,prculs,422,2.126,ADNI,older adult,oa rh,12.6495944563582
002_S_0413,rh,prcus-a,260,2.324,ADNI,older adult,oa rh,6.70404775232599
002_S_0413,rh,prcus-i,35,2.914,ADNI,older adult,oa rh,0.740840073437573
002_S_0413,rh,prcus-p,303,1.811,ADNI,older adult,oa rh,8.28227597938591
002_S_0413,rh,spls,478,2.486,ADNI,older adult,oa rh,9.47087297661097
002_S_0413,rh,sps,197,2.685,ADNI,older adult,oa rh,4.16692474140733
002_S_0559,lh,ifrms,54,3.25,ADNI,older adult,oa lh,3.45872300462494
002_S_0559,lh,mcgs,1193,1.833,ADNI,older adult,oa lh,18.961280017461
002_S_0559,lh,pos,913,1.809,ADNI,older adult,oa lh,24.8012721589347
002_S_0559,lh,prculs,459,1.672,ADNI,older adult,oa lh,17.4747528302614
002_S_0559,lh,prcus-a,68,2.094,ADNI,older adult,oa lh,5.06804636850709
002_S_0559,lh,prcus-i,153,1.921,ADNI,older adult,oa lh,10.0858928564506
002_S_0559,lh,prcus-p,212,1.935,ADNI,older adult,oa lh,9.96575076114543
002_S_0559,lh,spls,545,2.336,ADNI,older adult,oa lh,13.8138671835546
002_S_0559,lh,sps,288,1.618,ADNI,older adult,oa lh,9.53301488415283
002_S_0559,lh,sspls,26,3.298,ADNI,older adult,oa lh,3.28064832606668
002_S_0559,rh,icgs-p,12,4.004,ADNI,older adult,oa rh,1.2231439786711
002_S_0559,rh,ifrms,53,3.555,ADNI,older adult,oa rh,2.25246298773239
002_S_0559,rh,mcgs,897,1.977,ADNI,older adult,oa rh,15.8735702567827
002_S_0559,rh,pos,970,2.071,ADNI,older adult,oa rh,24.1094539066825
002_S_0559,rh,prculs,259,1.635,ADNI,older adult,oa rh,13.6487545434288
002_S_0559,rh,prcus-a,329,1.852,ADNI,older adult,oa rh,9.67064368790979
002_S_0559,rh,prcus-i,497,1.818,ADNI,older adult,oa rh,10.5544670248346
002_S_0559,rh,prcus-p,150,1.909,ADNI,older adult,oa rh,8.2904484096239
002_S_0559,rh,spls,454,2.235,ADNI,older adult,oa rh,12.9859071073837
002_S_0685,lh,ifrms,49,2.971,ADNI,older adult,oa lh,3.1024578499192
002_S_0685,lh,mcgs,719,2.057,ADNI,older adult,oa lh,16.417271929339
002_S_0685,lh,pos,747,2.129,ADNI,older adult,oa lh,19.4579653387138
002_S_0685,lh,prculs,464,1.923,ADNI,older adult,oa lh,16.6478160766342
002_S_0685,lh,prcus-a,93,2.005,ADNI,older adult,oa lh,6.0547224868218
002_S_0685,lh,prcus-i,99,2.947,ADNI,older adult,oa lh,3.28731626876354
002_S_0685,lh,prcus-p,93,1.965,ADNI,older adult,oa lh,7.66028846809395
002_S_0685,lh,spls,409,2.489,ADNI,older adult,oa lh,9.24195613628777
002_S_0685,lh,sps,696,1.942,ADNI,older adult,oa lh,12.9414933130881
002_S_0685,rh,ifrms,33,3.367,ADNI,older adult,oa rh,0.958240135132074
002_S_0685,rh,mcgs,932,1.881,ADNI,older adult,oa rh,13.919453016307
