species,age_species,hemisphere,age_group,Amount,Total,percent
human,young_human,lh,young,72,64_64,50
human,young_human,rh,young,72,64_64,50
human,young_adult_human,lh,young_adult,72,36_36,50
human,young_adult_human,rh,young_adult,72,36_36,50
human,older_adult_human,lh,older_adult,72,36_36,50
human,older_adult_human,rh,older_adult,72,36_36,50
chimpanzee,young_chimp,lh,young,14,14_32,21.88
chimpanzee,young_chimp,rh,young,14,14_32,21.88
chimpanzee,young_adult_chimp,lh,young,9,9_18,25
chimpanzee,young_adult_chimp,rh,young,10,10_18,27.78
chimpanzee,older_adult_chimp,lh,older_adult,5,5_7,35.71
chimpanzee,older_adult_chimp,rh,older_adult,3,3_7,21.43
human,young_human,total,young,144,144_144,100
human,young_adult_human,total,young_adult,144,144_144,100
human,older_adult_human,total,older_adult,144,144_144,100
chimpanzee,young_chimp,total,young,64,28_64,43.74
chimpanzee,young_adult_chimp,total,young_adult,36,19_36,52.78
chimpanzee,older_adult_chimp,total,older_adult,14,8_14,57.14
human,young_human,none,young,0,0_144,0
human,young_adult_human,none,young_adult,0,0_144,0
human,older_adult_human,none,older_adult,0,0_144,0
chimpanzee,young_chimp,none,young,36,36_64,56.24
chimpanzee,young_adult_chimp,none,young_adult,17,17_36,47.22
chimpanzee,older_adult_chimp,none,older_adult,6,6_14,42.86
