"","sub","sulci","dice","method","type"
"1",100206,"prculs",0.651649236,"CNN","prominent sulci"
"2",100307,"prculs",0.743914314,"CNN","prominent sulci"
"3",100408,"prculs",0.556982343,"CNN","prominent sulci"
"4",100610,"prculs",0,"CNN","prominent sulci"
"5",101006,"prculs",0.793786824,"CNN","prominent sulci"
"6",101107,"prculs",0.199535963,"CNN","prominent sulci"
"7",101309,"prculs",0.868578256,"CNN","prominent sulci"
"8",101410,"prculs",0.680299932,"CNN","prominent sulci"
"9",101915,"prculs",0.748778104,"CNN","prominent sulci"
"10",102008,"prculs",0.71714922,"CNN","prominent sulci"
"11",102311,"prculs",0.726775956,"CNN","prominent sulci"
"12",102513,"prculs",0.563803979,"CNN","prominent sulci"
"13",102816,"prculs",0.83657917,"CNN","prominent sulci"
"14",103111,"prculs",0.903928064,"CNN","prominent sulci"
"15",103414,"prculs",0.921587609,"CNN","prominent sulci"
"16",103515,"prculs",0.645296167,"CNN","prominent sulci"
"17",103818,"prculs",0.816666667,"CNN","prominent sulci"
"18",104012,"prculs",0.821650399,"CNN","prominent sulci"
"19",104416,"prculs",0.072124756,"CNN","prominent sulci"
"20",104820,"prculs",0.544069641,"CNN","prominent sulci"
"21",105014,"prculs",0.769556025,"CNN","prominent sulci"
"22",105115,"prculs",0.743283582,"CNN","prominent sulci"
"23",105216,"prculs",0.621082621,"CNN","prominent sulci"
"24",105620,"prculs",0.006578947,"CNN","prominent sulci"
"25",105923,"prculs",0.776637727,"CNN","prominent sulci"
"26",106016,"prculs",0.871684588,"CNN","prominent sulci"
"27",106319,"prculs",0.743429287,"CNN","prominent sulci"
"28",106521,"prculs",0.778335005,"CNN","prominent sulci"
"29",107018,"prculs",0.925839188,"CNN","prominent sulci"
"30",107220,"prculs",0.639545885,"CNN","prominent sulci"
"31",107321,"prculs",0.911966988,"CNN","prominent sulci"
"32",107422,"prculs",0.7852194,"CNN","prominent sulci"
"33",107725,"prculs",0.9218107,"CNN","prominent sulci"
"34",108121,"prculs",0.719817768,"CNN","prominent sulci"
"35",108222,"prculs",0.784172662,"CNN","prominent sulci"
"36",108323,"prculs",0.794146341,"CNN","prominent sulci"
"37",108525,"prculs",0.840735069,"CNN","prominent sulci"
"38",108828,"prculs",0.752,"CNN","prominent sulci"
"39",109123,"prculs",0.885526979,"CNN","prominent sulci"
"40",109325,"prculs",0.031527094,"CNN","prominent sulci"
"41",109830,"prculs",0.888619855,"CNN","prominent sulci"
"42",110007,"prculs",0.815181518,"CNN","prominent sulci"
"43",110411,"prculs",0.650406504,"CNN","prominent sulci"
"44",110613,"prculs",0.777674419,"CNN","prominent sulci"
"45",112920,"prculs",0.870853081,"CNN","prominent sulci"
"46",114924,"prculs",0,"CNN","prominent sulci"
"47",128127,"prculs",0,"CNN","prominent sulci"
"48",133928,"prculs",0.830313015,"CNN","prominent sulci"
"49",144125,"prculs",0.740046838,"CNN","prominent sulci"
"50",146937,"prculs",0.721912351,"CNN","prominent sulci"
"51",151425,"prculs",0.898075552,"CNN","prominent sulci"
"52",151829,"prculs",0.879396985,"CNN","prominent sulci"
"53",164939,"prculs",0.748603352,"CNN","prominent sulci"
"54",176744,"prculs",0.545454545,"CNN","prominent sulci"
"55",180937,"prculs",0.094292804,"CNN","prominent sulci"
"56",185947,"prculs",0.852567642,"CNN","prominent sulci"
"57",214019,"prculs",0,"CNN","prominent sulci"
"58",268749,"prculs",0.86863711,"CNN","prominent sulci"
"59",365343,"prculs",0.864661654,"CNN","prominent sulci"
"60",380036,"prculs",0.106212425,"CNN","prominent sulci"
"61",517239,"prculs",0,"CNN","prominent sulci"
"62",522434,"prculs",0.866111467,"CNN","prominent sulci"
"63",531536,"prculs",0.382795699,"CNN","prominent sulci"
"64",566454,"prculs",0.576886342,"CNN","prominent sulci"
"65",585256,"prculs",0.20228385,"CNN","prominent sulci"
"66",622236,"prculs",0.88139987,"CNN","prominent sulci"
"67",644044,"prculs",0,"CNN","prominent sulci"
"68",679770,"prculs",0.783599089,"CNN","prominent sulci"
"69",687163,"prculs",0.826115061,"CNN","prominent sulci"
"70",867468,"prculs",0.850299401,"CNN","prominent sulci"
"71",910241,"prculs",0.674259681,"CNN","prominent sulci"
"72",959574,"prculs",0.865373961,"CNN","prominent sulci"
"73",100206,"prcus-p",0.876884422,"CNN","less prominent sulci"
"74",100307,"prcus-p",0,"CNN","less prominent sulci"
"75",100408,"prcus-p",0,"CNN","less prominent sulci"
"76",100610,"prcus-p",0.83373494,"CNN","less prominent sulci"
"77",101006,"prcus-p",0,"CNN","less prominent sulci"
"78",101107,"prcus-p",0.800899888,"CNN","less prominent sulci"
"79",101309,"prcus-p",0,"CNN","less prominent sulci"
"80",101410,"prcus-p",0,"CNN","less prominent sulci"
"81",101915,"prcus-p",0.825355757,"CNN","less prominent sulci"
"82",102008,"prcus-p",0.219178082,"CNN","less prominent sulci"
"83",102311,"prcus-p",0.908482143,"CNN","less prominent sulci"
"84",102513,"prcus-p",0,"CNN","less prominent sulci"
