"","TRG_sub","hemi","label_name","network_name","dice_coeff","dataset"
"1",100206,"lh","prcus-p","Auditory",0,"HCP_discovery"
"2",100206,"rh","prcus-p","Auditory",0,"HCP_discovery"
"3",100206,"lh","prcus-p","ControlA",0,"HCP_discovery"
"4",100206,"rh","prcus-p","ControlA",0,"HCP_discovery"
"5",100206,"lh","prcus-p","ControlB",0.190677966101695,"HCP_discovery"
"6",100206,"rh","prcus-p","ControlB",0,"HCP_discovery"
"7",100206,"lh","prcus-p","ControlC",0.032258064516129,"HCP_discovery"
"8",100206,"rh","prcus-p","ControlC",0,"HCP_discovery"
"9",100206,"lh","prcus-p","DefaultA",0.935162094763092,"HCP_discovery"
"10",100206,"rh","prcus-p","DefaultA",1,"HCP_discovery"
"11",100206,"lh","prcus-p","DefaultB",0,"HCP_discovery"
"12",100206,"rh","prcus-p","DefaultB",0,"HCP_discovery"
"13",100206,"lh","prcus-p","DefaultC",0,"HCP_discovery"
"14",100206,"rh","prcus-p","DefaultC",0,"HCP_discovery"
"15",100206,"lh","prcus-p","DorsAttnA",0,"HCP_discovery"
"16",100206,"rh","prcus-p","DorsAttnA",0,"HCP_discovery"
"17",100206,"lh","prcus-p","DorsalAttentionB",0,"HCP_discovery"
"18",100206,"rh","prcus-p","DorsalAttentionB",0,"HCP_discovery"
"19",100206,"lh","prcus-p","SomMotorA",0,"HCP_discovery"
"20",100206,"rh","prcus-p","SomMotorA",0,"HCP_discovery"
"21",100206,"lh","prcus-p","SomatomotorB",0,"HCP_discovery"
"22",100206,"rh","prcus-p","SomatomotorB",0,"HCP_discovery"
"23",100206,"lh","prcus-p","TemporalParietal",0,"HCP_discovery"
"24",100206,"rh","prcus-p","TemporalParietal",0,"HCP_discovery"
"25",100206,"lh","prcus-p","VenAttnA",0,"HCP_discovery"
"26",100206,"rh","prcus-p","VenAttnA",0,"HCP_discovery"
"27",100206,"lh","prcus-p","VenAttnB",0,"HCP_discovery"
"28",100206,"rh","prcus-p","VenAttnB",0,"HCP_discovery"
"29",100206,"lh","prcus-p","VisualA",0,"HCP_discovery"
"30",100206,"rh","prcus-p","VisualA",0,"HCP_discovery"
