,sub,hemi,label,r2_mean,r2_max,r2_mean_thresh10,r2_max_thresh10
0,999999,lh,lh.HCP_LPC_PROB_MPM_binary_0.20_STS.label,4.0532975,20.813393,12.644343,20.813393
0,999999,lh,lh.HCP_LPC_PROB_MPM_binary_0.20_cSTS3.label,26.138807,61.487816,32.618954,61.487816
0,999999,lh,lh.HCP_LPC_PROB_MPM_binary_0.20_cSTS2.label,7.7399354,12.773127,11.331684,12.773127
0,999999,lh,lh.HCP_LPC_PROB_MPM_binary_0.20_cSTS1.label,6.323939,14.909321,11.270755,14.909321
0,999999,lh,lh.HCP_LPC_PROB_MPM_binary_0.20_SmgS.label,9.280764,18.134773,12.905291,18.134773
0,999999,lh,lh.HCP_LPC_PROB_MPM_binary_0.20_SLOS.label,12.30626,41.730415,19.286148,41.730415
0,999999,lh,lh.HCP_LPC_PROB_MPM_binary_0.20_iTOS.label,57.367226,67.06365,57.367226,67.06365
0,999999,lh,lh.HCP_LPC_PROB_MPM_binary_0.20_mTOS.label,56.606487,77.42117,56.606487,77.42117
0,999999,lh,lh.HCP_LPC_PROB_MPM_binary_0.20_IPS-PO.label,44.930897,62.320923,44.930897,62.320923
0,999999,lh,lh.HCP_LPC_PROB_MPM_binary_0.20_pips.label,21.916756,39.54313,25.826109,39.54313
0,999999,lh,lh.HCP_LPC_PROB_MPM_binary_0.20_sB.label,29.106085,46.692318,29.106085,46.692318
0,999999,lh,lh.HCP_LPC_PROB_MPM_binary_0.20_IPS.label,31.74905,53.289806,33.305363,53.289806
0,999999,lh,lh.HCP_LPC_PROB_MPM_binary_0.20_SPS.label,44.60647,52.80323,44.60647,52.80323
0,999999,rh,rh.HCP_LPC_PROB_MPM_binary_0.20_STS.label,3.2429457,15.953291,12.13328,15.953291
0,999999,rh,rh.HCP_LPC_PROB_MPM_binary_0.20_cSTS3.label,22.15167,60.941196,30.84166,60.941196
0,999999,rh,rh.HCP_LPC_PROB_MPM_binary_0.20_cSTS2.label,3.2074857,14.149994,12.27789,14.149994
0,999999,rh,rh.HCP_LPC_PROB_MPM_binary_0.20_cSTS1.label,9.340606,28.934788,18.868982,28.934788
0,999999,rh,rh.HCP_LPC_PROB_MPM_binary_0.20_SmgS.label,26.178139,39.353245,26.338203,39.353245
0,999999,rh,rh.HCP_LPC_PROB_MPM_binary_0.20_SLOS.label,19.751879,44.232536,21.166065,44.232536
0,999999,rh,rh.HCP_LPC_PROB_MPM_binary_0.20_iTOS.label,63.82077,72.93322,63.82077,72.93322
0,999999,rh,rh.HCP_LPC_PROB_MPM_binary_0.20_mTOS.label,62.486347,79.60896,62.486347,79.60896
0,999999,rh,rh.HCP_LPC_PROB_MPM_binary_0.20_IPS-PO.label,48.947605,67.66929,48.947605,67.66929
0,999999,rh,rh.HCP_LPC_PROB_MPM_binary_0.20_pips.label,21.16351,37.462246,21.238287,37.462246
0,999999,rh,rh.HCP_LPC_PROB_MPM_binary_0.20_sB.label,37.257763,54.97485,37.257763,54.97485
0,999999,rh,rh.HCP_LPC_PROB_MPM_binary_0.20_IPS.label,37.622368,58.631878,38.1303,58.631878
0,999999,rh,rh.HCP_LPC_PROB_MPM_binary_0.20_SPS.label,49.786953,58.643085,49.786953,58.643085
