,sub,hemi,label_name,network_name,dice_coeff
0,100206,lh,STS,Auditory,0.30744261534894507
0,100206,rh,STS,Auditory,0.541501976284585
0,100206,lh,STS,ControlA,0.0
0,100206,rh,STS,ControlA,0.0
0,100206,lh,STS,ControlB,0.0708245243128964
0,100206,rh,STS,ControlB,0.054481546572934976
0,100206,lh,STS,ControlC,0.02007051803634391
0,100206,rh,STS,ControlC,0.10228571428571429
0,100206,lh,STS,DefaultA,0.25941821649976154
0,100206,rh,STS,DefaultA,0.17477328936521022
0,100206,lh,STS,DefaultB,0.3442957586754366
0,100206,rh,STS,DefaultB,0.2391304347826087
0,100206,lh,STS,DefaultC,0.0
0,100206,rh,STS,DefaultC,0.052770448548812667
0,100206,lh,STS,DorsalAttentionA,0.0
0,100206,rh,STS,DorsalAttentionA,0.0
0,100206,lh,STS,DorsalAttentionB,0.0
0,100206,rh,STS,DorsalAttentionB,0.0
0,100206,lh,STS,SomatomotorA,0.0
0,100206,rh,STS,SomatomotorA,0.0
0,100206,lh,STS,SomatomotorB,0.0
0,100206,rh,STS,SomatomotorB,0.0
0,100206,lh,STS,TemporalParietal,0.5694689398393102
0,100206,rh,STS,TemporalParietal,0.30690797858781543
0,100206,lh,STS,VentralAttentionA,0.02542602109818772
0,100206,rh,STS,VentralAttentionA,0.0
0,100206,lh,STS,VentralAttentionB,0.007098007098007098
0,100206,rh,STS,VentralAttentionB,0.19314472252448314
0,100206,lh,STS,VisualA,0.0
0,100206,rh,STS,VisualA,0.0
0,100206,lh,STS,VisualB,0.0
0,100206,rh,STS,VisualB,0.0
0,100206,lh,STS,VisualC,0.0
0,100206,rh,STS,VisualC,0.0
0,100206,lh,cSTS1,Auditory,0.0
0,100206,rh,cSTS1,Auditory,0.21565217391304348
0,100206,lh,cSTS1,ControlA,0.0
0,100206,rh,cSTS1,ControlA,0.0
0,100206,lh,cSTS1,ControlB,0.6662468513853904
0,100206,rh,cSTS1,ControlB,0.1070110701107011
0,100206,lh,cSTS1,ControlC,0.2216624685138539
0,100206,rh,cSTS1,ControlC,0.0
0,100206,lh,cSTS1,DefaultA,0.047926267281105994
0,100206,rh,cSTS1,DefaultA,0.3143483023001095
0,100206,lh,cSTS1,DefaultB,0.16623376623376623
0,100206,rh,cSTS1,DefaultB,0.4978038067349927
0,100206,lh,cSTS1,DefaultC,0.21717171717171718
0,100206,rh,cSTS1,DefaultC,0.27948574622694244
0,100206,lh,cSTS1,DorsalAttentionA,0.0
0,100206,rh,cSTS1,DorsalAttentionA,0.0
0,100206,lh,cSTS1,DorsalAttentionB,0.0
0,100206,rh,cSTS1,DorsalAttentionB,0.0
0,100206,lh,cSTS1,SomatomotorA,0.0
0,100206,rh,cSTS1,SomatomotorA,0.0
0,100206,lh,cSTS1,SomatomotorB,0.0
0,100206,rh,cSTS1,SomatomotorB,0.0
0,100206,lh,cSTS1,TemporalParietal,0.14535901926444833
0,100206,rh,cSTS1,TemporalParietal,0.1
0,100206,lh,cSTS1,VentralAttentionA,0.0
0,100206,rh,cSTS1,VentralAttentionA,0.16457960644007155
0,100206,lh,cSTS1,VentralAttentionB,0.11229946524064172
0,100206,rh,cSTS1,VentralAttentionB,0.0
0,100206,lh,cSTS1,VisualA,0.0
0,100206,rh,cSTS1,VisualA,0.0
0,100206,lh,cSTS1,VisualB,0.0
0,100206,rh,cSTS1,VisualB,0.0
0,100206,lh,cSTS1,VisualC,0.0
0,100206,rh,cSTS1,VisualC,0.0
0,100206,lh,cSTS2,Auditory,0.2547864506627393
0,100206,rh,cSTS2,Auditory,0.0
0,100206,lh,cSTS2,ControlA,0.0
0,100206,rh,cSTS2,ControlA,0.0
0,100206,lh,cSTS2,ControlB,0.00672834314550042
0,100206,rh,cSTS2,ControlB,0.3394308943089431
0,100206,lh,cSTS2,ControlC,0.0
0,100206,rh,cSTS2,ControlC,0.0
0,100206,lh,cSTS2,DefaultA,0.10702875399361023
0,100206,rh,cSTS2,DefaultA,0.5704286964129484
0,100206,lh,cSTS2,DefaultB,0.6549375709421112
0,100206,rh,cSTS2,DefaultB,0.42430086788813887
0,100206,lh,cSTS2,DefaultC,0.0
0,100206,rh,cSTS2,DefaultC,0.2258414766558089
0,100206,lh,cSTS2,DorsalAttentionA,0.0
0,100206,rh,cSTS2,DorsalAttentionA,0.0
0,100206,lh,cSTS2,DorsalAttentionB,0.0
0,100206,rh,cSTS2,DorsalAttentionB,0.0
0,100206,lh,cSTS2,SomatomotorA,0.0
0,100206,rh,cSTS2,SomatomotorA,0.0
0,100206,lh,cSTS2,SomatomotorB,0.0
0,100206,rh,cSTS2,SomatomotorB,0.0
0,100206,lh,cSTS2,TemporalParietal,0.45300261096605743
0,100206,rh,cSTS2,TemporalParietal,0.0
0,100206,lh,cSTS2,VentralAttentionA,0.003369839932603201
0,100206,rh,cSTS2,VentralAttentionA,0.0
0,100206,lh,cSTS2,VentralAttentionB,0.025
0,100206,rh,cSTS2,VentralAttentionB,0.0
0,100206,lh,cSTS2,VisualA,0.0
0,100206,rh,cSTS2,VisualA,0.0
0,100206,lh,cSTS2,VisualB,0.0
0,100206,rh,cSTS2,VisualB,0.0
0,100206,lh,cSTS2,VisualC,0.0
0,100206,rh,cSTS2,VisualC,0.0
0,100206,lh,cSTS3,Auditory,0.1572052401746725
0,100206,rh,cSTS3,Auditory,0.0
0,100206,lh,cSTS3,ControlA,0.0
0,100206,rh,cSTS3,ControlA,0.0
0,100206,lh,cSTS3,ControlB,0.0
0,100206,rh,cSTS3,ControlB,0.0
0,100206,lh,cSTS3,ControlC,0.0
0,100206,rh,cSTS3,ControlC,0.0
0,100206,lh,cSTS3,DefaultA,0.6194111232279171
0,100206,rh,cSTS3,DefaultA,0.6033630069238378
0,100206,lh,cSTS3,DefaultB,0.10479041916167664
0,100206,rh,cSTS3,DefaultB,0.0
0,100206,lh,cSTS3,DefaultC,0.5017751479289941
0,100206,rh,cSTS3,DefaultC,0.2546353522867738
0,100206,lh,cSTS3,DorsalAttentionA,0.0
0,100206,rh,cSTS3,DorsalAttentionA,0.07629427792915532
0,100206,lh,cSTS3,DorsalAttentionB,0.0
0,100206,rh,cSTS3,DorsalAttentionB,0.0
