,sub,hemi,label_name,network_name,dice_coeff
0,100206,lh,SLOS2_fsavg,L_PGp_ROI,0
0,100206,lh,SLOS2_fsavg,L_LO3_ROI,0
0,100206,lh,SLOS2_fsavg,L_TPOJ1_ROI,0
0,100206,lh,SLOS2_fsavg,L_TPOJ2_ROI,0
0,100206,lh,SLOS2_fsavg,L_TPOJ3_ROI,0
0,100206,lh,SLOS2_fsavg,L_PGi_ROI,0
0,100206,lh,SLOS2_fsavg,L_PGs_ROI,1.0
0,100206,lh,SLOS2_fsavg,L_STV_ROI,0
0,100206,lh,SLOS2_fsavg,L_PFm_ROI,0
0,100206,lh,SLOS2_fsavg,L_IP0_ROI,0
0,100307,lh,SLOS2_fsavg,L_PGp_ROI,0.9076305220883534
0,100307,lh,SLOS2_fsavg,L_LO3_ROI,0.08450704225352113
0,100307,lh,SLOS2_fsavg,L_TPOJ1_ROI,0
0,100307,lh,SLOS2_fsavg,L_TPOJ2_ROI,0
0,100307,lh,SLOS2_fsavg,L_TPOJ3_ROI,0.2222222222222222
0,100307,lh,SLOS2_fsavg,L_PGi_ROI,0
0,100307,lh,SLOS2_fsavg,L_PGs_ROI,0
0,100307,lh,SLOS2_fsavg,L_STV_ROI,0
0,100307,lh,SLOS2_fsavg,L_PFm_ROI,0
0,100307,lh,SLOS2_fsavg,L_IP0_ROI,0
0,100408,lh,SLOS2_fsavg,L_PGp_ROI,0
0,100408,lh,SLOS2_fsavg,L_LO3_ROI,0
0,100408,lh,SLOS2_fsavg,L_TPOJ1_ROI,0
0,100408,lh,SLOS2_fsavg,L_TPOJ2_ROI,0
0,100408,lh,SLOS2_fsavg,L_TPOJ3_ROI,0
0,100408,lh,SLOS2_fsavg,L_PGi_ROI,0
0,100408,lh,SLOS2_fsavg,L_PGs_ROI,1.0
0,100408,lh,SLOS2_fsavg,L_STV_ROI,0
0,100408,lh,SLOS2_fsavg,L_PFm_ROI,0
0,100408,lh,SLOS2_fsavg,L_IP0_ROI,0
0,100610,lh,SLOS2_fsavg,L_PGp_ROI,0.569811320754717
0,100610,lh,SLOS2_fsavg,L_LO3_ROI,0
0,100610,lh,SLOS2_fsavg,L_TPOJ1_ROI,0
0,100610,lh,SLOS2_fsavg,L_TPOJ2_ROI,0
0,100610,lh,SLOS2_fsavg,L_TPOJ3_ROI,0
0,100610,lh,SLOS2_fsavg,L_PGi_ROI,0
0,100610,lh,SLOS2_fsavg,L_PGs_ROI,0.7512355848434926
0,100610,lh,SLOS2_fsavg,L_STV_ROI,0
0,100610,lh,SLOS2_fsavg,L_PFm_ROI,0
0,100610,lh,SLOS2_fsavg,L_IP0_ROI,0
0,101006,lh,SLOS2_fsavg,L_PGp_ROI,0
0,101006,lh,SLOS2_fsavg,L_LO3_ROI,0
0,101006,lh,SLOS2_fsavg,L_TPOJ1_ROI,0
0,101006,lh,SLOS2_fsavg,L_TPOJ2_ROI,0
0,101006,lh,SLOS2_fsavg,L_TPOJ3_ROI,0
0,101006,lh,SLOS2_fsavg,L_PGi_ROI,0
0,101006,lh,SLOS2_fsavg,L_PGs_ROI,1.0
0,101006,lh,SLOS2_fsavg,L_STV_ROI,0
0,101006,lh,SLOS2_fsavg,L_PFm_ROI,0
0,101006,lh,SLOS2_fsavg,L_IP0_ROI,0
0,101107,lh,SLOS2_fsavg,L_PGp_ROI,0
0,101107,lh,SLOS2_fsavg,L_LO3_ROI,0
0,101107,lh,SLOS2_fsavg,L_TPOJ1_ROI,0
0,101107,lh,SLOS2_fsavg,L_TPOJ2_ROI,0
0,101107,lh,SLOS2_fsavg,L_TPOJ3_ROI,0
0,101107,lh,SLOS2_fsavg,L_PGi_ROI,0
0,101107,lh,SLOS2_fsavg,L_PGs_ROI,1.0
0,101107,lh,SLOS2_fsavg,L_STV_ROI,0
0,101107,lh,SLOS2_fsavg,L_PFm_ROI,0
0,101107,lh,SLOS2_fsavg,L_IP0_ROI,0
0,180937,lh,SLOS2_fsavg,L_PGp_ROI,0.453125
0,180937,lh,SLOS2_fsavg,L_LO3_ROI,0
0,180937,lh,SLOS2_fsavg,L_TPOJ1_ROI,0
0,180937,lh,SLOS2_fsavg,L_TPOJ2_ROI,0
0,180937,lh,SLOS2_fsavg,L_TPOJ3_ROI,0
0,180937,lh,SLOS2_fsavg,L_PGi_ROI,0
0,180937,lh,SLOS2_fsavg,L_PGs_ROI,0.8284023668639053
0,180937,lh,SLOS2_fsavg,L_STV_ROI,0
0,180937,lh,SLOS2_fsavg,L_PFm_ROI,0
