,sub,hemi,label_name,network_name,dice_coeff
0,100206,lh,SLOS2,Auditory,0
0,100206,lh,SLOS2,ControlA,0
0,100206,lh,SLOS2,ControlB,0.25
0,100206,lh,SLOS2,ControlC,0
0,100206,lh,SLOS2,DefaultA,0.898876404494382
0,100206,lh,SLOS2,DefaultB,0
0,100206,lh,SLOS2,DefaultC,0.0784313725490196
0,100206,lh,SLOS2,DorsalAttentionA,0
0,100206,lh,SLOS2,DorsalAttentionB,0
0,100206,lh,SLOS2,SomatomotorA,0
0,100206,lh,SLOS2,SomatomotorB,0
0,100206,lh,SLOS2,TemporalParietal,0
0,100206,lh,SLOS2,VentralAttentionA,0
0,100206,lh,SLOS2,VentralAttentionB,0
0,100206,lh,SLOS2,VisualA,0
0,100206,lh,SLOS2,VisualB,0
0,100206,lh,SLOS2,VisualC,0
0,100307,lh,SLOS2,Auditory,0
0,100307,lh,SLOS2,ControlA,0
0,100307,lh,SLOS2,ControlB,0
0,100307,lh,SLOS2,ControlC,0
0,100307,lh,SLOS2,DefaultA,0
0,100307,lh,SLOS2,DefaultB,0
0,100307,lh,SLOS2,DefaultC,0.14388489208633093
0,100307,lh,SLOS2,DorsalAttentionA,0.9113924050632911
0,100307,lh,SLOS2,DorsalAttentionB,0
0,100307,lh,SLOS2,SomatomotorA,0
0,100307,lh,SLOS2,SomatomotorB,0
0,100307,lh,SLOS2,TemporalParietal,0
0,100307,lh,SLOS2,VentralAttentionA,0
0,100307,lh,SLOS2,VentralAttentionB,0
0,100307,lh,SLOS2,VisualA,0.15714285714285714
0,100307,lh,SLOS2,VisualB,0
0,100307,lh,SLOS2,VisualC,0
0,100408,lh,SLOS2,Auditory,0
0,100408,lh,SLOS2,ControlA,0
0,100408,lh,SLOS2,ControlB,0.19047619047619047
0,100408,lh,SLOS2,ControlC,0
0,100408,lh,SLOS2,DefaultA,0.9444444444444444
0,100408,lh,SLOS2,DefaultB,0
0,100408,lh,SLOS2,DefaultC,0
0,100408,lh,SLOS2,DorsalAttentionA,0
0,100408,lh,SLOS2,DorsalAttentionB,0
0,100408,lh,SLOS2,SomatomotorA,0
0,100408,lh,SLOS2,SomatomotorB,0
0,100408,lh,SLOS2,TemporalParietal,0
0,100408,lh,SLOS2,VentralAttentionA,0
0,100408,lh,SLOS2,VentralAttentionB,0
0,100408,lh,SLOS2,VisualA,0
0,100408,lh,SLOS2,VisualB,0
0,100408,lh,SLOS2,VisualC,0
0,100610,lh,SLOS2,Auditory,0
0,100610,lh,SLOS2,ControlA,0
0,100610,lh,SLOS2,ControlB,0.09395973154362416
0,100610,lh,SLOS2,ControlC,0
0,100610,lh,SLOS2,DefaultA,0.020905923344947737
0,100610,lh,SLOS2,DefaultB,0
0,100610,lh,SLOS2,DefaultC,0.7914893617021277
0,100610,lh,SLOS2,DorsalAttentionA,0.4438356164383562
0,100610,lh,SLOS2,DorsalAttentionB,0
0,100610,lh,SLOS2,SomatomotorA,0
0,100610,lh,SLOS2,SomatomotorB,0
0,100610,lh,SLOS2,TemporalParietal,0
0,100610,lh,SLOS2,VentralAttentionA,0
0,100610,lh,SLOS2,VentralAttentionB,0
0,100610,lh,SLOS2,VisualA,0
0,100610,lh,SLOS2,VisualB,0
0,100610,lh,SLOS2,VisualC,0
0,101006,lh,SLOS2,Auditory,0
0,101006,lh,SLOS2,ControlA,0
0,101006,lh,SLOS2,ControlB,0.07
0,101006,lh,SLOS2,ControlC,0
0,101006,lh,SLOS2,DefaultA,0.8545994065281899
0,101006,lh,SLOS2,DefaultB,0
0,101006,lh,SLOS2,DefaultC,0.3574468085106383
0,101006,lh,SLOS2,DorsalAttentionA,0
0,101006,lh,SLOS2,DorsalAttentionB,0
0,101006,lh,SLOS2,SomatomotorA,0
0,101006,lh,SLOS2,SomatomotorB,0
0,101006,lh,SLOS2,TemporalParietal,0
0,101006,lh,SLOS2,VentralAttentionA,0
0,101006,lh,SLOS2,VentralAttentionB,0
0,101006,lh,SLOS2,VisualA,0
0,101006,lh,SLOS2,VisualB,0
0,101006,lh,SLOS2,VisualC,0
0,101107,lh,SLOS2,Auditory,0
0,101107,lh,SLOS2,ControlA,0
0,101107,lh,SLOS2,ControlB,0
0,101107,lh,SLOS2,ControlC,0
0,101107,lh,SLOS2,DefaultA,0
0,101107,lh,SLOS2,DefaultB,0
0,101107,lh,SLOS2,DefaultC,1.0
0,101107,lh,SLOS2,DorsalAttentionA,0
0,101107,lh,SLOS2,DorsalAttentionB,0
0,101107,lh,SLOS2,SomatomotorA,0
0,101107,lh,SLOS2,SomatomotorB,0
0,101107,lh,SLOS2,TemporalParietal,0
0,101107,lh,SLOS2,VentralAttentionA,0
0,101107,lh,SLOS2,VentralAttentionB,0
0,101107,lh,SLOS2,VisualA,0
0,101107,lh,SLOS2,VisualB,0
0,101107,lh,SLOS2,VisualC,0
0,180937,lh,SLOS2,Auditory,0
0,180937,lh,SLOS2,ControlA,0
0,180937,lh,SLOS2,ControlB,0
0,180937,lh,SLOS2,ControlC,0
0,180937,lh,SLOS2,DefaultA,0
0,180937,lh,SLOS2,DefaultB,0
0,180937,lh,SLOS2,DefaultC,1.0
0,180937,lh,SLOS2,DorsalAttentionA,0
0,180937,lh,SLOS2,DorsalAttentionB,0
0,180937,lh,SLOS2,SomatomotorA,0
0,180937,lh,SLOS2,SomatomotorB,0
0,180937,lh,SLOS2,TemporalParietal,0
0,180937,lh,SLOS2,VentralAttentionA,0
0,180937,lh,SLOS2,VentralAttentionB,0
0,180937,lh,SLOS2,VisualA,0
0,180937,lh,SLOS2,VisualB,0
0,180937,lh,SLOS2,VisualC,0
0,268749,lh,SLOS2,Auditory,0
0,268749,lh,SLOS2,ControlA,0
0,268749,lh,SLOS2,ControlB,0
0,268749,lh,SLOS2,ControlC,0
0,268749,lh,SLOS2,DefaultA,0.9645390070921985
0,268749,lh,SLOS2,DefaultB,0
0,268749,lh,SLOS2,DefaultC,0.1282051282051282
0,268749,lh,SLOS2,DorsalAttentionA,0
0,268749,lh,SLOS2,DorsalAttentionB,0
0,268749,lh,SLOS2,SomatomotorA,0
0,268749,lh,SLOS2,SomatomotorB,0
0,268749,lh,SLOS2,TemporalParietal,0
0,268749,lh,SLOS2,VentralAttentionA,0
0,268749,lh,SLOS2,VentralAttentionB,0
0,268749,lh,SLOS2,VisualA,0
0,268749,lh,SLOS2,VisualB,0
0,268749,lh,SLOS2,VisualC,0
0,531536,lh,SLOS2,Auditory,0
0,531536,lh,SLOS2,ControlA,0
0,531536,lh,SLOS2,ControlB,0
0,531536,lh,SLOS2,ControlC,0
0,531536,lh,SLOS2,DefaultA,0
0,531536,lh,SLOS2,DefaultB,0
0,531536,lh,SLOS2,DefaultC,0.14545454545454545
0,531536,lh,SLOS2,DorsalAttentionA,0.9591836734693877
0,531536,lh,SLOS2,DorsalAttentionB,0
0,531536,lh,SLOS2,SomatomotorA,0
0,531536,lh,SLOS2,SomatomotorB,0
0,531536,lh,SLOS2,TemporalParietal,0
0,531536,lh,SLOS2,VentralAttentionA,0
0,531536,lh,SLOS2,VentralAttentionB,0
0,531536,lh,SLOS2,VisualA,0
0,531536,lh,SLOS2,VisualB,0
0,531536,lh,SLOS2,VisualC,0
0,176744,lh,SLOS2,Auditory,0
0,176744,lh,SLOS2,ControlA,0
0,176744,lh,SLOS2,ControlB,0
0,176744,lh,SLOS2,ControlC,0
0,176744,lh,SLOS2,DefaultA,0.9090909090909091
0,176744,lh,SLOS2,DefaultB,0
0,176744,lh,SLOS2,DefaultC,0.2857142857142857
0,176744,lh,SLOS2,DorsalAttentionA,0
0,176744,lh,SLOS2,DorsalAttentionB,0
0,176744,lh,SLOS2,SomatomotorA,0
0,176744,lh,SLOS2,SomatomotorB,0
0,176744,lh,SLOS2,TemporalParietal,0
0,176744,lh,SLOS2,VentralAttentionA,0
0,176744,lh,SLOS2,VentralAttentionB,0
0,176744,lh,SLOS2,VisualA,0
0,176744,lh,SLOS2,VisualB,0
0,176744,lh,SLOS2,VisualC,0
0,644044,lh,SLOS2,Auditory,0
0,644044,lh,SLOS2,ControlA,0
0,644044,lh,SLOS2,ControlB,0
0,644044,lh,SLOS2,ControlC,0
