,sub,hemi,label_name,network_name,dice_coeff
0,100206,lh,SLOS_fsavg,L_PGp_ROI,0.08461538461538462
0,100206,lh,SLOS_fsavg,L_LO3_ROI,0.0
0,100206,lh,SLOS_fsavg,L_TPOJ1_ROI,0.0
0,100206,lh,SLOS_fsavg,L_TPOJ2_ROI,0.0
0,100206,lh,SLOS_fsavg,L_TPOJ3_ROI,0.0
0,100206,lh,SLOS_fsavg,L_PGi_ROI,0.0
0,100206,lh,SLOS_fsavg,L_PGs_ROI,0.0
0,100206,lh,SLOS_fsavg,L_STV_ROI,0.0
0,100206,lh,SLOS_fsavg,L_PFm_ROI,0.0
0,100206,lh,SLOS_fsavg,L_IP0_ROI,0.703125
0,100307,lh,SLOS_fsavg,L_PGp_ROI,0.9655172413793104
0,100307,lh,SLOS_fsavg,L_LO3_ROI,0.0
0,100307,lh,SLOS_fsavg,L_TPOJ1_ROI,0.0
0,100307,lh,SLOS_fsavg,L_TPOJ2_ROI,0.0
0,100307,lh,SLOS_fsavg,L_TPOJ3_ROI,0.0
0,100307,lh,SLOS_fsavg,L_PGi_ROI,0.0
0,100307,lh,SLOS_fsavg,L_PGs_ROI,0.0
0,100307,lh,SLOS_fsavg,L_STV_ROI,0.0
0,100307,lh,SLOS_fsavg,L_PFm_ROI,0.0
0,100307,lh,SLOS_fsavg,L_IP0_ROI,0.0
0,100408,lh,SLOS_fsavg,L_PGp_ROI,0.9039145907473309
0,100408,lh,SLOS_fsavg,L_LO3_ROI,0.0
0,100408,lh,SLOS_fsavg,L_TPOJ1_ROI,0.0
0,100408,lh,SLOS_fsavg,L_TPOJ2_ROI,0.0
0,100408,lh,SLOS_fsavg,L_TPOJ3_ROI,0.0
0,100408,lh,SLOS_fsavg,L_PGi_ROI,0.0
0,100408,lh,SLOS_fsavg,L_PGs_ROI,0.2983425414364641
0,100408,lh,SLOS_fsavg,L_STV_ROI,0.0
0,100408,lh,SLOS_fsavg,L_PFm_ROI,0.0
0,100408,lh,SLOS_fsavg,L_IP0_ROI,0.0
0,100610,lh,SLOS_fsavg,L_PGp_ROI,0.6442748091603053
0,100610,lh,SLOS_fsavg,L_LO3_ROI,0.4448336252189142
0,100610,lh,SLOS_fsavg,L_TPOJ1_ROI,0.0
0,100610,lh,SLOS_fsavg,L_TPOJ2_ROI,0.0
0,100610,lh,SLOS_fsavg,L_TPOJ3_ROI,0.008968609865470852
0,100610,lh,SLOS_fsavg,L_PGi_ROI,0.0
0,100610,lh,SLOS_fsavg,L_PGs_ROI,0.0
0,100610,lh,SLOS_fsavg,L_STV_ROI,0.0
0,100610,lh,SLOS_fsavg,L_PFm_ROI,0.0
0,100610,lh,SLOS_fsavg,L_IP0_ROI,0.008968609865470852
0,101006,lh,SLOS_fsavg,L_PGp_ROI,0.8851063829787233
0,101006,lh,SLOS_fsavg,L_LO3_ROI,0.11961722488038277
0,101006,lh,SLOS_fsavg,L_TPOJ1_ROI,0.0
0,101006,lh,SLOS_fsavg,L_TPOJ2_ROI,0.0
0,101006,lh,SLOS_fsavg,L_TPOJ3_ROI,0.03007518796992481
0,101006,lh,SLOS_fsavg,L_PGi_ROI,0.0
0,101006,lh,SLOS_fsavg,L_PGs_ROI,0.22573363431151242
0,101006,lh,SLOS_fsavg,L_STV_ROI,0.0
0,101006,lh,SLOS_fsavg,L_PFm_ROI,0.0
0,101006,lh,SLOS_fsavg,L_IP0_ROI,0.0
0,101107,lh,SLOS_fsavg,L_PGp_ROI,1.0
0,101107,lh,SLOS_fsavg,L_LO3_ROI,0.0
0,101107,lh,SLOS_fsavg,L_TPOJ1_ROI,0.0
0,101107,lh,SLOS_fsavg,L_TPOJ2_ROI,0.0
0,101107,lh,SLOS_fsavg,L_TPOJ3_ROI,0.0
0,101107,lh,SLOS_fsavg,L_PGi_ROI,0.0
0,101107,lh,SLOS_fsavg,L_PGs_ROI,0.0
0,101107,lh,SLOS_fsavg,L_STV_ROI,0.0
0,101107,lh,SLOS_fsavg,L_PFm_ROI,0.0
0,101107,lh,SLOS_fsavg,L_IP0_ROI,0.0
0,180937,lh,SLOS_fsavg,L_PGp_ROI,0.9457364341085271
0,180937,lh,SLOS_fsavg,L_LO3_ROI,0.0
0,180937,lh,SLOS_fsavg,L_TPOJ1_ROI,0.0
0,180937,lh,SLOS_fsavg,L_TPOJ2_ROI,0.0
0,180937,lh,SLOS_fsavg,L_TPOJ3_ROI,0.0
0,180937,lh,SLOS_fsavg,L_PGi_ROI,0.0
0,180937,lh,SLOS_fsavg,L_PGs_ROI,0.0
0,180937,lh,SLOS_fsavg,L_STV_ROI,0.0
0,180937,lh,SLOS_fsavg,L_PFm_ROI,0.0
0,180937,lh,SLOS_fsavg,L_IP0_ROI,0.18666666666666668
0,268749,lh,SLOS_fsavg,L_PGp_ROI,0.2931937172774869
0,268749,lh,SLOS_fsavg,L_LO3_ROI,0.0
0,268749,lh,SLOS_fsavg,L_TPOJ1_ROI,0.0
0,268749,lh,SLOS_fsavg,L_TPOJ2_ROI,0.0
0,268749,lh,SLOS_fsavg,L_TPOJ3_ROI,0.0
0,268749,lh,SLOS_fsavg,L_PGi_ROI,0.0
0,268749,lh,SLOS_fsavg,L_PGs_ROI,0.9060402684563759
0,268749,lh,SLOS_fsavg,L_STV_ROI,0.0
0,268749,lh,SLOS_fsavg,L_PFm_ROI,0.0
0,268749,lh,SLOS_fsavg,L_IP0_ROI,0.0
0,365343,lh,SLOS_fsavg,L_PGp_ROI,1.0
0,365343,lh,SLOS_fsavg,L_LO3_ROI,0.0
0,365343,lh,SLOS_fsavg,L_TPOJ1_ROI,0.0
0,365343,lh,SLOS_fsavg,L_TPOJ2_ROI,0.0
0,365343,lh,SLOS_fsavg,L_TPOJ3_ROI,0.0
