,sub,hemi,label_name,network_name,dice_coeff
0,100206,lh,SLOS,Auditory,0
0,100206,lh,SLOS,ControlA,0
0,100206,lh,SLOS,ControlB,0
0,100206,lh,SLOS,ControlC,0
0,100206,lh,SLOS,DefaultA,0
0,100206,lh,SLOS,DefaultB,0
0,100206,lh,SLOS,DefaultC,0.15714285714285714
0,100206,lh,SLOS,DorsalAttentionA,0.0959409594095941
0,100206,lh,SLOS,DorsalAttentionB,0
0,100206,lh,SLOS,SomatomotorA,0
0,100206,lh,SLOS,SomatomotorB,0
0,100206,lh,SLOS,TemporalParietal,0
0,100206,lh,SLOS,VentralAttentionA,0
0,100206,lh,SLOS,VentralAttentionB,0
0,100206,lh,SLOS,VisualA,0.9272349272349273
0,100206,lh,SLOS,VisualB,0
0,100206,lh,SLOS,VisualC,0
0,100307,lh,SLOS,Auditory,0
0,100307,lh,SLOS,ControlA,0
0,100307,lh,SLOS,ControlB,0
0,100307,lh,SLOS,ControlC,0
0,100307,lh,SLOS,DefaultA,0
0,100307,lh,SLOS,DefaultB,0
0,100307,lh,SLOS,DefaultC,0
0,100307,lh,SLOS,DorsalAttentionA,0.17391304347826086
0,100307,lh,SLOS,DorsalAttentionB,0
0,100307,lh,SLOS,SomatomotorA,0
0,100307,lh,SLOS,SomatomotorB,0
0,100307,lh,SLOS,TemporalParietal,0
0,100307,lh,SLOS,VentralAttentionA,0
0,100307,lh,SLOS,VentralAttentionB,0
0,100307,lh,SLOS,VisualA,0.95
0,100307,lh,SLOS,VisualB,0
0,100307,lh,SLOS,VisualC,0
0,100408,lh,SLOS,Auditory,0
0,100408,lh,SLOS,ControlA,0
0,100408,lh,SLOS,ControlB,0
0,100408,lh,SLOS,ControlC,0
0,100408,lh,SLOS,DefaultA,0
0,100408,lh,SLOS,DefaultB,0
0,100408,lh,SLOS,DefaultC,0.8711111111111111
0,100408,lh,SLOS,DorsalAttentionA,0.272108843537415
0,100408,lh,SLOS,DorsalAttentionB,0
0,100408,lh,SLOS,SomatomotorA,0
0,100408,lh,SLOS,SomatomotorB,0
0,100408,lh,SLOS,TemporalParietal,0
0,100408,lh,SLOS,VentralAttentionA,0
0,100408,lh,SLOS,VentralAttentionB,0
0,100408,lh,SLOS,VisualA,0.1323529411764706
0,100408,lh,SLOS,VisualB,0
0,100408,lh,SLOS,VisualC,0
0,100610,lh,SLOS,Auditory,0
0,100610,lh,SLOS,ControlA,0
0,100610,lh,SLOS,ControlB,0
0,100610,lh,SLOS,ControlC,0
0,100610,lh,SLOS,DefaultA,0
0,100610,lh,SLOS,DefaultB,0
0,100610,lh,SLOS,DefaultC,0
0,100610,lh,SLOS,DorsalAttentionA,0.43343653250773995
0,100610,lh,SLOS,DorsalAttentionB,0
0,100610,lh,SLOS,SomatomotorA,0
0,100610,lh,SLOS,SomatomotorB,0
0,100610,lh,SLOS,TemporalParietal,0
0,100610,lh,SLOS,VentralAttentionA,0
0,100610,lh,SLOS,VentralAttentionB,0
0,100610,lh,SLOS,VisualA,0.6524633821571239
0,100610,lh,SLOS,VisualB,0.38596491228070173
0,100610,lh,SLOS,VisualC,0
0,101006,lh,SLOS,Auditory,0
0,101006,lh,SLOS,ControlA,0
0,101006,lh,SLOS,ControlB,0
0,101006,lh,SLOS,ControlC,0
0,101006,lh,SLOS,DefaultA,0
0,101006,lh,SLOS,DefaultB,0
0,101006,lh,SLOS,DefaultC,0.55
0,101006,lh,SLOS,DorsalAttentionA,0
0,101006,lh,SLOS,DorsalAttentionB,0
0,101006,lh,SLOS,SomatomotorA,0
0,101006,lh,SLOS,SomatomotorB,0
0,101006,lh,SLOS,TemporalParietal,0
0,101006,lh,SLOS,VentralAttentionA,0
0,101006,lh,SLOS,VentralAttentionB,0
0,101006,lh,SLOS,VisualA,0.15286624203821655
0,101006,lh,SLOS,VisualB,0.6966292134831461
0,101006,lh,SLOS,VisualC,0
0,101107,lh,SLOS,Auditory,0
0,101107,lh,SLOS,ControlA,0
0,101107,lh,SLOS,ControlB,0
0,101107,lh,SLOS,ControlC,0
0,101107,lh,SLOS,DefaultA,0
0,101107,lh,SLOS,DefaultB,0
0,101107,lh,SLOS,DefaultC,0.7226890756302521
0,101107,lh,SLOS,DorsalAttentionA,0
0,101107,lh,SLOS,DorsalAttentionB,0
0,101107,lh,SLOS,SomatomotorA,0
0,101107,lh,SLOS,SomatomotorB,0
0,101107,lh,SLOS,TemporalParietal,0
0,101107,lh,SLOS,VentralAttentionA,0
0,101107,lh,SLOS,VentralAttentionB,0
0,101107,lh,SLOS,VisualA,0.6055045871559633
0,101107,lh,SLOS,VisualB,0
0,101107,lh,SLOS,VisualC,0
0,180937,lh,SLOS,Auditory,0
0,180937,lh,SLOS,ControlA,0
0,180937,lh,SLOS,ControlB,0
0,180937,lh,SLOS,ControlC,0
0,180937,lh,SLOS,DefaultA,0
0,180937,lh,SLOS,DefaultB,0
0,180937,lh,SLOS,DefaultC,0
0,180937,lh,SLOS,DorsalAttentionA,0.8467153284671532
0,180937,lh,SLOS,DorsalAttentionB,0
0,180937,lh,SLOS,SomatomotorA,0
0,180937,lh,SLOS,SomatomotorB,0
0,180937,lh,SLOS,TemporalParietal,0
0,180937,lh,SLOS,VentralAttentionA,0
0,180937,lh,SLOS,VentralAttentionB,0
0,180937,lh,SLOS,VisualA,0.42
0,180937,lh,SLOS,VisualB,0
0,180937,lh,SLOS,VisualC,0
0,268749,lh,SLOS,Auditory,0
0,268749,lh,SLOS,ControlA,0
0,268749,lh,SLOS,ControlB,0
0,268749,lh,SLOS,ControlC,0
0,268749,lh,SLOS,DefaultA,0.06542056074766354
0,268749,lh,SLOS,DefaultB,0
0,268749,lh,SLOS,DefaultC,0.9828009828009828
0,268749,lh,SLOS,DorsalAttentionA,0
0,268749,lh,SLOS,DorsalAttentionB,0
0,268749,lh,SLOS,SomatomotorA,0
0,268749,lh,SLOS,SomatomotorB,0
0,268749,lh,SLOS,TemporalParietal,0
0,268749,lh,SLOS,VentralAttentionA,0
0,268749,lh,SLOS,VentralAttentionB,0
0,268749,lh,SLOS,VisualA,0
0,268749,lh,SLOS,VisualB,0
0,268749,lh,SLOS,VisualC,0
0,365343,lh,SLOS,Auditory,0
0,365343,lh,SLOS,ControlA,0
0,365343,lh,SLOS,ControlB,0
0,365343,lh,SLOS,ControlC,0
0,365343,lh,SLOS,DefaultA,0
0,365343,lh,SLOS,DefaultB,0
0,365343,lh,SLOS,DefaultC,0.8148148148148148
0,365343,lh,SLOS,DorsalAttentionA,0.47619047619047616
