,sub,hemi,label_name,network_name,dice_coeff
0,100307,rh,SLOS2,Auditory,0
0,100307,rh,SLOS2,ControlA,0
0,100307,rh,SLOS2,ControlB,0
0,100307,rh,SLOS2,ControlC,0
0,100307,rh,SLOS2,DefaultA,0
0,100307,rh,SLOS2,DefaultB,0
0,100307,rh,SLOS2,DefaultC,0.4268292682926829
0,100307,rh,SLOS2,DorsalAttentionA,0.8430493273542601
0,100307,rh,SLOS2,DorsalAttentionB,0
0,100307,rh,SLOS2,SomatomotorA,0
0,100307,rh,SLOS2,SomatomotorB,0
0,100307,rh,SLOS2,TemporalParietal,0
0,100307,rh,SLOS2,VentralAttentionA,0
0,100307,rh,SLOS2,VentralAttentionB,0
0,100307,rh,SLOS2,VisualA,0
0,100307,rh,SLOS2,VisualB,0
0,100307,rh,SLOS2,VisualC,0
0,100408,rh,SLOS2,Auditory,0
0,100408,rh,SLOS2,ControlA,0
0,100408,rh,SLOS2,ControlB,0
0,100408,rh,SLOS2,ControlC,0
0,100408,rh,SLOS2,DefaultA,0
0,100408,rh,SLOS2,DefaultB,0
0,100408,rh,SLOS2,DefaultC,0.9338842975206612
0,100408,rh,SLOS2,DorsalAttentionA,0.20833333333333334
0,100408,rh,SLOS2,DorsalAttentionB,0
0,100408,rh,SLOS2,SomatomotorA,0
0,100408,rh,SLOS2,SomatomotorB,0
0,100408,rh,SLOS2,TemporalParietal,0
0,100408,rh,SLOS2,VentralAttentionA,0
0,100408,rh,SLOS2,VentralAttentionB,0
0,100408,rh,SLOS2,VisualA,0
0,100408,rh,SLOS2,VisualB,0
0,100408,rh,SLOS2,VisualC,0
0,100610,rh,SLOS2,Auditory,0
0,100610,rh,SLOS2,ControlA,0
0,100610,rh,SLOS2,ControlB,0.6734279918864098
0,100610,rh,SLOS2,ControlC,0
0,100610,rh,SLOS2,DefaultA,0.20821917808219179
0,100610,rh,SLOS2,DefaultB,0
0,100610,rh,SLOS2,DefaultC,0.5466666666666666
0,100610,rh,SLOS2,DorsalAttentionA,0
0,100610,rh,SLOS2,DorsalAttentionB,0
0,100610,rh,SLOS2,SomatomotorA,0
0,100610,rh,SLOS2,SomatomotorB,0
0,100610,rh,SLOS2,TemporalParietal,0
0,100610,rh,SLOS2,VentralAttentionA,0
0,100610,rh,SLOS2,VentralAttentionB,0
0,100610,rh,SLOS2,VisualA,0
0,100610,rh,SLOS2,VisualB,0
0,100610,rh,SLOS2,VisualC,0
0,101006,rh,SLOS2,Auditory,0
0,101006,rh,SLOS2,ControlA,0
0,101006,rh,SLOS2,ControlB,0.10695187165775401
0,101006,rh,SLOS2,ControlC,0
0,101006,rh,SLOS2,DefaultA,0.23
0,101006,rh,SLOS2,DefaultB,0
0,101006,rh,SLOS2,DefaultC,0.897196261682243
0,101006,rh,SLOS2,DorsalAttentionA,0
0,101006,rh,SLOS2,DorsalAttentionB,0
0,101006,rh,SLOS2,SomatomotorA,0
0,101006,rh,SLOS2,SomatomotorB,0
0,101006,rh,SLOS2,TemporalParietal,0
0,101006,rh,SLOS2,VentralAttentionA,0
0,101006,rh,SLOS2,VentralAttentionB,0
0,101006,rh,SLOS2,VisualA,0
0,101006,rh,SLOS2,VisualB,0
0,101006,rh,SLOS2,VisualC,0
0,101107,rh,SLOS2,Auditory,0
0,101107,rh,SLOS2,ControlA,0
0,101107,rh,SLOS2,ControlB,0.7226890756302521
0,101107,rh,SLOS2,ControlC,0
0,101107,rh,SLOS2,DefaultA,0.6055045871559633
0,101107,rh,SLOS2,DefaultB,0
0,101107,rh,SLOS2,DefaultC,0
0,101107,rh,SLOS2,DorsalAttentionA,0
0,101107,rh,SLOS2,DorsalAttentionB,0
0,101107,rh,SLOS2,SomatomotorA,0
0,101107,rh,SLOS2,SomatomotorB,0
0,101107,rh,SLOS2,TemporalParietal,0
0,101107,rh,SLOS2,VentralAttentionA,0
0,101107,rh,SLOS2,VentralAttentionB,0
0,101107,rh,SLOS2,VisualA,0
0,101107,rh,SLOS2,VisualB,0
0,101107,rh,SLOS2,VisualC,0
0,180937,rh,SLOS2,Auditory,0
0,180937,rh,SLOS2,ControlA,0
0,180937,rh,SLOS2,ControlB,0
0,180937,rh,SLOS2,ControlC,0
0,180937,rh,SLOS2,DefaultA,0
0,180937,rh,SLOS2,DefaultB,0
0,180937,rh,SLOS2,DefaultC,0.43727598566308246
0,180937,rh,SLOS2,DorsalAttentionA,0.8373333333333334
0,180937,rh,SLOS2,DorsalAttentionB,0
0,180937,rh,SLOS2,SomatomotorA,0
0,180937,rh,SLOS2,SomatomotorB,0
0,180937,rh,SLOS2,TemporalParietal,0
0,180937,rh,SLOS2,VentralAttentionA,0
0,180937,rh,SLOS2,VentralAttentionB,0
0,180937,rh,SLOS2,VisualA,0
0,180937,rh,SLOS2,VisualB,0
0,180937,rh,SLOS2,VisualC,0
0,365343,rh,SLOS2,Auditory,0
0,365343,rh,SLOS2,ControlA,0
0,365343,rh,SLOS2,ControlB,0.13636363636363635
0,365343,rh,SLOS2,ControlC,0
0,365343,rh,SLOS2,DefaultA,0
0,365343,rh,SLOS2,DefaultB,0
0,365343,rh,SLOS2,DefaultC,0.9620253164556962
0,365343,rh,SLOS2,DorsalAttentionA,0
0,365343,rh,SLOS2,DorsalAttentionB,0
0,365343,rh,SLOS2,SomatomotorA,0
0,365343,rh,SLOS2,SomatomotorB,0
0,365343,rh,SLOS2,TemporalParietal,0
0,365343,rh,SLOS2,VentralAttentionA,0
0,365343,rh,SLOS2,VentralAttentionB,0
0,365343,rh,SLOS2,VisualA,0
0,365343,rh,SLOS2,VisualB,0
0,365343,rh,SLOS2,VisualC,0
0,112920,rh,SLOS2,Auditory,0
0,112920,rh,SLOS2,ControlA,0
0,112920,rh,SLOS2,ControlB,0
0,112920,rh,SLOS2,ControlC,0
0,112920,rh,SLOS2,DefaultA,0
0,112920,rh,SLOS2,DefaultB,0
0,112920,rh,SLOS2,DefaultC,0
0,112920,rh,SLOS2,DorsalAttentionA,0.0782608695652174
0,112920,rh,SLOS2,DorsalAttentionB,0
0,112920,rh,SLOS2,SomatomotorA,0
0,112920,rh,SLOS2,SomatomotorB,0
0,112920,rh,SLOS2,TemporalParietal,0
0,112920,rh,SLOS2,VentralAttentionA,0
0,112920,rh,SLOS2,VentralAttentionB,0
0,112920,rh,SLOS2,VisualA,0.9792147806004619
0,112920,rh,SLOS2,VisualB,0
0,112920,rh,SLOS2,VisualC,0
0,176744,rh,SLOS2,Auditory,0
0,176744,rh,SLOS2,ControlA,0
0,176744,rh,SLOS2,ControlB,0.17475728155339806
0,176744,rh,SLOS2,ControlC,0
0,176744,rh,SLOS2,DefaultA,0.9059165858389913
0,176744,rh,SLOS2,DefaultB,0
0,176744,rh,SLOS2,DefaultC,0.1416803953871499
0,176744,rh,SLOS2,DorsalAttentionA,0
0,176744,rh,SLOS2,DorsalAttentionB,0
0,176744,rh,SLOS2,SomatomotorA,0
0,176744,rh,SLOS2,SomatomotorB,0
0,176744,rh,SLOS2,TemporalParietal,0
0,176744,rh,SLOS2,VentralAttentionA,0
0,176744,rh,SLOS2,VentralAttentionB,0
0,176744,rh,SLOS2,VisualA,0
0,176744,rh,SLOS2,VisualB,0
0,176744,rh,SLOS2,VisualC,0
0,151425,rh,SLOS2,Auditory,0
0,151425,rh,SLOS2,ControlA,0
0,151425,rh,SLOS2,ControlB,0.828125
0,151425,rh,SLOS2,ControlC,0
0,151425,rh,SLOS2,DefaultA,0.4536082474226804
0,151425,rh,SLOS2,DefaultB,0
0,151425,rh,SLOS2,DefaultC,0
0,151425,rh,SLOS2,DorsalAttentionA,0
0,151425,rh,SLOS2,DorsalAttentionB,0
0,151425,rh,SLOS2,SomatomotorA,0
0,151425,rh,SLOS2,SomatomotorB,0
0,151425,rh,SLOS2,TemporalParietal,0
0,151425,rh,SLOS2,VentralAttentionA,0
0,151425,rh,SLOS2,VentralAttentionB,0
0,151425,rh,SLOS2,VisualA,0
0,151425,rh,SLOS2,VisualB,0
0,151425,rh,SLOS2,VisualC,0
0,128127,rh,SLOS2,Auditory,0
0,128127,rh,SLOS2,ControlA,0
0,128127,rh,SLOS2,ControlB,0.6840958605664488
0,128127,rh,SLOS2,ControlC,0
0,128127,rh,SLOS2,DefaultA,0.6487695749440716
0,128127,rh,SLOS2,DefaultB,0
0,128127,rh,SLOS2,DefaultC,0
0,128127,rh,SLOS2,DorsalAttentionA,0
0,128127,rh,SLOS2,DorsalAttentionB,0
0,128127,rh,SLOS2,SomatomotorA,0
0,128127,rh,SLOS2,SomatomotorB,0
0,128127,rh,SLOS2,TemporalParietal,0
0,128127,rh,SLOS2,VentralAttentionA,0
0,128127,rh,SLOS2,VentralAttentionB,0
0,128127,rh,SLOS2,VisualA,0
0,128127,rh,SLOS2,VisualB,0
0,128127,rh,SLOS2,VisualC,0
0,585256,rh,SLOS2,Auditory,0
0,585256,rh,SLOS2,ControlA,0
0,585256,rh,SLOS2,ControlB,0
0,585256,rh,SLOS2,ControlC,0
0,585256,rh,SLOS2,DefaultA,0
0,585256,rh,SLOS2,DefaultB,0
0,585256,rh,SLOS2,DefaultC,1.0
0,585256,rh,SLOS2,DorsalAttentionA,0
0,585256,rh,SLOS2,DorsalAttentionB,0
0,585256,rh,SLOS2,SomatomotorA,0
0,585256,rh,SLOS2,SomatomotorB,0
0,585256,rh,SLOS2,TemporalParietal,0
0,585256,rh,SLOS2,VentralAttentionA,0
0,585256,rh,SLOS2,VentralAttentionB,0
0,585256,rh,SLOS2,VisualA,0
0,585256,rh,SLOS2,VisualB,0
0,585256,rh,SLOS2,VisualC,0
0,380036,rh,SLOS2,Auditory,0
0,380036,rh,SLOS2,ControlA,0.3157894736842105
0,380036,rh,SLOS2,ControlB,0.4864864864864865
0,380036,rh,SLOS2,ControlC,0
0,380036,rh,SLOS2,DefaultA,0.34074074074074073
0,380036,rh,SLOS2,DefaultB,0
0,380036,rh,SLOS2,DefaultC,0.4444444444444444
0,380036,rh,SLOS2,DorsalAttentionA,0
0,380036,rh,SLOS2,DorsalAttentionB,0
0,380036,rh,SLOS2,SomatomotorA,0
0,380036,rh,SLOS2,SomatomotorB,0
0,380036,rh,SLOS2,TemporalParietal,0
0,380036,rh,SLOS2,VentralAttentionA,0
0,380036,rh,SLOS2,VentralAttentionB,0
0,380036,rh,SLOS2,VisualA,0
0,380036,rh,SLOS2,VisualB,0
0,380036,rh,SLOS2,VisualC,0
0,522434,rh,SLOS2,Auditory,0
0,522434,rh,SLOS2,ControlA,0
0,522434,rh,SLOS2,ControlB,0.85
0,522434,rh,SLOS2,ControlC,0
0,522434,rh,SLOS2,DefaultA,0.41379310344827586
0,522434,rh,SLOS2,DefaultB,0
0,522434,rh,SLOS2,DefaultC,0
0,522434,rh,SLOS2,DorsalAttentionA,0
0,522434,rh,SLOS2,DorsalAttentionB,0
0,522434,rh,SLOS2,SomatomotorA,0
0,522434,rh,SLOS2,SomatomotorB,0
0,522434,rh,SLOS2,TemporalParietal,0
0,522434,rh,SLOS2,VentralAttentionA,0
0,522434,rh,SLOS2,VentralAttentionB,0
0,522434,rh,SLOS2,VisualA,0
0,522434,rh,SLOS2,VisualB,0
0,522434,rh,SLOS2,VisualC,0
