,sub,hemi,label_name,network_name,dice_coeff
0,100206,rh,SLOS_fsavg,R_PGp_ROI,0.7415730337078652
0,100206,rh,SLOS_fsavg,R_LO3_ROI,0.0
0,100206,rh,SLOS_fsavg,R_TPOJ1_ROI,0.0
0,100206,rh,SLOS_fsavg,R_TPOJ2_ROI,0.0
0,100206,rh,SLOS_fsavg,R_TPOJ3_ROI,0.0
0,100206,rh,SLOS_fsavg,R_PGi_ROI,0.0
0,100206,rh,SLOS_fsavg,R_PGs_ROI,0.5777777777777777
0,100206,rh,SLOS_fsavg,R_STV_ROI,0.0
0,100206,rh,SLOS_fsavg,R_PFm_ROI,0.0
0,100206,rh,SLOS_fsavg,R_IP0_ROI,0.0
0,100307,rh,SLOS_fsavg,R_PGp_ROI,0.9009433962264151
0,100307,rh,SLOS_fsavg,R_LO3_ROI,0.09795918367346938
0,100307,rh,SLOS_fsavg,R_TPOJ1_ROI,0.0
0,100307,rh,SLOS_fsavg,R_TPOJ2_ROI,0.0
0,100307,rh,SLOS_fsavg,R_TPOJ3_ROI,0.0
0,100307,rh,SLOS_fsavg,R_PGi_ROI,0.0
0,100307,rh,SLOS_fsavg,R_PGs_ROI,0.0
0,100307,rh,SLOS_fsavg,R_STV_ROI,0.0
0,100307,rh,SLOS_fsavg,R_PFm_ROI,0.0
0,100307,rh,SLOS_fsavg,R_IP0_ROI,0.0
0,100408,rh,SLOS_fsavg,R_PGp_ROI,1.0
0,100408,rh,SLOS_fsavg,R_LO3_ROI,0.0
0,100408,rh,SLOS_fsavg,R_TPOJ1_ROI,0.0
0,100408,rh,SLOS_fsavg,R_TPOJ2_ROI,0.0
0,100408,rh,SLOS_fsavg,R_TPOJ3_ROI,0.0
0,100408,rh,SLOS_fsavg,R_PGi_ROI,0.0
0,100408,rh,SLOS_fsavg,R_PGs_ROI,0.0
0,100408,rh,SLOS_fsavg,R_STV_ROI,0.0
0,100408,rh,SLOS_fsavg,R_PFm_ROI,0.0
0,100408,rh,SLOS_fsavg,R_IP0_ROI,0.0
0,100610,rh,SLOS_fsavg,R_PGp_ROI,0.9117647058823529
0,100610,rh,SLOS_fsavg,R_LO3_ROI,0.0
0,100610,rh,SLOS_fsavg,R_TPOJ1_ROI,0.0
0,100610,rh,SLOS_fsavg,R_TPOJ2_ROI,0.0
0,100610,rh,SLOS_fsavg,R_TPOJ3_ROI,0.0
0,100610,rh,SLOS_fsavg,R_PGi_ROI,0.0
0,100610,rh,SLOS_fsavg,R_PGs_ROI,0.27906976744186046
0,100610,rh,SLOS_fsavg,R_STV_ROI,0.0
0,100610,rh,SLOS_fsavg,R_PFm_ROI,0.0
0,100610,rh,SLOS_fsavg,R_IP0_ROI,0.0
0,101006,rh,SLOS_fsavg,R_PGp_ROI,1.0
