,sub,hemi,label_name,network_name,dice_coeff
0,100206,rh,SLOS,Auditory,0
0,100206,rh,SLOS,ControlA,0
0,100206,rh,SLOS,ControlB,0
0,100206,rh,SLOS,ControlC,0
0,100206,rh,SLOS,DefaultA,0
0,100206,rh,SLOS,DefaultB,0
0,100206,rh,SLOS,DefaultC,0.817351598173516
0,100206,rh,SLOS,DorsalAttentionA,0.471976401179941
0,100206,rh,SLOS,DorsalAttentionB,0
0,100206,rh,SLOS,SomatomotorA,0
0,100206,rh,SLOS,SomatomotorB,0
0,100206,rh,SLOS,TemporalParietal,0
0,100206,rh,SLOS,VentralAttentionA,0
0,100206,rh,SLOS,VentralAttentionB,0
0,100206,rh,SLOS,VisualA,0
0,100206,rh,SLOS,VisualB,0
0,100206,rh,SLOS,VisualC,0
0,100307,rh,SLOS,Auditory,0
0,100307,rh,SLOS,ControlA,0
0,100307,rh,SLOS,ControlB,0
0,100307,rh,SLOS,ControlC,0
0,100307,rh,SLOS,DefaultA,0
0,100307,rh,SLOS,DefaultB,0
0,100307,rh,SLOS,DefaultC,0
0,100307,rh,SLOS,DorsalAttentionA,0.30809399477806787
0,100307,rh,SLOS,DorsalAttentionB,0
0,100307,rh,SLOS,SomatomotorA,0
0,100307,rh,SLOS,SomatomotorB,0
0,100307,rh,SLOS,TemporalParietal,0
0,100307,rh,SLOS,VentralAttentionA,0
0,100307,rh,SLOS,VentralAttentionB,0
0,100307,rh,SLOS,VisualA,0.8998302207130731
0,100307,rh,SLOS,VisualB,0
0,100307,rh,SLOS,VisualC,0
0,100408,rh,SLOS,Auditory,0
0,100408,rh,SLOS,ControlA,0
0,100408,rh,SLOS,ControlB,0
0,100408,rh,SLOS,ControlC,0
0,100408,rh,SLOS,DefaultA,0
0,100408,rh,SLOS,DefaultB,0
0,100408,rh,SLOS,DefaultC,0
0,100408,rh,SLOS,DorsalAttentionA,1.0
0,100408,rh,SLOS,DorsalAttentionB,0
0,100408,rh,SLOS,SomatomotorA,0
0,100408,rh,SLOS,SomatomotorB,0
0,100408,rh,SLOS,TemporalParietal,0
0,100408,rh,SLOS,VentralAttentionA,0
0,100408,rh,SLOS,VentralAttentionB,0
0,100408,rh,SLOS,VisualA,0
0,100408,rh,SLOS,VisualB,0
0,100408,rh,SLOS,VisualC,0
0,100610,rh,SLOS,Auditory,0
0,100610,rh,SLOS,ControlA,0
0,100610,rh,SLOS,ControlB,0
0,100610,rh,SLOS,ControlC,0
0,100610,rh,SLOS,DefaultA,0
0,100610,rh,SLOS,DefaultB,0
0,100610,rh,SLOS,DefaultC,0.5714285714285714
0,100610,rh,SLOS,DorsalAttentionA,0.75
0,100610,rh,SLOS,DorsalAttentionB,0
0,100610,rh,SLOS,SomatomotorA,0
0,100610,rh,SLOS,SomatomotorB,0
0,100610,rh,SLOS,TemporalParietal,0
0,100610,rh,SLOS,VentralAttentionA,0
0,100610,rh,SLOS,VentralAttentionB,0
0,100610,rh,SLOS,VisualA,0
0,100610,rh,SLOS,VisualB,0
0,100610,rh,SLOS,VisualC,0
0,101006,rh,SLOS,Auditory,0
0,101006,rh,SLOS,ControlA,0
0,101006,rh,SLOS,ControlB,0
0,101006,rh,SLOS,ControlC,0
0,101006,rh,SLOS,DefaultA,0
0,101006,rh,SLOS,DefaultB,0
0,101006,rh,SLOS,DefaultC,1.0
0,101006,rh,SLOS,DorsalAttentionA,0
0,101006,rh,SLOS,DorsalAttentionB,0
0,101006,rh,SLOS,SomatomotorA,0
0,101006,rh,SLOS,SomatomotorB,0
0,101006,rh,SLOS,TemporalParietal,0
0,101006,rh,SLOS,VentralAttentionA,0
0,101006,rh,SLOS,VentralAttentionB,0
0,101006,rh,SLOS,VisualA,0
0,101006,rh,SLOS,VisualB,0
0,101006,rh,SLOS,VisualC,0
0,101107,rh,SLOS,Auditory,0
0,101107,rh,SLOS,ControlA,0
0,101107,rh,SLOS,ControlB,0.025477707006369428
0,101107,rh,SLOS,ControlC,0
0,101107,rh,SLOS,DefaultA,0
0,101107,rh,SLOS,DefaultB,0
0,101107,rh,SLOS,DefaultC,0.9935064935064936
0,101107,rh,SLOS,DorsalAttentionA,0
0,101107,rh,SLOS,DorsalAttentionB,0
0,101107,rh,SLOS,SomatomotorA,0
0,101107,rh,SLOS,SomatomotorB,0
0,101107,rh,SLOS,TemporalParietal,0
0,101107,rh,SLOS,VentralAttentionA,0
0,101107,rh,SLOS,VentralAttentionB,0
0,101107,rh,SLOS,VisualA,0
0,101107,rh,SLOS,VisualB,0
0,101107,rh,SLOS,VisualC,0
0,180937,rh,SLOS,Auditory,0
0,180937,rh,SLOS,ControlA,0
0,180937,rh,SLOS,ControlB,0
0,180937,rh,SLOS,ControlC,0
0,180937,rh,SLOS,DefaultA,0
0,180937,rh,SLOS,DefaultB,0
0,180937,rh,SLOS,DefaultC,0.2968197879858657
0,180937,rh,SLOS,DorsalAttentionA,0.5739644970414202
0,180937,rh,SLOS,DorsalAttentionB,0
