ID,Gender,Race,Age
101,1,4,52
102,0,4,30
103,1,888,31
104,0,1,37
105,0,5,44
106,0,4,39
107,1,3,26
108,0,4,25
110,1,5,28
111,1,4,42
112,0,888,38
114,1,3,30
115,0,4,21
116,1,4,26
117,0,1,24
118,0,5,53
119,0,1,28
120,0,5,26
121,1,1,26
122,0,4,27
123,2,3,25
124,0,1,32
125,0,4,34
126,0,4,27
127,0,3,36
128,0,4,27
129,1,4,26
130,0,5,27
131,1,4,51
132,0,4,35
133,0,3,35
134,0,1,26
135,0,5,37
136,0,4,23
137,1,888,35
138,0,5,23
139,0,5,28
140,0,4,23
141,0,1,24
142,1,4,37
143,0,4,21
144,0,4,32
145,0,5,30
146,0,4,33
147,0,4,19
148,0,1,22
149,1,4,25
150,1,3,50
151,0,4,50
152,0,4,24
153,0,1,33
154,0,4,40
155,0,0,42
156,1,3,48
157,0,4,39
158,1,4,37
159,0,5,35
160,0,1,28
161,0,1,23
162,0,4,24
163,2,5,26
164,0,1,27
165,0,0,27
166,0,4,19
167,0,1,47
168,0,5,22
169,0, ,20
170,0,4,55
171,1,5,21
172,0,4,55
173,0,4,41
174,0,1,25
175,1,1,23
176,0,3,45
177,1,4,40
178,0,4,21
179,0,4,27
180,0,5,21
181,1,5,22
182,0,1,35
183,1,4,53
184,0,1,24
185,0,1,21
186,0,4,23
187,0,4,55
188,0,3,32
189,0,4,27
190,0,1,26
191,2,4,29
192,1,4,20
193,0,1,36
194,0,1,27
195,0,5,30
196,0,4,19
197,0,1,24
198,0, ,25
199,0,5,25
200,0,4,26
201,0,4,18
202,0,3,21
203,1,1,30
204,0,4,19
205,0,1,30
206,0,4,27
207,0,4,33
208,0,888,29
209,0,4,45
210,0,4,29
211,0,4,39
212,0,3,35
213,0, ,43
214,2,4,37
215,0,1,38
216,0, ,19
217,1, ,20
218,0,4,22
219,0,3,52
220,0,4,38
221,0,4,27
222,1,4,25
223,0, ,21
224,0,5,23
225,0,2,41
226,0,3,32
227,1,5,30
228,0,1,20
229,0,1,19
230,0,5,24
231,0,1,20
232,0,4,19
233,1,4,21
234,0,4,35
235,1,2,25
236,0,4,23
237,1,1,29
239,1,4,40
240,0,4,49
241,0,5,26
242,0,1,33
243,0,5,54
244,1,4,34
245,0,1,25
246,1,5,24
247,0,4,33
248,0,4,27
249,0,4,29
250,0,4,54
251,0,4,24
252,0,4,40
253,0,4,23
254,1,888,34
255,2,4,35
256,0,4,29
257,1,4,28
258,0,4,19
259,2,1,28
260,0,4,23
261,0,4,38
262,1,3,38
263,0,4,32
264,0,2,20
265,0,4,55
266,0,4,19
267,1,4,20
268,0,4,23
269,1,4,21
270,1,4,34
271,0,5,35
272,0,1,34
273,0,1,22
274,0,4,18
275,0,1,20
276,0,5,40
277,0,5,21
278,1,1,23
279,0,1,30
280,0,4,28
281,1,1,37
282,1,4,26
283,0,4,32
284,1,1,21
285,1,5,42
286,1,4,36
287,0,1,22
288,0,4,19
289,0,4,19
290,0,1,24
291,0,4,36
292,1,5,28
293,0,3,44
294,1,4,31
295,0,4,30
296,0,1,23
297,0,4,35
298,0,5,28
299,1,3,40
300, , , 
301,0,888,24
302,0,1,25
303,1,1,27
304,1,4,27
305,1,5,35
307,0,1,19
308,0,1,20
309,0,1,18
310,1,1,25
311,0,4,36
312,1,5,25
313,0,3,34
314,1,5,25
315,0,4,18
316,1,4,33
317,0,5,50
318,0,5,20
319,0,1,27
320,0,1,19
321,1,2,34
322,1,4,19
323,0,1,20
324,0,1,43
325,1,4,21
326,0,1,19
328,0,1,24
329,0,1,21
330,0,4,38
331,0,5,20
332,0,1,21
333,2,1,23
334,0,4,21
335,0,4,34
336,0,4,20
337,0,1,18
338,1,4,39
339,0,1,18
340,0,888,18
341,0,1,21
342,0,1,20
343,1,5,20
344,1,4,23
345,1,4,45
346,0,4,22
347,1,5,24
348,1,2,33
349,2,5,25
350,1,4,21
351,1,4,52
352,1,4,34
353,0,1,19
354,0,1,21
355,1,4,43
356,1,4,41
357,0,1,21
358,1,1,29
359,1,4,19
360,0,888,19
361,0,5,19
362,1,4,29
363,0,3,44
364,1,1,23
365,1,4,21
366,0,5,50
368,1,1,23
369,0,1,24
370,0,1,19
371,0,4,21
372,0,1,18
373,0,1,18
374,0,1,19
375,0,1,19
376,0,1,23
377,0,4,18
378,1,1,22
380,0,5,25
