ID,PCGS_LH,PCGS_RH,PCGS_Asymmetry
103,present,present,p-p
111,present,absent,p-a
115,present,absent,p-a
118,present,present,p-p
121,present,present,p-p
123,absent,absent,a-a
124,present,absent,p-a
127,present,absent,p-a
129,present,present,p-p
130,present,absent,p-a
134,present,present,p-p
142,present,absent,p-a
143,present,present,p-p
147,absent,absent,a-a
148,absent,present,a-p
149,present,absent,p-a
153,present,present,p-p
160,absent,absent,a-a
171,present,present,p-p
176,absent,absent,a-a
178,present,present,p-p
179,present,absent,p-a
181,present,absent,p-a
183,present,present,p-p
184,present,present,p-p
185,present,absent,p-a
187,present,absent,p-a
189,absent,absent,a-a
190,present,present,p-p
191,present,absent,p-a
193,present,present,p-p
194,absent,absent,a-a
195,absent,present,a-p
196,present,present,p-p
197,present,present,p-p
200,present,present,p-p
202,present,present,p-p
203,present,absent,p-a
205,present,absent,p-a
206,present,absent,p-a
212,present,present,p-p
215,absent,present,a-p
216,present,present,p-p
217,absent,absent,a-a
218,present,absent,p-a
223,absent,present,a-p
224,present,present,p-p
226,absent,absent,a-a
227,present,present,p-p
228,present,absent,p-a
229,absent,absent,a-a
230,present,absent,p-a
231,absent,present,a-p
233,present,absent,p-a
234,absent,present,a-p
236,present,present,p-p
237,absent,present,a-p
240,present,absent,p-a
244,present,present,p-p
246,present,present,p-p
248,present,present,p-p
249,absent,present,a-p
251,present,present,p-p
252,present,present,p-p
253,present,present,p-p
254,absent,present,a-p
255,present,present,p-p
256,present,present,p-p
257,present,absent,p-a
258,present,absent,p-a
259,present,absent,p-a
263,present,present,p-p
265,present,absent,p-a
266,present,absent,p-a
268,absent,present,a-p
269,absent,absent,a-a
270,present,present,p-p
272,present,absent,p-a
273,present,present,p-p
274,present,absent,p-a
275,present,present,p-p
277,present,present,p-p
278,present,absent,p-a
280,present,present,p-p
281,present,present,p-p
282,present,present,p-p
285,present,present,p-p
286,absent,present,a-p
287,present,absent,p-a
288,absent,absent,a-a
290,present,absent,p-a
291,present,present,p-p
292,present,present,p-p
293,present,present,p-p
294,present,absent,p-a
295,absent,absent,a-a
296,absent,present,a-p
297,present,absent,p-a
299,present,present,p-p
301,present,present,p-p
303,absent,present,a-p
304,present,present,p-p
308,present,absent,a-p
310,present,present,p-p
311,present,absent,p-a
312,present,present,p-p
314,present,present,p-p
317,present,present,p-p
318,present,present,p-p
319,absent,absent,a-a
320,present,absent,p-a
321,present,absent,p-a
323,present,absent,p-a
325,present,present,p-p
332,absent,present,a-p
333,present,present,p-p
336,present,present,p-p
342,present,absent,p-a
345,absent,present,a-p
346,present,absent,p-a
